Week,Date,Away,Home
5,2021-09-30,Virginia,Miami (FL)
5,2021-10-01,Houston,Tulsa
5,2021-10-01,Iowa,Maryland
5,2021-10-01,BYU,Utah State
5,2021-10-02,Tulane,E Carolina
5,2021-10-02,Texas Tech,W Virginia
5,2021-10-02,Texas,TX Christian
5,2021-10-02,Baylor,Oklahoma St
5,2021-10-02,Oklahoma,Kansas St
5,2021-10-02,Kansas,Iowa State
5,2021-10-02,Toledo,U Mass
5,2021-10-02,Ohio State,Rutgers
5,2021-10-02,Northwestern,Nebraska
5,2021-10-02,Minnesota,Purdue
5,2021-10-02,Michigan,Wisconsin
5,2021-10-02,Memphis,Temple
5,2021-10-02,S Florida,S Methodist
5,2021-10-02,Central Mich,Miami (OH)
5,2021-10-02,Oregon,Stanford
5,2021-10-02,Wash State,California
5,2021-10-02,LA Lafayette,S Alabama
5,2021-10-02,LA Monroe,Coastal Car
5,2021-10-02,Arkansas St,GA Southern
5,2021-10-02,App State,Georgia State
5,2021-10-02,Bowling Grn,Kent State
5,2021-10-02,W Michigan,Buffalo
5,2021-10-02,Ohio,Akron
5,2021-10-02,Army,Ball State
5,2021-10-02,E Michigan,N Illinois
5,2021-10-02,Indiana,Penn State
5,2021-10-02,Louisville,Wake Forest
5,2021-10-02,Duke,N Carolina
5,2021-10-02,Tennessee,Missouri
5,2021-10-02,Auburn,LSU
5,2021-10-02,Florida,Kentucky
5,2021-10-02,Arkansas,Georgia
5,2021-10-02,Mississippi,Alabama
5,2021-10-02,N Mex State,San Jose St
5,2021-10-02,Nevada,Boise State
5,2021-10-02,Air Force,New Mexico
5,2021-10-02,USC,Colorado
5,2021-10-02,Arizona St,UCLA
5,2021-10-02,Washington,Oregon St
5,2021-10-02,Troy,S Carolina
5,2021-10-02,Miss State,Texas A&M
5,2021-10-02,Connecticut,Vanderbilt
5,2021-10-02,Pittsburgh,GA Tech
5,2021-10-02,Syracuse,Florida St
5,2021-10-02,Boston Col,Clemson
5,2021-10-02,W Kentucky,Michigan St
5,2021-10-02,UNLV,TX-San Ant
5,2021-10-02,LA Tech,NC State
