,Rank,Team,Rating,v 1-10,v 11-25,v 26-40,Hi,Low,Last,Season,Week
0,1,Alabama,35.4,0-0,0-0,0-0,1,14,1,2012,6
1,2,Notre Dame,29.7,0-0,0-0,0-0,2,24,2,2012,6
2,3,Tennessee,13.2,0-0,0-0,0-0,1,35,3,2012,6
3,4,Oregon,12.9,0-0,0-0,0-0,3,52,50,2012,6
4,5,Clemson,9.0,0-0,1-0,0-0,4,46,4,2012,6
5,6,Cincinnati,7.2,1-0,0-0,0-0,6,55,54,2012,6
6,7,USC,7.2,0-0,1-0,0-0,4,41,5,2012,6
7,8,Houston,6.3,0-0,0-0,0-0,7,108,108,2012,6
8,9,W Virginia,2.3,0-0,0-0,0-0,6,108,6,2012,6
9,10,VA Tech,1.5,0-1,0-0,0-0,9,104,104,2012,6
10,11,Auburn,1.0,0-1,0-0,0-0,8,119,9,2012,6
11,12,Syracuse,0.1,0-1,0-0,0-0,7,116,8,2012,6
12,13,Texas A&M,--,0-0,0-0,0-0,1,53,10,2012,6
13,14,Texas,--,0-0,0-0,0-0,7,121,11,2012,6
14,15,Georgia,--,0-0,0-0,0-0,4,45,13,2012,6
15,16,Florida,--,0-0,0-0,0-0,7,47,16,2012,6
16,17,Texas Tech,--,0-0,0-0,0-0,9,48,12,2012,6
17,18,Kansas St,--,0-0,0-0,0-0,13,50,14,2012,6
18,19,Michigan St,--,0-0,0-0,0-0,10,41,15,2012,6
19,20,Florida St,--,0-0,0-0,0-0,12,51,51,2012,6
20,21,Purdue,--,0-0,0-0,0-0,15,122,20,2012,6
21,22,S Carolina,--,0-0,0-0,0-0,3,45,27,2012,6
22,23,Texas State,--,0-0,0-0,0-0,7,114,26,2012,6
23,24,Oregon St,--,0-0,0-0,0-0,18,63,19,2012,6
24,25,Nevada,--,0-0,0-0,0-0,12,63,17,2012,6
25,26,Central FL,--,0-0,0-0,0-0,1,53,24,2012,6
26,27,Mississippi,--,0-0,0-0,0-0,12,75,18,2012,6
27,28,Middle Tenn,--,0-0,0-0,0-0,28,118,64,2012,6
28,29,Oklahoma,--,0-0,0-0,0-0,1,29,25,2012,6
29,30,UCLA,--,0-0,0-0,0-0,2,111,21,2012,6
30,31,Wisconsin,--,0-0,0-0,0-0,2,84,36,2012,6
31,32,LA Tech,--,0-0,0-0,0-0,21,59,22,2012,6
32,33,Arizona St,--,0-0,0-0,0-0,4,70,34,2012,6
33,34,Penn State,--,0-0,0-0,0-0,22,77,67,2012,6
34,35,Ohio State,--,0-0,0-0,0-0,16,53,53,2012,6
35,36,LSU,--,0-0,0-0,0-0,4,47,31,2012,6
36,37,Baylor,--,0-0,0-0,0-0,6,52,39,2012,6
37,38,TX Christian,--,0-0,0-0,0-0,6,52,28,2012,6
38,39,San Jose St,--,0-0,0-0,0-0,5,114,29,2012,6
39,40,Missouri,--,0-0,0-0,0-0,17,61,61,2012,6
40,41,Fresno St,--,0-0,0-0,0-0,28,124,30,2012,6
41,42,BYU,--,0-0,0-0,0-0,6,55,32,2012,6
42,43,Maryland,--,0-0,0-0,0-0,25,95,41,2012,6
43,44,GA Tech,--,0-0,0-0,0-0,11,57,33,2012,6
44,45,Miss State,--,0-0,0-0,0-0,31,105,44,2012,6
45,46,Nebraska,--,0-0,0-0,0-0,14,123,40,2012,6
46,47,Iowa State,--,0-0,0-0,0-0,22,108,42,2012,6
47,48,Indiana,--,0-0,0-0,0-0,12,107,23,2012,6
48,49,Toledo,--,0-0,0-0,0-0,35,116,62,2012,6
49,50,Troy,--,0-0,0-0,0-0,47,108,49,2012,6
50,51,Rutgers,--,0-0,0-0,0-0,28,102,37,2012,6
51,52,California,--,0-0,0-0,0-0,25,73,43,2012,6
52,53,W Kentucky,--,0-0,0-0,0-0,43,114,59,2012,6
53,54,Utah State,--,0-0,0-0,0-0,6,112,56,2012,6
54,55,S Florida,--,0-0,0-0,0-0,27,76,48,2012,6
55,56,Miami (FL),--,0-0,0-0,0-0,11,121,45,2012,6
56,57,Louisville,--,0-0,0-0,0-0,8,69,46,2012,6
57,58,Boise State,--,0-0,0-0,0-0,6,58,38,2012,6
58,59,Stanford,--,0-0,0-0,0-0,6,111,52,2012,6
59,60,Northwestern,--,0-0,0-0,0-0,15,97,60,2012,6
60,61,Ohio,--,0-0,0-0,0-0,6,86,35,2012,6
61,62,Buffalo,--,0-0,0-0,0-0,57,118,58,2012,6
62,63,N Carolina,--,0-0,0-0,0-0,22,76,63,2012,6
63,64,North Texas,--,0-0,0-0,0-0,56,105,57,2012,6
64,65,TX-San Ant,--,0-0,0-0,0-0,58,115,76,2012,6
65,66,LA Lafayette,--,0-0,0-0,0-0,26,107,68,2012,6
66,67,Temple,--,0-0,0-0,0-0,52,108,73,2012,6
67,68,San Diego St,--,0-0,0-0,0-0,51,114,75,2012,6
68,69,Boston Col,--,0-0,0-0,0-0,49,99,70,2012,6
69,70,Connecticut,--,0-0,0-0,0-0,5,88,65,2012,6
70,71,Kansas,--,0-0,0-0,0-0,59,98,74,2012,6
71,72,Arkansas St,--,0-0,0-0,0-0,42,99,66,2012,6
72,73,Air Force,--,0-0,0-0,0-0,32,123,71,2012,6
73,74,Tulsa,--,0-0,0-0,0-0,13,104,77,2012,6
