,Rank,Team,Rating,Hi,Low,Last,Season,Week
0,1,Alabama,33.0,1,20,1,2012,9
1,2,Oklahoma,32.7,2,87,2,2012,9
2,3,Oregon,28.5,1,38,4,2012,9
3,4,Florida,27.1,4,41,7,2012,9
4,5,Kansas St,25.7,1,76,8,2012,9
5,6,Michigan,20.2,6,69,10,2012,9
6,7,Notre Dame,19.9,3,26,11,2012,9
7,8,Texas Tech,19.2,6,71,6,2012,9
8,9,Texas A&M,18.4,2,54,3,2012,9
9,10,Florida St,16.6,2,31,9,2012,9
10,11,S Carolina,16.4,2,58,5,2012,9
11,12,Penn State,15.0,12,96,25,2012,9
12,13,USC,13.4,7,39,18,2012,9
13,14,Oregon St,13.1,9,53,19,2012,9
14,15,N Carolina,12.7,8,114,15,2012,9
15,16,Rutgers,11.8,16,80,38,2012,9
16,17,Georgia,11.7,3,84,12,2012,9
17,18,Stanford,11.7,5,112,17,2012,9
18,19,Clemson,11.3,6,65,20,2012,9
19,20,Arizona St,11.2,2,51,13,2012,9
20,21,Texas,10.6,3,55,14,2012,9
21,22,LSU,10.4,3,40,28,2012,9
22,23,Wisconsin,10.3,7,108,29,2012,9
23,24,Oklahoma St,10.2,1,48,16,2012,9
24,25,LA Tech,10.2,21,65,27,2012,9
25,26,N Illinois,10.2,9,121,41,2012,9
26,27,Miss State,9.9,22,114,32,2012,9
27,28,Nebraska,9.2,6,52,24,2012,9
28,29,TX Christian,9.2,9,75,26,2012,9
29,30,Ohio State,8.1,4,40,23,2012,9
30,31,Iowa State,8.1,15,59,21,2012,9
31,32,LA Monroe,8.1,31,92,34,2012,9
32,33,BYU,7.8,6,44,42,2012,9
33,34,Mississippi,7.3,14,89,33,2012,9
34,35,Arizona,7.2,11,75,35,2012,9
35,36,VA Tech,6.9,25,68,39,2012,9
36,37,Utah State,6.8,6,112,37,2012,9
37,38,Boise State,6.3,11,44,31,2012,9
38,39,Fresno St,5.6,21,77,22,2012,9
39,40,California,3.9,29,108,30,2012,9
40,41,W Kentucky,3.5,18,104,43,2012,9
41,42,NC State,3.0,42,110,44,2012,9
42,43,Pittsburgh,2.9,18,122,52,2012,9
43,44,Kent State,2.5,37,115,83,2012,9
44,45,UCLA,2.2,4,58,45,2012,9
45,46,Louisville,2.0,35,62,46,2012,9
46,47,Northwestern,1.9,22,88,51,2012,9
47,48,Cincinnati,1.7,22,71,36,2012,9
48,49,San Jose St,1.5,1,72,72,2012,9
49,50,Missouri,1.4,9,53,47,2012,9
50,51,Michigan St,1.4,8,61,61,2012,9
51,52,Tennessee,0.9,7,66,50,2012,9
52,53,San Diego St,0.8,17,77,76,2012,9
53,54,Duke,0.4,33,103,54,2012,9
54,55,Nevada,0.4,8,93,56,2012,9
55,56,Tulsa,-0.1,28,82,40,2012,9
56,57,Vanderbilt,-0.4,8,81,60,2012,9
57,58,Baylor,-0.7,2,103,49,2012,9
58,59,Miami (FL),-0.8,22,76,59,2012,9
59,60,Marshall,-0.9,60,110,88,2012,9
60,61,Syracuse,-1.2,16,84,81,2012,9
61,62,Arkansas,-1.4,26,105,66,2012,9
62,63,Toledo,-2.2,50,116,70,2012,9
63,64,Central FL,-2.3,1,65,55,2012,9
64,65,LA Lafayette,-2.3,39,105,58,2012,9
65,66,Utah,-2.4,7,68,64,2012,9
66,67,Washington,-2.7,35,74,67,2012,9
67,68,W Virginia,-2.8,8,122,48,2012,9
68,69,Troy,-3.2,64,90,75,2012,9
69,70,Navy,-3.3,49,118,82,2012,9
70,71,Purdue,-3.8,16,104,65,2012,9
71,72,S Florida,-4.0,20,91,74,2012,9
72,73,Auburn,-4.1,53,90,86,2012,9
73,74,GA Tech,-4.1,19,93,71,2012,9
74,75,S Methodist,-4.2,47,110,77,2012,9
75,76,New Mexico,-4.2,39,115,80,2012,9
76,77,Bowling Grn,-4.9,43,98,85,2012,9
77,78,E Carolina,-4.9,67,102,69,2012,9
78,79,Ball State,-5.2,50,111,78,2012,9
79,80,Indiana,-5.3,55,111,62,2012,9
80,81,Middle Tenn,-5.4,56,122,57,2012,9
81,82,Arkansas St,-5.6,12,101,79,2012,9
82,83,Houston,-5.8,53,117,53,2012,9
83,84,Maryland,-6.0,59,118,63,2012,9
84,85,Kansas,-6.5,68,112,92,2012,9
85,86,Iowa,-7.4,58,101,68,2012,9
86,87,Temple,-8.0,47,113,73,2012,9
87,88,North Texas,-8.1,3,107,94,2012,9
88,89,UAB,-8.9,86,119,93,2012,9
89,90,Minnesota,-9.7,66,114,87,2012,9
90,91,W Michigan,-10.2,75,112,89,2012,9
91,92,Ohio,-10.4,26,115,95,2012,9
92,93,Air Force,-10.7,4,113,84,2012,9
93,94,Wash State,-10.7,83,117,98,2012,9
94,95,TX-San Ant,-11.2,67,120,91,2012,9
95,96,Rice,-11.6,46,120,101,2012,9
96,97,Wake Forest,-12.3,74,113,96,2012,9
97,98,UNLV,-12.7,81,121,103,2012,9
98,99,Kentucky,-12.9,51,112,106,2012,9
99,100,Boston Col,-13.4,41,105,99,2012,9
100,101,Virginia,-13.8,60,108,108,2012,9
101,102,Fla Atlantic,-14.1,3,120,104,2012,9
102,103,Connecticut,-14.4,3,109,90,2012,9
103,104,TX El Paso,-15.5,43,112,102,2012,9
104,105,Illinois,-16.4,28,115,109,2012,9
105,106,Florida Intl,-16.6,76,112,107,2012,9
106,107,Central Mich,-16.9,80,119,112,2012,9
107,108,S Alabama,-17.2,16,118,111,2012,9
108,109,Wyoming,-17.2,69,115,105,2012,9
109,110,S Mississippi,-19.1,52,122,100,2012,9
110,111,Colorado St,-19.5,79,123,115,2012,9
111,112,E Michigan,-19.8,90,122,118,2012,9
112,113,Buffalo,-19.8,81,115,114,2012,9
113,114,Akron,-20.3,86,123,97,2012,9
114,115,Miami (OH),-20.5,66,120,113,2012,9
115,116,Texas State,-22.6,6,116,116,2012,9
116,117,Army,-23.2,57,123,110,2012,9
117,118,Memphis,-24.9,73,124,117,2012,9
118,119,Colorado,-27.1,89,123,121,2012,9
119,120,Tulane,-28.0,99,124,123,2012,9
120,121,Hawaii,-28.6,1,124,120,2012,9
121,122,N Mex State,-28.7,39,124,119,2012,9
122,123,U Mass,-28.9,68,124,122,2012,9
123,124,Idaho ,-33.8,9,124,124,2012,9
