,Rank,Team,2012,Last 3,Last 1,Home,Away,2011,Season,Week
0,1,Alabama,185.0,157.0,110.0,167.0,203.0,170.5,2012,5
1,2,Texas Tech,198.5,198.5,127.0,127.0,270.0,499.6,2012,5
2,3,LSU,199.5,193.0,183.0,205.0,183.0,274.4,2012,5
3,4,Connecticut,213.0,264.3,330.0,158.5,267.5,384.6,2012,5
4,5,Michigan St,233.5,242.7,183.0,229.7,245.0,279.2,2012,5
5,6,BYU,243.3,243.3,261.0,224.0,253.0,318.1,2012,5
6,7,Maryland,272.0,272.0,363.0,223.0,296.5,464.4,2012,5
7,8,Florida St,276.0,276.0,426.0,276.0,--,291.7,2012,5
8,9,Arizona St,286.3,286.3,209.0,270.5,318.0,438.3,2012,5
9,10,Notre Dame,291.3,274.7,299.0,293.5,289.0,344.2,2012,5
10,11,Boise State,296.0,296.0,200.0,213.5,461.0,320.8,2012,5
11,12,Utah State,296.7,296.7,331.0,325.0,282.5,379.0,2012,5
12,13,S Carolina,300.3,308.3,255.0,308.3,276.0,269.3,2012,5
13,14,Florida,305.0,297.7,219.0,273.0,337.0,287.3,2012,5
14,15,TX-San Ant,308.0,308.0,308.0,--,308.0,--,2012,5
15,15,Texas A&M,308.0,308.0,309.0,307.0,309.0,378.2,2012,5
16,17,Oklahoma,308.5,308.5,362.0,362.0,255.0,376.2,2012,5
17,18,Iowa,312.3,312.3,394.0,368.0,201.0,385.8,2012,5
18,19,Stanford,317.7,317.7,280.0,317.7,--,341.9,2012,5
19,20,W Kentucky,321.7,321.7,264.0,264.0,350.5,368.2,2012,5
20,21,Oregon St,325.5,325.5,444.0,207.0,444.0,415.4,2012,5
21,22,Tulsa,327.3,327.3,364.0,270.5,441.0,415.1,2012,5
22,23,Texas,328.3,328.3,399.0,293.0,399.0,306.1,2012,5
23,24,Iowa State,331.0,331.0,304.0,358.0,304.0,430.7,2012,5
24,25,Wisconsin,332.7,332.7,336.0,322.0,354.0,327.5,2012,5
25,26,Minnesota,333.0,333.0,350.0,362.0,275.0,409.2,2012,5
26,27,Kansas St,333.7,333.7,386.0,307.5,386.0,416.8,2012,5
27,28,Michigan,336.5,305.0,239.0,338.0,335.0,322.2,2012,5
28,29,San Diego St,342.3,342.3,367.0,349.5,328.0,400.3,2012,5
29,30,Georgia,343.3,342.0,337.0,334.0,371.0,292.8,2012,5
30,31,Purdue,344.5,344.5,313.0,313.0,376.0,416.2,2012,5
31,32,Duke,346.0,346.0,152.0,332.5,373.0,437.9,2012,5
32,33,USC,346.5,374.0,250.0,257.0,436.0,374.8,2012,5
33,34,Central FL,347.3,347.3,306.0,306.0,368.0,320.1,2012,5
34,35,Missouri,349.0,349.0,396.0,325.5,396.0,408.2,2012,5
35,36,Ohio,349.7,349.7,491.0,206.0,421.5,379.2,2012,5
36,37,Indiana,352.0,352.0,440.0,440.0,264.0,466.1,2012,5
37,38,Penn State,355.5,307.7,237.0,375.7,295.0,336.8,2012,5
38,39,W Michigan,356.7,356.7,425.0,425.0,322.5,455.5,2012,5
39,40,NC State,359.0,359.0,314.0,314.0,381.5,356.5,2012,5
40,41,Rutgers,363.7,363.7,492.0,--,363.7,325.3,2012,5
41,41,VA Tech,363.7,363.7,266.0,277.0,537.0,305.5,2012,5
42,43,N Illinois,364.3,364.3,329.0,329.0,382.0,418.5,2012,5
43,44,TX Christian,366.5,366.5,353.0,353.0,380.0,351.8,2012,5
44,45,Louisville,369.7,369.7,326.0,391.5,326.0,331.0,2012,5
45,46,Syracuse,373.0,373.0,337.0,337.0,391.0,398.1,2012,5
