,Rank,Team,2012,Last 3,Last 1,Home,Away,2011,Season,Week
0,1,LA Tech,576.5,564.7,627.0,644.4,508.6,382.3,2012,12
1,2,Baylor,566.5,543.7,424.0,570.3,564.2,590.4,2012,12
2,3,Texas A&M,556.2,594.0,418.0,486.7,591.0,490.2,2012,12
3,4,Oregon,552.7,640.7,575.0,549.2,557.0,510.6,2012,12
4,5,Oklahoma St,546.0,472.7,443.0,571.4,503.7,550.5,2012,12
5,6,Clemson,515.6,562.7,436.0,464.5,556.4,439.1,2012,12
6,7,Arizona,507.9,473.0,574.0,560.8,402.0,462.8,2012,12
7,8,Texas Tech,507.4,484.7,571.0,550.0,454.3,467.5,2012,12
8,9,Florida St,501.8,439.3,311.0,622.0,381.5,346.0,2012,12
9,10,Marshall,499.8,378.0,337.0,465.0,527.6,333.4,2012,12
10,11,Troy,499.5,566.3,597.0,512.6,486.4,380.0,2012,12
11,12,UCLA,496.9,477.0,334.0,525.8,468.0,377.7,2012,12
12,13,Nevada,495.3,421.3,404.0,499.5,492.0,506.8,2012,12
13,14,Tennessee,488.1,591.7,585.0,511.6,458.8,324.4,2012,12
14,15,N Carolina,484.8,493.7,497.0,525.0,434.5,387.6,2012,12
15,16,N Illinois,483.7,530.3,610.0,536.8,441.2,470.9,2012,12
16,17,Fresno St,475.3,526.7,500.0,548.5,426.5,419.6,2012,12
17,18,Houston,474.9,328.3,262.0,468.2,485.0,588.8,2012,12
18,19,Nebraska,472.8,412.3,438.0,472.6,473.0,381.3,2012,12
19,20,Georgia,471.1,434.3,497.0,571.6,370.6,403.8,2012,12
20,21,Ball State,470.5,441.0,446.0,501.3,450.0,379.4,2012,12
21,22,W Virginia,469.1,353.3,479.0,481.2,449.0,464.8,2012,12
22,23,Toledo,468.4,431.0,526.0,441.5,490.0,473.6,2012,12
23,24,USC,462.9,560.0,447.0,496.6,429.2,456.8,2012,12
24,25,Oklahoma,462.4,477.3,460.0,405.5,519.3,512.3,2012,12
25,26,Syracuse,461.0,507.7,524.0,481.8,444.4,347.8,2012,12
26,27,Texas,457.9,459.3,609.0,481.0,434.8,392.5,2012,12
27,28,LA Monroe,455.9,420.0,433.0,432.0,471.8,385.8,2012,12
28,29,Cincinnati,451.6,431.7,472.0,454.3,449.5,371.6,2012,12
29,30,Utah State,450.1,543.7,593.0,513.3,399.6,442.8,2012,12
30,31,Arkansas St,449.0,511.3,534.0,451.0,447.4,431.7,2012,12
31,32,Ohio,447.3,422.3,244.0,432.2,466.3,448.2,2012,12
32,33,Ohio State,445.3,428.7,567.0,445.0,446.0,318.2,2012,12
33,34,Army,443.6,376.7,337.0,467.8,413.3,383.5,2012,12
34,35,Air Force,438.9,443.7,393.0,497.3,392.2,421.3,2012,12
35,36,San Jose St,438.2,496.0,504.0,536.7,389.0,378.7,2012,12
36,37,Tulsa,437.8,423.0,505.0,480.0,404.0,440.4,2012,12
37,38,GA Tech,435.3,382.0,588.0,431.6,440.0,442.0,2012,12
38,39,Louisville,429.8,501.3,472.0,468.8,381.0,328.8,2012,12
39,40,Indiana,428.1,353.0,294.0,424.6,432.5,342.5,2012,12
40,41,Alabama,426.4,395.7,431.0,396.2,456.6,426.9,2012,12
41,42,LA Lafayette,425.6,441.3,267.0,465.0,402.0,404.2,2012,12
42,43,Middle Tenn,424.3,378.3,342.0,425.0,423.8,401.1,2012,12
43,44,Arizona St,424.0,362.7,250.0,491.3,370.2,439.9,2012,12
44,45,W Michigan,419.7,459.3,376.0,443.8,403.7,463.6,2012,12
45,46,Rice,417.7,415.0,482.0,464.5,386.5,347.7,2012,12
46,47,Kent State,417.4,421.7,546.0,403.0,424.7,251.0,2012,12
47,48,Central FL,417.1,455.3,402.0,422.4,411.8,393.1,2012,12
48,49,Kansas St,413.1,389.0,260.0,450.6,366.3,339.8,2012,12
49,50,S Florida,412.5,407.0,283.0,360.0,465.0,403.2,2012,12
50,51,UAB,411.7,487.7,406.0,401.0,420.2,364.8,2012,12
51,52,Penn State,410.1,418.7,391.0,397.2,423.0,340.3,2012,12
52,53,Oregon St,408.6,387.7,312.0,343.5,460.6,362.5,2012,12
53,54,Miami (FL),406.9,341.7,420.0,417.8,398.2,381.6,2012,12
54,55,Arkansas,406.3,410.3,360.0,392.3,417.6,435.9,2012,12
55,56,Virginia,405.1,409.7,482.0,417.8,389.3,391.6,2012,12
56,57,Akron,404.1,453.7,427.0,379.2,429.0,254.5,2012,12
57,58,Notre Dame,403.3,439.3,393.0,372.0,434.6,413.0,2012,12
58,59,Northwestern,401.3,388.3,431.0,464.4,322.5,419.5,2012,12
59,60,TX Christian,398.2,341.0,274.0,420.8,380.2,438.4,2012,12
60,61,VA Tech,397.7,404.0,385.0,408.0,389.4,405.3,2012,12
61,62,E Carolina,396.8,498.3,557.0,436.3,365.2,394.9,2012,12
62,63,Mississippi,396.3,349.0,458.0,462.0,314.3,278.1,2012,12
63,64,NC State,395.9,392.7,428.0,338.3,442.0,343.0,2012,12
64,65,Miami (OH),394.3,415.0,481.0,437.7,372.7,372.9,2012,12
65,66,Wyoming,392.6,389.0,429.0,427.8,364.4,361.0,2012,12
66,67,LSU,390.8,381.0,392.0,441.7,289.0,350.8,2012,12
67,68,Pittsburgh,389.8,395.3,350.0,481.7,334.6,347.7,2012,12
68,69,Central Mich,388.2,451.0,403.0,372.4,408.0,402.1,2012,12
69,70,Duke,388.1,361.3,342.0,433.2,331.8,365.4,2012,12
70,71,California,385.7,413.3,349.0,357.8,427.5,386.9,2012,12
71,72,Wisconsin,385.4,412.7,605.0,343.4,438.0,458.9,2012,12
72,73,Michigan,383.3,332.0,419.0,455.8,310.8,404.7,2012,12
73,74,S Methodist,382.7,393.7,435.0,367.0,402.3,376.8,2012,12
74,75,North Texas,382.6,378.3,303.0,412.3,358.8,341.8,2012,12
