,Rank,Team,2012,Last 3,Last 1,Home,Away,2011,Season,Week
0,1,Alabama,7.0,7.0,14.0,7.0,7.0,7.1,2012,7
1,2,Notre Dame,7.8,4.0,3.0,11.5,5.3,20.7,2012,7
2,3,BYU,8.0,3.3,3.0,3.0,15.5,21.8,2012,7
3,4,S Carolina,10.5,11.3,7.0,8.3,15.0,18.3,2012,7
4,5,LSU,11.0,12.7,14.0,10.3,12.0,11.9,2012,7
5,6,Florida,11.4,8.7,6.0,6.7,18.5,19.3,2012,7
6,7,Rutgers,13.5,14.0,3.0,3.0,17.0,19.8,2012,7
7,8,Miss State,14.5,16.0,14.0,10.0,19.0,19.9,2012,7
8,9,Utah State,14.8,12.7,6.0,16.5,13.7,28.8,2012,7
9,10,Texas A&M,15.0,13.3,27.0,15.0,15.0,28.2,2012,7
10,11,Michigan St,15.2,17.0,27.0,14.3,17.0,19.3,2012,7
11,12,Arizona St,15.5,16.0,17.0,10.5,20.5,29.8,2012,7
12,13,Boise State,15.6,16.3,14.0,9.0,20.0,18.7,2012,7
13,14,Cincinnati,16.0,16.0,14.0,12.0,24.0,21.2,2012,7
14,14,Penn State,16.0,16.0,28.0,18.0,12.0,17.6,2012,7
15,16,Connecticut,16.2,22.0,19.0,9.0,23.3,26.3,2012,7
16,17,TX Christian,16.5,20.0,37.0,22.0,11.0,22.2,2012,7
17,18,Oklahoma,17.0,17.0,20.0,24.0,13.5,22.1,2012,7
18,18,Oregon St,17.0,20.3,6.0,6.5,27.5,31.0,2012,7
19,20,Kansas St,17.3,18.7,16.0,16.7,19.0,29.7,2012,7
20,21,Iowa,17.8,18.0,13.0,18.0,17.0,25.3,2012,7
21,21,Florida St,17.8,23.7,17.0,18.5,17.0,15.5,2012,7
22,23,San Jose St,18.5,18.0,0.0,20.0,18.0,30.3,2012,7
23,24,Wisconsin,18.8,23.3,14.0,18.0,20.0,19.7,2012,7
24,25,Iowa State,19.0,17.7,23.0,23.5,14.5,30.3,2012,7
25,26,USC,19.4,19.3,28.0,9.5,26.0,23.6,2012,7
26,27,Texas Tech,19.5,22.7,41.0,27.5,11.5,41.9,2012,7
27,28,Ohio State,20.5,23.0,38.0,21.4,16.0,21.0,2012,7
28,29,Michigan,21.0,13.0,13.0,19.0,22.3,17.4,2012,7
29,30,Central FL,21.2,20.3,20.0,20.3,22.5,20.0,2012,7
30,30,Oregon,21.2,15.7,21.0,20.0,26.0,26.0,2012,7
31,32,N Carolina,21.4,13.3,34.0,13.3,33.5,26.1,2012,7
32,33,Louisville,21.5,24.0,17.0,24.0,19.0,21.0,2012,7
33,34,Pittsburgh,21.7,21.7,14.0,17.0,24.0,22.3,2012,7
34,35,Stanford,21.8,26.3,48.0,23.0,17.0,21.9,2012,7
35,35,NC State,21.8,22.3,16.0,11.5,28.7,26.1,2012,7
36,37,TX-San Ant,22.5,22.5,14.0,--,22.5,--,2012,7
37,38,Troy,22.6,15.7,10.0,33.5,15.3,33.7,2012,7
38,39,Minnesota,22.8,21.3,31.0,16.5,29.0,31.2,2012,7
39,40,Bowling Grn,22.8,24.7,10.0,13.0,25.3,30.3,2012,7
40,41,Auburn,23.6,21.3,24.0,21.3,27.0,30.0,2012,7
41,42,UCLA,24.0,28.0,43.0,21.0,27.0,31.4,2012,7
42,42,Maryland,24.0,23.0,14.0,19.0,29.0,37.1,2012,7
43,42,W Kentucky,24.0,20.3,13.0,17.0,26.3,23.1,2012,7
44,45,Georgia,24.2,27.3,35.0,22.5,27.5,22.2,2012,7
45,46,Toledo,24.4,22.3,35.0,25.0,24.0,32.5,2012,7
46,47,Missouri,25.4,22.0,19.0,26.7,23.5,25.5,2012,7
47,47,VA Tech,25.4,25.0,48.0,8.5,36.7,18.0,2012,7
48,47,W Michigan,25.4,25.0,14.0,25.0,26.0,30.5,2012,7
49,47,Ohio,25.4,29.7,31.0,27.5,24.0,23.6,2012,7
50,51,N Illinois,25.6,23.3,23.0,23.5,27.0,30.3,2012,7
51,52,Vanderbilt,25.8,28.7,15.0,17.0,28.7,22.3,2012,7
52,53,Nevada,25.8,24.3,28.0,30.0,23.0,25.2,2012,7
53,54,Fresno St,26.0,24.7,7.0,27.0,25.3,36.3,2012,7
54,55,San Diego St,26.4,34.7,14.0,19.7,36.5,25.3,2012,7
55,55,Texas,26.4,38.3,48.0,21.7,33.5,22.2,2012,7
56,57,Middle Tenn,26.5,29.7,31.0,24.0,29.0,36.8,2012,7
57,58,Duke,26.8,19.3,17.0,19.0,38.5,31.9,2012,7
58,59,TX El Paso,27.0,27.3,17.0,23.0,31.0,30.9,2012,7
59,59,Northwestern,27.0,27.0,39.0,18.3,40.0,28.3,2012,7
60,61,LA Monroe,27.2,24.7,17.0,47.0,22.3,27.1,2012,7
61,62,California,27.4,23.7,17.0,25.0,31.0,25.2,2012,7
62,63,Kent State,27.8,21.3,14.0,43.0,22.7,24.2,2012,7
63,64,Mississippi,27.8,21.0,30.0,35.3,16.5,32.8,2012,7
64,65,Syracuse,28.5,24.0,13.0,27.5,29.5,29.8,2012,7
65,66,Navy,29.3,22.3,21.0,12.0,35.0,30.0,2012,7
66,67,Temple,29.3,29.3,28.0,32.0,24.0,14.5,2012,7
67,68,E Carolina,29.4,28.3,40.0,18.0,32.3,32.3,2012,7
68,69,Air Force,29.5,29.0,28.0,24.5,34.5,29.5,2012,7
69,69,Washington,29.5,35.3,52.0,12.5,46.5,36.7,2012,7
70,71,North Texas,29.6,24.0,44.0,14.0,33.5,30.7,2012,7
71,72,Kentucky,30.2,34.3,27.0,27.8,35.0,25.6,2012,7
72,73,Purdue,30.3,33.7,44.0,33.7,20.0,29.1,2012,7
73,74,S Florida,30.4,32.7,37.0,26.5,33.0,23.2,2012,7
74,75,Indiana,30.5,38.7,31.0,36.0,25.0,38.8,2012,7
75,75,LA Lafayette,30.5,32.7,13.0,16.5,44.5,30.6,2012,7
76,77,Utah,30.8,32.0,38.0,29.5,32.0,21.1,2012,7
77,78,Tulsa,30.8,35.3,38.0,18.0,39.3,27.3,2012,7
78,78,New Mexico,30.8,20.0,14.0,23.0,36.0,41.1,2012,7
79,80,S Alabama,31.3,30.7,31.0,32.0,30.5,34.0,2012,7
80,81,Clemson,31.4,37.0,31.0,29.0,33.0,29.5,2012,7
81,82,Houston,31.6,24.0,21.0,35.7,25.5,24.2,2012,7
82,82,Colorado St,31.6,33.7,28.0,29.5,33.0,32.8,2012,7
83,84,Nebraska,31.8,34.3,63.0,20.0,49.5,24.8,2012,7
84,85,Memphis,32.3,32.0,10.0,29.0,35.5,37.7,2012,7
85,86,Wash State,32.4,35.0,19.0,35.0,31.8,32.7,2012,7
86,87,Buffalo,32.5,28.3,38.0,23.0,35.7,31.5,2012,7
87,88,S Methodist,32.8,24.0,0.0,36.0,29.5,24.4,2012,7
88,88,Kansas,32.8,35.3,56.0,22.5,43.0,45.5,2012,7
89,90,Tennessee,33.8,38.0,51.0,31.5,36.0,23.2,2012,7
90,91,Wake Forest,33.8,30.0,19.0,32.7,35.5,29.3,2012,7
91,92,Illinois,34.0,39.3,31.0,31.3,38.0,21.0,2012,7
92,93,Arkansas St,34.6,29.3,20.0,27.0,39.7,20.5,2012,7
93,94,Texas State,35.0,42.3,35.0,46.0,24.0,47.5,2012,7
94,95,S Mississippi,35.2,34.3,40.0,28.3,45.5,21.9,2012,7
95,96,Boston Col,35.5,33.7,34.0,43.0,28.0,24.1,2012,7
96,97,GA Tech,35.6,46.0,47.0,37.0,33.5,26.5,2012,7
97,98,Wyoming,35.8,35.3,35.0,34.0,36.3,29.0,2012,7
98,99,LA Tech,35.8,31.0,31.0,34.0,37.0,21.6,2012,7
99,100,N Mex State,36.0,29.3,26.0,31.0,39.3,36.8,2012,7
100,101,Fla Atlantic,36.8,38.7,20.0,20.0,42.3,34.7,2012,7
101,102,Virginia,37.0,37.7,42.0,30.0,41.7,25.6,2012,7
102,103,Arkansas,37.2,33.3,7.0,43.5,33.0,23.5,2012,7
103,104,Ball State,37.3,35.7,35.0,29.3,45.3,34.7,2012,7
104,105,Florida Intl,37.8,36.7,34.0,33.3,42.3,19.5,2012,7
105,106,UNLV,38.6,42.7,58.0,33.3,46.5,40.4,2012,7
106,107,Rice,38.7,34.3,14.0,51.5,32.3,33.3,2012,7
107,108,E Michigan,38.8,39.3,41.0,41.0,38.0,27.6,2012,7
108,109,Arizona,39.2,47.0,54.0,31.0,51.5,37.7,2012,7
109,110,Miami (FL),39.6,38.0,41.0,37.0,40.3,20.6,2012,7
110,111,W Virginia,40.8,43.0,45.0,39.3,45.0,28.0,2012,7
111,111,Army,40.8,40.3,31.0,36.0,45.5,30.8,2012,7
112,113,Oklahoma St,41.3,41.3,41.0,32.5,59.0,26.8,2012,7
113,114,UAB,41.5,42.3,49.0,44.0,39.0,36.8,2012,7
114,115,Idaho,41.6,41.3,18.0,29.0,50.0,35.0,2012,7
115,116,Colorado,41.8,48.3,42.0,42.0,41.7,36.5,2012,7
116,117,Miami (OH),42.4,39.0,52.0,16.0,49.0,22.9,2012,7
117,117,Tulane,42.4,47.7,41.0,42.0,43.0,37.8,2012,7
118,119,U Mass,43.5,38.7,52.0,41.0,44.8,45.0,2012,7
119,120,Central Mich,44.3,45.3,50.0,41.0,45.3,35.8,2012,7
120,121,Akron,44.8,42.3,24.0,45.3,44.0,40.8,2012,7
121,122,Baylor,45.3,45.3,70.0,24.0,56.0,40.3,2012,7
122,123,Marshall,48.6,49.0,45.0,36.0,57.0,28.6,2012,7
123,124,Hawaii,54.3,56.0,52.0,69.0,49.3,30.3,2012,7
