,Rank,Team,Rating,Hi,Low,Last,Season,Week
0,1,Ohio State,48.6,1,23,1,2019,7
1,2,Alabama,33.4,2,33,3,2019,7
2,3,Wisconsin,32.5,1,22,4,2019,7
3,4,Penn State,32.0,2,43,2,2019,7
4,5,LSU,28.3,1,27,6,2019,7
5,6,Oklahoma,26.5,3,67,5,2019,7
6,7,Georgia,26.5,1,20,7,2019,7
7,8,Clemson,24.4,1,14,9,2019,7
8,9,Auburn,23.0,3,21,8,2019,7
9,10,Notre Dame,22.1,4,68,10,2019,7
10,11,Oregon,20.0,3,32,11,2019,7
11,12,Florida,18.1,1,23,17,2019,7
12,13,Michigan St,16.9,10,71,14,2019,7
13,14,Central FL,16.3,2,44,12,2019,7
14,15,Missouri,16.2,14,87,18,2019,7
15,16,Iowa,15.6,12,28,15,2019,7
16,17,Texas,15.1,12,55,13,2019,7
17,18,Washington,15.0,12,65,16,2019,7
18,19,Iowa State,13.4,10,119,33,2019,7
19,20,Maryland,13.0,2,119,31,2019,7
20,21,Cincinnati,12.5,8,69,21,2019,7
21,22,Texas A&M,12.4,2,34,23,2019,7
22,23,S Methodist,12.2,20,71,20,2019,7
23,24,Utah,12.2,3,32,22,2019,7
24,25,Michigan,11.9,3,49,28,2019,7
25,26,Baylor,11.6,10,130,36,2019,7
26,27,Tulane,11.3,6,64,26,2019,7
27,28,LA Lafayette,11.1,16,93,25,2019,7
28,29,USC,9.9,7,43,30,2019,7
29,30,Oklahoma St,9.2,11,73,19,2019,7
30,31,S Carolina,8.9,4,80,32,2019,7
31,32,Memphis,8.4,13,66,37,2019,7
32,33,Duke,8.1,24,117,29,2019,7
33,34,TX Christian,7.2,22,67,24,2019,7
34,35,California,7.0,34,103,55,2019,7
35,36,N Carolina,6.9,23,59,34,2019,7
36,37,Boise State,6.8,19,70,40,2019,7
37,38,Wash State,6.0,8,54,38,2019,7
38,39,Virginia,5.9,12,57,41,2019,7
39,40,Navy,5.8,14,99,45,2019,7
40,41,Miss State,5.5,22,65,39,2019,7
41,42,Pittsburgh,5.3,37,94,61,2019,7
42,43,Indiana,5.3,14,72,42,2019,7
43,44,Kansas St,5.1,17,65,27,2019,7
44,45,Houston,5.1,28,87,43,2019,7
45,46,Wake Forest,4.9,38,107,44,2019,7
46,47,Arizona St,4.4,12,94,47,2019,7
47,48,App State,4.1,19,82,48,2019,7
48,49,Hawaii,3.7,3,105,51,2019,7
49,50,Nebraska,3.6,25,80,53,2019,7
50,51,Miami (FL),3.4,2,83,35,2019,7
51,52,Stanford,3.1,10,91,60,2019,7
52,53,Air Force,2.3,21,81,49,2019,7
53,54,Oregon St,2.3,35,116,68,2019,7
54,55,Utah State,2.3,18,109,46,2019,7
55,56,Northwestern,2.2,16,98,58,2019,7
56,57,Kentucky,2.2,19,74,52,2019,7
57,58,Fla Atlantic,1.8,20,87,54,2019,7
58,59,Arizona,1.7,40,130,62,2019,7
59,60,Florida St,1.2,22,75,56,2019,7
60,61,Colorado,1.2,13,101,50,2019,7
61,62,Toledo,0.8,46,123,59,2019,7
62,63,Mississippi,0.4,31,80,67,2019,7
63,64,Wyoming,0.1,33,103,63,2019,7
64,65,Louisville,0.1,49,75,57,2019,7
65,66,Texas Tech,0.0,39,79,75,2019,7
66,67,Temple,-0.2,25,86,64,2019,7
67,68,W Michigan,-0.8,45,87,65,2019,7
68,69,Minnesota,-1.1,7,126,77,2019,7
69,70,Tulsa,-1.3,48,109,69,2019,7
70,71,Syracuse,-1.8,22,105,70,2019,7
71,72,San Diego St,-2.5,52,117,72,2019,7
72,73,BYU,-2.8,19,118,71,2019,7
73,74,Army,-2.9,54,119,73,2019,7
74,75,NC State,-3.1,28,120,74,2019,7
75,76,Fresno St,-3.5,39,107,76,2019,7
76,77,W Virginia,-4.7,17,114,82,2019,7
77,78,North Texas,-5.4,68,119,79,2019,7
78,79,UCLA,-6.3,11,97,66,2019,7
79,80,Ball State,-6.8,59,112,86,2019,7
80,81,Coastal Car,-7.0,74,125,80,2019,7
81,82,Purdue,-7.2,37,111,89,2019,7
82,83,Liberty,-7.3,75,124,97,2019,7
83,84,S Mississippi,-7.4,53,90,83,2019,7
84,85,Kansas,-7.7,67,125,99,2019,7
85,86,Tennessee,-8.0,19,108,95,2019,7
86,87,Arkansas,-8.4,75,118,90,2019,7
87,88,Central Mich,-8.8,54,128,106,2019,7
88,89,Ohio,-8.9,47,100,96,2019,7
89,90,Boston Col,-9.3,29,103,93,2019,7
90,91,LA Tech,-9.3,53,111,94,2019,7
91,92,Miami (OH),-9.4,62,111,92,2019,7
92,93,Arkansas St,-9.5,44,113,78,2019,7
93,94,Buffalo,-9.5,39,119,88,2019,7
94,95,Illinois,-9.7,18,102,81,2019,7
95,96,Troy,-10.0,64,111,85,2019,7
96,97,VA Tech,-10.3,11,115,114,2019,7
97,98,UAB,-10.4,71,128,101,2019,7
98,99,Marshall,-10.5,45,104,87,2019,7
99,100,Vanderbilt,-10.5,55,119,84,2019,7
100,101,S Florida,-10.9,60,128,110,2019,7
101,102,W Kentucky,-11.5,44,130,111,2019,7
102,103,Middle Tenn,-12.0,40,110,109,2019,7
103,104,San Jose St,-12.1,84,124,100,2019,7
104,105,LA Monroe,-12.6,61,119,105,2019,7
