,Rank,Team,Rating,Hi,Low,Last,Season,Week
0,1,Auburn,14.2,1,17,2,2019,13
1,2,LSU,13.5,1,68,1,2019,13
2,3,Michigan,11.8,3,74,4,2019,13
3,4,Wisconsin,11.7,2,89,3,2019,13
4,5,Florida,11.5,4,37,6,2019,13
5,6,Ohio State,10.6,1,67,5,2019,13
6,7,Georgia,10.5,3,48,16,2019,13
7,8,Alabama,10.3,1,51,9,2019,13
8,9,Iowa,10.0,7,98,7,2019,13
9,10,Penn State,9.7,1,92,8,2019,13
10,11,Michigan St,8.8,5,97,11,2019,13
11,12,Miss State,8.7,10,65,13,2019,13
12,13,Notre Dame,8.6,1,59,12,2019,13
13,14,USC,7.7,6,61,15,2019,13
14,15,Oregon,7.7,4,19,10,2019,13
15,16,S Carolina,7.5,2,41,17,2019,13
16,17,Texas A&M,7.5,1,107,14,2019,13
17,18,Iowa State,6.1,18,120,18,2019,13
18,19,Texas,6.1,9,78,20,2019,13
19,20,Utah,5.4,16,55,21,2019,13
20,21,Washington,5.1,12,90,26,2019,13
21,22,Stanford,4.8,1,42,28,2019,13
22,23,Oklahoma,4.7,7,56,31,2019,13
23,24,TX Christian,4.5,19,122,25,2019,13
24,25,Tulsa,4.5,11,95,22,2019,13
25,26,N Carolina,4.3,5,58,27,2019,13
26,27,Indiana,4.2,19,101,48,2019,13
27,28,Tennessee,4.0,21,104,29,2019,13
28,29,UCLA,3.6,7,41,34,2019,13
29,30,Wash State,3.5,23,106,30,2019,13
30,31,Oklahoma St,3.5,23,92,23,2019,13
31,32,Nebraska,3.4,20,89,44,2019,13
32,33,Baylor,3.3,19,127,45,2019,13
33,34,California,3.1,29,104,33,2019,13
34,35,Kansas St,3.0,24,123,24,2019,13
35,36,Mississippi,3.0,22,74,46,2019,13
36,37,Maryland,3.0,28,91,42,2019,13
37,38,Minnesota,2.9,21,122,57,2019,13
38,39,Clemson,2.6,1,62,43,2019,13
39,40,Kentucky,2.4,20,93,32,2019,13
40,41,Northwestern,2.3,8,41,19,2019,13
41,42,Houston,2.3,6,50,35,2019,13
42,43,Arizona St,2.2,28,124,37,2019,13
43,44,Louisville,2.1,15,90,40,2019,13
44,45,Missouri,2.0,25,88,58,2019,13
45,46,Colorado,1.9,30,110,41,2019,13
46,47,Miami (FL),1.7,4,63,51,2019,13
47,48,Cincinnati,1.4,11,61,36,2019,13
48,49,Virginia,1.4,33,66,47,2019,13
49,50,Pittsburgh,1.2,11,63,49,2019,13
50,51,Purdue,1.2,30,74,52,2019,13
51,52,BYU,1.0,13,71,38,2019,13
52,53,Oregon St,0.9,31,99,50,2019,13
53,54,W Virginia,0.8,45,99,62,2019,13
54,55,Central FL,0.7,26,111,53,2019,13
55,56,Texas Tech,0.7,41,125,59,2019,13
56,57,Navy,0.4,50,130,67,2019,13
57,58,Florida St,0.3,22,60,54,2019,13
58,59,Arizona,0.2,46,93,63,2019,13
59,60,Duke,0.2,1,61,39,2019,13
60,61,Illinois,0.1,43,118,60,2019,13
61,62,Tulane,-0.1,21,104,55,2019,13
62,63,Vanderbilt,-0.1,3,73,56,2019,13
63,64,Memphis,-1.4,29,112,65,2019,13
64,65,Syracuse,-1.4,12,77,72,2019,13
65,66,GA Tech,-1.7,2,92,61,2019,13
66,67,S Methodist,-1.8,43,83,64,2019,13
67,68,Wake Forest,-1.8,48,81,80,2019,13
68,69,VA Tech,-2.2,28,111,68,2019,13
69,70,Kansas,-2.4,64,120,73,2019,13
