,Rank,Team,Rating,v 1-10,v 11-25,v 26-40,Hi,Low,Last,Season,Week
0,1,Mississippi,31.8,0-0,0-0,0-0,1,59,2,2018,8
1,2,LSU,30.6,0-0,1-0,0-0,1,65,1,2018,8
2,3,Alabama,29.1,0-0,0-0,0-0,1,19,3,2018,8
3,4,Army,26.2,0-0,0-0,0-0,2,127,36,2018,8
4,5,W Virginia,25.4,0-0,0-0,0-0,3,37,5,2018,8
5,6,Ohio State,23.3,0-0,1-0,0-0,4,44,4,2018,8
6,7,Auburn,20.5,0-0,1-0,0-0,2,24,6,2018,8
7,8,Maryland,17.2,1-0,0-0,0-0,7,76,7,2018,8
8,9,Colorado,15.6,0-0,0-0,0-0,1,83,8,2018,8
9,10,Texas,12.8,0-1,1-0,0-0,9,126,10,2018,8
10,11,TX Christian,11.7,0-1,0-0,0-0,8,44,9,2018,8
11,12,Oklahoma,9.2,0-1,0-0,0-0,8,45,12,2018,8
12,13,Virginia,7.9,0-0,0-0,0-0,8,85,13,2018,8
13,14,Washington,6.8,0-1,0-0,0-0,5,28,11,2018,8
14,15,Arkansas,6.5,0-0,0-1,0-0,12,104,14,2018,8
15,16,Miami (FL),1.4,0-1,0-0,0-0,12,126,123,2018,8
16,17,Texas A&M,1.1,0-0,1-0,0-0,5,119,15,2018,8
17,18,Penn State,--,0-0,0-0,0-0,10,53,16,2018,8
18,19,Clemson,--,0-0,0-0,0-0,1,48,17,2018,8
19,20,Notre Dame,--,0-0,0-0,0-0,3,58,19,2018,8
20,21,Iowa,--,0-0,0-0,0-0,12,66,22,2018,8
21,22,Florida,--,0-0,0-0,0-0,11,62,20,2018,8
22,23,App State,--,0-0,0-0,0-0,4,71,23,2018,8
23,24,Purdue,--,0-0,0-0,0-0,10,127,40,2018,8
24,25,Duke,--,0-0,0-0,0-0,4,44,24,2018,8
25,26,Georgia,--,0-0,0-0,0-0,1,41,18,2018,8
26,27,Kentucky,--,0-0,0-0,0-0,18,63,25,2018,8
27,28,Northwestern,--,0-0,0-0,0-0,2,118,28,2018,8
28,29,Michigan St,--,0-0,0-0,0-0,13,55,39,2018,8
29,30,Utah State,--,0-0,0-0,0-0,1,75,29,2018,8
30,31,Cincinnati,--,0-0,0-0,0-0,15,95,33,2018,8
31,32,Utah,--,0-0,0-0,0-0,18,120,31,2018,8
32,33,Oregon,--,0-0,0-0,0-0,22,74,26,2018,8
33,34,NC State,--,0-0,0-0,0-0,30,122,35,2018,8
34,35,Wisconsin,--,0-0,0-0,0-0,1,54,21,2018,8
35,36,S Carolina,--,0-0,0-0,0-0,15,122,34,2018,8
36,37,Fresno St,--,0-0,0-0,0-0,14,67,43,2018,8
37,38,Michigan,--,0-0,0-0,0-0,11,112,37,2018,8
38,39,Central FL,--,0-0,0-0,0-0,1,56,30,2018,8
39,40,North Texas,--,0-0,0-0,0-0,17,128,42,2018,8
40,41,Iowa State,--,0-0,0-0,0-0,27,66,41,2018,8
41,42,Syracuse,--,0-0,0-0,0-0,5,127,45,2018,8
42,43,Temple,--,0-0,0-0,0-0,15,124,32,2018,8
43,44,Missouri,--,0-0,0-0,0-0,21,57,44,2018,8
44,45,Miss State,--,0-0,0-0,0-0,14,55,50,2018,8
45,46,Buffalo,--,0-0,0-0,0-0,34,121,47,2018,8
46,47,Wash State,--,0-0,0-0,0-0,10,70,48,2018,8
47,48,Boise State,--,0-0,0-0,0-0,8,57,38,2018,8
48,49,Stanford,--,0-0,0-0,0-0,8,52,49,2018,8
49,50,VA Tech,--,0-0,0-0,0-0,10,68,46,2018,8
50,51,GA Tech,--,0-0,0-0,0-0,36,121,55,2018,8
51,52,Vanderbilt,--,0-0,0-0,0-0,30,110,51,2018,8
52,53,BYU,--,0-0,0-0,0-0,10,77,52,2018,8
53,54,San Diego St,--,0-0,0-0,0-0,43,126,56,2018,8
54,55,Wake Forest,--,0-0,0-0,0-0,3,85,57,2018,8
55,56,UCLA,--,0-0,0-0,0-0,40,90,89,2018,8
56,57,Arizona St,--,0-0,0-0,0-0,26,73,58,2018,8
57,58,LA Tech,--,0-0,0-0,0-0,31,109,69,2018,8
58,59,Indiana,--,0-0,0-0,0-0,39,105,60,2018,8
59,60,Florida St,--,0-0,0-0,0-0,16,90,61,2018,8
60,61,Boston Col,--,0-0,0-0,0-0,22,64,64,2018,8
61,62,E Michigan,--,0-0,0-0,0-0,36,119,62,2018,8
62,63,UAB,--,0-0,0-0,0-0,7,122,84,2018,8
