,Rank,Team,2018,Last 3,Last 1,Home,Away,2017,Season,Week
0,1,Oklahoma,49.0,50.0,48.0,50.8,46.3,45.1,2018,12
1,2,Utah State,48.9,59.7,62.0,56.8,39.0,28.4,2018,12
2,3,Alabama,48.6,37.0,24.0,44.2,53.0,35.6,2018,12
3,4,Clemson,45.4,54.3,27.0,45.8,45.2,31.2,2018,12
4,5,Houston,45.3,45.7,49.0,48.0,43.2,28.3,2018,12
5,6,Central FL,45.0,41.3,35.0,47.2,41.3,46.2,2018,12
6,7,Syracuse,42.4,48.7,54.0,45.2,39.0,25.4,2018,12
7,8,Memphis,42.2,46.3,47.0,48.6,34.3,45.7,2018,12
8,9,Ohio State,40.6,27.3,26.0,48.8,28.3,41.1,2018,12
9,10,W Virginia,39.5,49.0,47.0,44.5,34.5,32.5,2018,12
10,11,Ohio,39.4,46.3,28.0,53.0,32.7,37.4,2018,12
11,12,Texas Tech,37.9,37.0,34.0,45.0,29.0,32.5,2018,12
12,13,GA Tech,37.2,38.0,27.0,31.3,42.0,27.2,2018,12
13,14,Michigan,37.2,35.0,42.0,45.3,25.0,25.2,2018,12
14,15,Oklahoma St,37.1,38.7,47.0,39.2,34.5,45.0,2018,12
15,16,Boise State,36.6,31.0,24.0,35.2,38.0,32.5,2018,12
16,17,Temple,36.2,41.0,59.0,33.3,38.6,25.8,2018,12
17,18,Georgia,36.1,32.3,27.0,38.8,34.0,34.9,2018,12
18,19,Penn State,35.7,19.7,22.0,33.8,38.5,41.1,2018,12
19,20,Toledo,35.6,37.0,15.0,40.2,29.8,35.5,2018,12
20,21,Wash State,35.2,30.3,31.0,28.0,41.0,30.3,2018,12
21,22,Buffalo,34.9,43.3,48.0,34.2,35.8,28.1,2018,12
22,22,North Texas,34.9,31.0,31.0,36.0,34.0,33.7,2018,12
23,24,Notre Dame,34.5,39.0,42.0,28.2,44.0,34.2,2018,12
24,25,App State,34.0,25.0,38.0,39.5,32.2,31.8,2018,12
25,26,Liberty,33.9,35.0,24.0,27.0,38.0,48.0,2018,12
26,27,Missouri,33.8,28.3,33.0,36.2,30.8,34.7,2018,12
27,28,Fresno St,33.6,38.3,17.0,42.0,29.3,24.2,2018,12
28,29,Mississippi,33.2,28.0,24.0,35.0,31.0,31.7,2018,12
29,30,Texas,33.2,39.0,41.0,32.0,34.4,29.5,2018,12
30,31,Oregon,33.1,27.3,25.0,39.2,25.5,32.6,2018,12
31,32,Florida Intl,32.6,32.3,45.0,33.0,32.0,26.3,2018,12
32,33,NC State,32.4,37.0,23.0,34.8,28.3,30.8,2018,12
