,Rank,Team,Rating,Hi,Low,Last,Season,Week
0,1,Clemson,35.8,1,39,1,2018,14
1,2,Alabama,35.4,1,55,2,2018,14
2,3,Miss State,28.2,3,47,6,2018,14
3,4,Georgia,27.7,4,30,7,2018,14
4,5,W Virginia,23.8,5,34,8,2018,14
5,6,Notre Dame,23.1,5,45,5,2018,14
6,7,Missouri,22.9,4,54,4,2018,14
7,8,Michigan,22.2,3,26,3,2018,14
8,9,Ohio,18.6,8,125,12,2018,14
9,10,Oklahoma,17.8,1,61,10,2018,14
10,11,Auburn,17.3,4,46,18,2018,14
11,12,Central FL,16.6,1,45,21,2018,14
12,13,Wash State,16.1,11,64,11,2018,14
13,14,Iowa,16.0,9,45,9,2018,14
14,15,Pittsburgh,14.1,9,111,13,2018,14
15,16,Ohio State,13.9,2,41,29,2018,14
16,17,Texas,13.3,13,75,20,2018,14
17,18,California,13.2,18,101,47,2018,14
18,19,Boise State,13.2,3,68,23,2018,14
19,20,Utah,13.1,6,120,17,2018,14
20,21,Utah State,13.1,10,107,22,2018,14
21,22,Penn State,12.9,2,49,28,2018,14
22,23,Syracuse,12.7,11,63,48,2018,14
23,24,Texas A&M,12.4,2,35,19,2018,14
24,25,Temple,12.1,23,124,34,2018,14
25,26,Cincinnati,12.0,22,86,45,2018,14
26,27,Vanderbilt,11.7,14,89,40,2018,14
27,28,LSU,11.2,5,65,15,2018,14
28,29,Stanford,11.1,2,56,33,2018,14
29,30,GA Tech,11.0,12,79,30,2018,14
30,31,Northwestern,10.9,5,80,24,2018,14
31,32,Oklahoma St,10.9,7,68,35,2018,14
32,33,Fresno St,10.5,5,65,16,2018,14
33,34,Wake Forest,10.3,8,104,89,2018,14
34,35,Iowa State,10.3,8,67,14,2018,14
35,36,Kentucky,10.2,8,63,51,2018,14
36,37,Florida,10.1,6,62,38,2018,14
37,38,Washington,9.9,14,44,44,2018,14
38,39,Arizona St,9.8,15,56,31,2018,14
39,40,Nebraska,9.7,24,106,25,2018,14
40,41,NC State,8.7,15,105,37,2018,14
41,42,Miami (FL),8.6,9,72,42,2018,14
42,43,S Carolina,8.3,17,51,39,2018,14
43,44,Toledo,7.6,8,104,66,2018,14
44,45,Minnesota,7.0,3,98,84,2018,14
45,46,Middle Tenn,6.9,46,117,63,2018,14
46,47,Memphis,6.8,20,84,50,2018,14
47,48,Oregon,6.4,21,61,61,2018,14
48,49,Michigan St,6.2,15,51,26,2018,14
49,50,Boston Col,5.6,9,50,27,2018,14
50,51,Indiana,4.9,48,85,57,2018,14
51,52,BYU,4.9,25,90,49,2018,14
52,53,Kansas St,4.2,36,114,36,2018,14
53,54,Buffalo,3.5,40,95,64,2018,14
54,55,Arkansas St,2.5,54,98,69,2018,14
55,56,Arizona,2.3,49,103,73,2018,14
56,57,Wyoming,2.3,2,115,76,2018,14
57,58,Miami (OH),2.3,46,113,59,2018,14
58,59,App State,2.1,6,103,65,2018,14
59,60,Marshall,1.7,55,104,55,2018,14
60,61,USC,1.1,10,67,67,2018,14
61,62,Purdue,1.0,4,86,32,2018,14
62,63,TX Christian,0.9,1,85,82,2018,14
63,64,Maryland,0.5,28,66,58,2018,14
64,65,Virginia,0.4,27,80,43,2018,14
65,66,Nevada,0.4,6,107,52,2018,14
66,67,N Illinois,0.4,38,104,56,2018,14
67,68,Baylor,-0.1,45,80,74,2018,14
68,69,Troy,-0.2,55,115,85,2018,14
69,70,Texas Tech,-0.3,8,98,41,2018,14
70,71,Kansas,-0.3,51,126,87,2018,14
71,72,Wisconsin,-0.7,5,72,46,2018,14
72,73,GA Southern,-0.9,52,114,77,2018,14
73,74,Houston,-1.0,30,105,53,2018,14
74,75,Fla Atlantic,-1.7,41,109,75,2018,14
75,76,Tennessee,-1.7,32,100,71,2018,14
76,77,Rutgers,-1.7,55,129,91,2018,14
77,78,Mississippi,-2.8,15,85,68,2018,14
78,79,UAB,-3.3,4,116,60,2018,14
79,80,S Methodist,-3.5,63,115,72,2018,14
80,81,Army,-3.5,12,121,81,2018,14
81,82,UCLA,-3.8,7,105,86,2018,14
82,83,E Michigan,-4.2,57,117,78,2018,14
83,84,S Mississippi,-4.2,46,112,96,2018,14
84,85,N Carolina,-4.3,50,114,70,2018,14
85,86,Air Force,-4.4,53,87,79,2018,14
86,87,LA Monroe,-4.6,61,126,62,2018,14
87,88,Tulane,-4.7,51,123,88,2018,14
88,89,Florida Intl,-5.4,48,128,93,2018,14
89,90,Duke,-5.7,4,90,54,2018,14
