,Rank,Team,Rating,v 1-10,v 11-25,v 26-40,Hi,Low,Last,Season,Week
0,1,Mississippi,31.2,0-0,0-0,0-0,1,59,1,2018,12
1,2,Georgia,30.6,0-0,1-0,0-0,1,41,2,2018,12
2,3,Army,29.1,0-0,0-0,0-0,2,127,3,2018,12
3,4,W Virginia,27.8,0-0,0-0,0-0,3,37,6,2018,12
4,5,LSU,27.1,0-0,0-0,0-0,1,65,4,2018,12
5,6,Alabama,25.4,0-0,0-0,0-0,1,19,5,2018,12
6,7,Auburn,18.5,0-0,1-0,0-0,2,24,8,2018,12
7,8,Ohio State,17.2,0-0,1-0,0-0,4,44,7,2018,12
8,9,Maryland,16.6,0-0,1-0,0-0,7,76,9,2018,12
9,10,Virginia,15.6,0-0,0-0,0-0,8,85,10,2018,12
10,11,Notre Dame,14.2,0-0,0-0,0-0,3,58,12,2018,12
11,12,Colorado,12.3,0-0,0-0,0-0,1,83,11,2018,12
12,13,Texas,12.0,0-1,1-0,0-0,9,126,13,2018,12
13,14,Oklahoma,8.6,0-0,0-1,0-0,8,45,14,2018,12
14,15,Washington,7.8,0-1,0-0,0-0,5,28,15,2018,12
15,16,TX Christian,7.1,0-1,0-0,0-0,8,44,17,2018,12
16,17,Arkansas,6.6,0-0,0-1,0-0,12,104,16,2018,12
17,18,Florida,5.8,0-1,0-0,0-0,11,62,18,2018,12
18,19,Texas A&M,2.3,0-0,1-0,0-0,5,119,19,2018,12
19,20,Clemson,--,0-0,0-0,0-0,1,48,21,2018,12
20,21,Penn State,--,0-0,0-0,0-0,10,53,22,2018,12
21,22,Michigan,--,0-0,0-0,0-0,11,112,27,2018,12
22,23,Michigan St,--,0-0,0-0,0-0,13,55,23,2018,12
23,24,Iowa,--,0-0,0-0,0-0,12,66,24,2018,12
24,25,Missouri,--,0-0,0-0,0-0,21,57,25,2018,12
25,26,Duke,--,0-0,0-0,0-0,4,44,30,2018,12
26,27,Fresno St,--,0-0,0-0,0-0,14,67,29,2018,12
27,28,Utah State,--,0-0,0-0,0-0,1,75,31,2018,12
28,29,Utah,--,0-0,0-0,0-0,18,120,32,2018,12
29,30,Syracuse,--,0-0,0-0,0-0,5,127,33,2018,12
30,31,Wash State,--,0-0,0-0,0-0,10,70,39,2018,12
31,32,Northwestern,--,0-0,0-0,0-0,2,118,36,2018,12
32,33,Central FL,--,0-0,0-0,0-0,1,56,37,2018,12
33,34,Iowa State,--,0-0,0-0,0-0,27,66,35,2018,12
34,35,S Carolina,--,0-0,0-0,0-0,15,122,34,2018,12
35,36,Boise State,--,0-0,0-0,0-0,8,57,41,2018,12
36,37,Buffalo,--,0-0,0-0,0-0,34,121,38,2018,12
37,38,Stanford,--,0-0,0-0,0-0,8,52,40,2018,12
38,39,Temple,--,0-0,0-0,0-0,15,124,47,2018,12
