,Rank,Team,Rating,v 1-10,v 11-25,v 26-40,Hi,Low,Last,Season,Week
0,1,Mississippi,32.6,0-0,0-0,0-0,1,59,1,2018,9
1,2,LSU,31.2,0-0,1-0,0-0,1,65,2,2018,9
2,3,Alabama,29.6,0-0,0-0,0-0,1,19,3,2018,9
3,4,Army,28.4,0-0,0-0,0-0,2,127,4,2018,9
4,5,W Virginia,25.2,0-0,0-0,0-0,3,37,5,2018,9
5,6,Ohio State,21.2,0-0,1-0,0-0,4,44,6,2018,9
6,7,Auburn,20.5,0-0,1-0,0-0,2,24,7,2018,9
7,8,Maryland,16.7,1-0,0-0,0-0,7,76,8,2018,9
8,9,Colorado,15.9,0-0,0-0,0-0,1,83,9,2018,9
9,10,Texas,12.7,0-1,1-0,0-0,9,126,10,2018,9
10,11,Virginia,9.7,0-0,0-0,0-0,8,85,13,2018,9
11,12,Oklahoma,8.7,0-1,0-0,0-0,8,45,12,2018,9
12,13,Washington,7.9,0-1,0-0,0-0,5,28,14,2018,9
13,14,TX Christian,7.2,0-1,0-0,0-0,8,44,11,2018,9
14,15,Arkansas,6.8,0-0,0-1,0-0,12,104,15,2018,9
15,16,Texas A&M,2.8,0-0,1-0,0-0,5,119,17,2018,9
16,17,Miami (FL),2.4,0-1,0-0,0-0,12,126,16,2018,9
17,18,Clemson,--,0-0,0-0,0-0,1,48,19,2018,9
18,19,Notre Dame,--,0-0,0-0,0-0,3,58,20,2018,9
19,20,Penn State,--,0-0,0-0,0-0,10,53,18,2018,9
20,21,Iowa,--,0-0,0-0,0-0,12,66,21,2018,9
21,22,Purdue,--,0-0,0-0,0-0,10,127,24,2018,9
22,23,Florida,--,0-0,0-0,0-0,11,62,22,2018,9
23,24,Georgia,--,0-0,0-0,0-0,1,41,26,2018,9
24,25,App State,--,0-0,0-0,0-0,4,71,23,2018,9
25,26,Duke,--,0-0,0-0,0-0,4,44,25,2018,9
26,27,Kentucky,--,0-0,0-0,0-0,18,63,27,2018,9
27,28,Michigan St,--,0-0,0-0,0-0,13,55,29,2018,9
28,29,Michigan,--,0-0,0-0,0-0,11,112,38,2018,9
29,30,Utah,--,0-0,0-0,0-0,18,120,32,2018,9
30,31,Fresno St,--,0-0,0-0,0-0,14,67,37,2018,9
31,32,Wisconsin,--,0-0,0-0,0-0,1,54,35,2018,9
32,33,S Carolina,--,0-0,0-0,0-0,15,122,36,2018,9
33,34,Missouri,--,0-0,0-0,0-0,21,57,44,2018,9
34,35,Cincinnati,--,0-0,0-0,0-0,15,95,31,2018,9
35,36,Central FL,--,0-0,0-0,0-0,1,56,39,2018,9
36,37,Syracuse,--,0-0,0-0,0-0,5,127,42,2018,9
37,38,Utah State,--,0-0,0-0,0-0,1,75,30,2018,9
38,39,Iowa State,--,0-0,0-0,0-0,27,66,41,2018,9
39,40,Northwestern,--,0-0,0-0,0-0,2,118,28,2018,9
40,41,Temple,--,0-0,0-0,0-0,15,124,43,2018,9
41,42,Buffalo,--,0-0,0-0,0-0,34,121,46,2018,9
42,43,Stanford,--,0-0,0-0,0-0,8,52,49,2018,9
43,44,Boise State,--,0-0,0-0,0-0,8,57,48,2018,9
44,45,California,--,0-0,0-0,0-0,31,70,70,2018,9
45,46,Wash State,--,0-0,0-0,0-0,10,70,47,2018,9
46,47,North Texas,--,0-0,0-0,0-0,17,128,40,2018,9
47,48,Miss State,--,0-0,0-0,0-0,14,55,45,2018,9
48,49,Oregon,--,0-0,0-0,0-0,22,74,33,2018,9
49,50,VA Tech,--,0-0,0-0,0-0,10,68,50,2018,9
50,51,NC State,--,0-0,0-0,0-0,30,122,34,2018,9
51,52,Vanderbilt,--,0-0,0-0,0-0,30,110,52,2018,9
52,53,BYU,--,0-0,0-0,0-0,10,77,53,2018,9
53,54,GA Tech,--,0-0,0-0,0-0,36,121,51,2018,9
54,55,UCLA,--,0-0,0-0,0-0,40,90,56,2018,9
55,56,San Diego St,--,0-0,0-0,0-0,43,126,54,2018,9
56,57,E Michigan,--,0-0,0-0,0-0,36,119,62,2018,9
57,58,LA Tech,--,0-0,0-0,0-0,31,109,58,2018,9
