,Rank,Team,Rating,Hi,Low,Last,Season,Week
0,1,Clemson,39.8,1,39,1,2018,13
1,2,Alabama,35.0,1,55,2,2018,13
2,3,Michigan,28.6,3,26,3,2018,13
3,4,Missouri,22.8,4,54,10,2018,13
4,5,Notre Dame,21.6,5,45,9,2018,13
5,6,Miss State,21.6,3,47,7,2018,13
6,7,Georgia,21.1,4,30,4,2018,13
7,8,W Virginia,20.5,5,34,6,2018,13
8,9,Iowa,20.3,9,45,15,2018,13
9,10,Oklahoma,20.1,1,61,5,2018,13
10,11,Wash State,20.0,11,64,19,2018,13
11,12,Ohio,20.0,8,125,21,2018,13
12,13,Pittsburgh,19.1,9,111,11,2018,13
13,14,Iowa State,15.8,8,67,8,2018,13
14,15,LSU,15.8,5,65,12,2018,13
15,16,Fresno St,15.4,5,65,13,2018,13
16,17,Utah,14.5,6,120,16,2018,13
17,18,Auburn,14.2,4,46,31,2018,13
18,19,Texas A&M,13.1,2,35,24,2018,13
19,20,Texas,13.1,13,75,18,2018,13
20,21,Central FL,13.0,1,45,28,2018,13
21,22,Utah State,12.5,10,107,14,2018,13
22,23,Boise State,11.8,3,68,35,2018,13
23,24,Northwestern,11.4,5,80,38,2018,13
24,25,Nebraska,11.0,24,106,25,2018,13
25,26,Michigan St,9.7,15,51,17,2018,13
26,27,Boston Col,9.2,9,50,29,2018,13
27,28,Penn State,8.7,2,49,36,2018,13
28,29,Ohio State,8.6,2,41,26,2018,13
29,30,GA Tech,8.5,12,79,20,2018,13
30,31,Arizona St,8.5,15,56,46,2018,13
31,32,Purdue,7.9,4,86,22,2018,13
32,33,Stanford,7.7,2,56,41,2018,13
33,34,Temple,7.6,23,124,23,2018,13
34,35,Oklahoma St,7.6,7,68,56,2018,13
35,36,Kansas St,7.4,36,114,60,2018,13
36,37,NC State,7.4,15,105,58,2018,13
37,38,Florida,7.1,6,62,37,2018,13
38,39,S Carolina,7.0,17,51,34,2018,13
39,40,Vanderbilt,6.8,14,89,47,2018,13
40,41,Texas Tech,6.7,8,98,27,2018,13
41,42,Miami (FL),6.6,9,72,66,2018,13
42,43,Virginia,6.1,27,80,42,2018,13
43,44,Washington,6.0,14,44,39,2018,13
44,45,Cincinnati,5.9,22,86,30,2018,13
45,46,Wisconsin,5.9,5,72,57,2018,13
46,47,California,5.1,18,101,51,2018,13
47,48,Syracuse,5.0,11,63,33,2018,13
48,49,BYU,4.8,25,90,67,2018,13
49,50,Memphis,4.5,20,84,52,2018,13
50,51,Kentucky,4.0,8,63,48,2018,13
51,52,Nevada,3.8,6,107,59,2018,13
52,53,Houston,3.3,30,105,65,2018,13
53,54,Duke,3.0,4,90,44,2018,13
54,55,Marshall,3.0,55,104,69,2018,13
55,56,N Illinois,2.7,38,104,54,2018,13
56,57,Indiana,2.4,48,85,79,2018,13
57,58,Maryland,2.3,28,66,64,2018,13
58,59,Miami (OH),2.3,46,113,53,2018,13
59,60,UAB,1.9,4,116,43,2018,13
60,61,Oregon,1.2,21,61,61,2018,13
61,62,LA Monroe,1.1,61,126,86,2018,13
62,63,Middle Tenn,0.8,46,117,76,2018,13
63,64,Buffalo,0.5,40,95,45,2018,13
64,65,App State,0.4,6,103,55,2018,13
65,66,Toledo,0.4,8,104,70,2018,13
66,67,USC,0.4,10,67,62,2018,13
67,68,Mississippi,0.2,15,85,40,2018,13
68,69,Arkansas St,-0.7,54,98,84,2018,13
69,70,N Carolina,-0.9,50,114,68,2018,13
70,71,Tennessee,-1.0,32,100,32,2018,13
71,72,S Methodist,-1.1,63,115,74,2018,13
72,73,Arizona,-1.2,49,103,50,2018,13
73,74,Baylor,-1.7,45,80,72,2018,13
74,75,Fla Atlantic,-1.8,41,109,82,2018,13
75,76,Wyoming,-2.7,2,115,88,2018,13
76,77,GA Southern,-2.7,52,114,93,2018,13
77,78,E Michigan,-2.7,57,117,80,2018,13
78,79,Air Force,-3.1,53,87,71,2018,13
79,80,Florida St,-3.2,2,104,81,2018,13
80,81,Army,-3.4,12,121,49,2018,13
81,82,TX Christian,-3.4,1,85,85,2018,13
82,83,North Texas,-3.6,12,106,91,2018,13
83,84,Minnesota,-3.7,3,98,73,2018,13
84,85,Troy,-4.2,55,115,77,2018,13
85,86,UCLA,-4.3,7,105,63,2018,13
86,87,Kansas,-4.4,51,126,87,2018,13
87,88,Tulane,-4.8,51,123,78,2018,13
88,89,Wake Forest,-4.9,8,104,89,2018,13
89,90,Arkansas,-6.0,59,110,75,2018,13
90,91,Rutgers,-6.1,55,129,102,2018,13
91,92,LA Lafayette,-6.5,73,126,83,2018,13
92,93,Florida Intl,-6.5,48,128,90,2018,13
93,94,San Diego St,-8.0,54,116,95,2018,13
94,95,Navy,-9.0,52,120,98,2018,13
95,96,S Mississippi,-9.1,46,112,99,2018,13
96,97,LA Tech,-11.1,58,105,94,2018,13
97,98,Colorado,-11.2,7,106,96,2018,13
98,99,VA Tech,-11.2,4,99,97,2018,13
99,100,Charlotte,-11.2,92,121,92,2018,13
100,101,E Carolina,-11.5,69,127,117,2018,13
101,102,San Jose St,-13.1,98,130,114,2018,13
102,103,Old Dominion,-13.4,97,129,119,2018,13
103,104,Texas State,-14.4,104,129,105,2018,13
104,105,Oregon St,-14.4,62,127,109,2018,13
105,106,Bowling Grn,-14.4,92,128,112,2018,13
106,107,Tulsa,-14.5,71,108,101,2018,13
107,108,S Florida,-14.7,59,110,103,2018,13
108,109,Illinois,-15.9,88,110,100,2018,13
109,110,W Michigan,-17.0,57,123,108,2018,13
110,111,Liberty,-17.1,18,120,106,2018,13
111,112,Colorado St,-17.7,107,130,115,2018,13
112,113,UNLV,-17.7,84,128,110,2018,13
113,114,Coastal Car,-17.9,70,121,118,2018,13
114,115,W Kentucky,-18.6,91,128,127,2018,13
115,116,U Mass,-19.2,1,125,121,2018,13
116,117,Akron,-19.9,50,118,104,2018,13
117,118,New Mexico,-20.2,77,124,113,2018,13
118,119,Hawaii,-20.7,54,127,116,2018,13
119,120,Georgia State,-21.3,102,127,120,2018,13
120,121,TX El Paso,-22.0,105,130,107,2018,13
121,122,Rice,-22.0,115,130,129,2018,13
122,123,Kent State,-22.0,74,124,111,2018,13
123,124,Ball State,-22.1,52,129,123,2018,13
124,125,S Alabama,-22.8,100,128,128,2018,13
125,126,Central Mich,-23.3,94,127,125,2018,13
126,127,Louisville,-23.7,46,129,122,2018,13
127,128,N Mex State,-27.1,117,129,124,2018,13
128,129,Connecticut,-27.7,96,130,126,2018,13
129,130,TX-San Ant,-33.6,92,130,130,2018,13
