,Rank,Team,Rating,Hi,Low,Last,Season,Week
0,1,Texas A&M,31.9,1,66,3,2014,5
1,2,Baylor,31.0,2,91,5,2014,5
2,3,Auburn,29.6,1,37,1,2014,5
3,4,Mississippi,29.4,1,58,4,2014,5
4,5,Georgia,28.2,2,27,7,2014,5
5,6,Oklahoma,27.6,1,85,2,2014,5
6,7,Alabama,23.6,1,45,9,2014,5
7,8,Arkansas,20.2,5,55,14,2014,5
8,9,Wisconsin,20.1,3,40,35,2014,5
9,10,Oregon,19.1,1,18,8,2014,5
10,11,Utah,19.0,5,52,21,2014,5
11,12,BYU,18.7,5,86,6,2014,5
12,13,Miss State,18.3,4,104,15,2014,5
13,14,Notre Dame,17.9,7,68,10,2014,5
14,15,Ohio State,16.9,2,64,13,2014,5
15,16,LSU,16.6,9,32,12,2014,5
16,17,USC,16.1,2,26,19,2014,5
17,18,Clemson,15.2,9,54,25,2014,5
18,19,Nebraska,15.0,4,57,17,2014,5
19,20,E Carolina,14.3,7,76,30,2014,5
20,21,Stanford,14.0,4,34,22,2014,5
21,22,Florida,13.9,5,58,11,2014,5
22,23,Memphis,13.4,15,50,18,2014,5
23,24,W Virginia,12.9,1,41,24,2014,5
24,25,Michigan St,12.7,4,44,43,2014,5
25,26,GA Southern,11.9,24,79,27,2014,5
26,27,Temple,11.7,3,83,40,2014,5
27,28,Marshall,10.9,10,127,51,2014,5
28,29,Florida St,10.9,8,42,38,2014,5
29,30,Louisville,10.5,23,73,34,2014,5
30,31,TX Christian,10.3,1,91,33,2014,5
31,32,Oklahoma St,10.3,2,95,29,2014,5
32,33,Arizona St,10.2,7,60,32,2014,5
33,34,S Carolina,10.0,11,116,41,2014,5
34,35,UCLA,10.0,3,39,36,2014,5
35,36,Tennessee,9.9,11,56,31,2014,5
36,37,Missouri,9.1,14,77,20,2014,5
37,38,Duke,9.0,25,108,46,2014,5
38,39,Kansas St,8.7,7,52,52,2014,5
39,40,Arizona,8.4,3,40,28,2014,5
40,41,California,7.7,33,68,39,2014,5
41,42,Penn State,7.4,37,77,53,2014,5
42,43,Pittsburgh,7.2,13,97,23,2014,5
43,44,Boise State,6.8,12,117,49,2014,5
44,45,Kentucky,6.6,40,91,44,2014,5
45,46,Maryland,6.4,33,79,58,2014,5
46,47,NC State,6.1,33,97,48,2014,5
47,48,VA Tech,6.0,19,82,42,2014,5
48,49,TX-San Ant,4.9,6,125,50,2014,5
49,50,Virginia,4.7,41,64,60,2014,5
50,51,Texas,4.2,19,63,56,2014,5
51,52,Boston Col,3.3,36,86,47,2014,5
52,53,GA Tech,2.9,1,81,66,2014,5
53,54,Navy,2.8,45,94,45,2014,5
54,55,UAB,2.7,39,126,57,2014,5
55,56,Miami (FL),2.6,13,77,63,2014,5
56,57,Houston,2.1,30,121,64,2014,5
57,58,LA Tech,1.9,14,103,26,2014,5
58,59,Michigan,1.9,22,85,55,2014,5
59,60,Indiana,1.9,56,109,75,2014,5
60,61,Wash State,1.2,22,119,72,2014,5
61,62,Rutgers,0.7,6,92,76,2014,5
62,63,Oregon St,0.2,34,86,78,2014,5
63,64,Colorado St,0.1,13,101,65,2014,5
64,65,Cincinnati,-0.1,16,86,16,2014,5
65,66,N Illinois,-0.1,4,118,37,2014,5
66,67,W Kentucky,-0.4,7,111,62,2014,5
67,68,North Texas,-1.1,66,123,83,2014,5
68,69,Texas State,-1.5,12,117,54,2014,5
69,70,Central FL,-1.8,5,74,74,2014,5
70,71,Nevada,-2.2,48,107,67,2014,5
71,72,Washington,-2.2,17,92,71,2014,5
72,73,Minnesota,-3.4,16,122,77,2014,5
73,74,Syracuse,-4.0,59,124,59,2014,5
74,75,Middle Tenn,-4.4,34,115,70,2014,5
75,76,San Diego St,-5.3,49,91,61,2014,5
76,77,Iowa,-6.0,27,96,95,2014,5
77,78,Arkansas St,-6.9,29,90,82,2014,5
78,79,N Carolina,-8.6,34,87,69,2014,5
79,80,App State,-8.7,39,115,73,2014,5
80,81,Northwestern,-9.2,37,84,79,2014,5
81,82,Akron,-9.3,58,123,68,2014,5
82,83,TX El Paso,-9.3,57,116,84,2014,5
83,84,Iowa State,-9.6,21,127,89,2014,5
84,85,Illinois,-9.8,63,104,88,2014,5
85,86,Rice,-9.9,49,102,80,2014,5
86,87,W Michigan,-10.0,37,122,94,2014,5
87,88,Colorado,-10.3,60,120,92,2014,5
88,89,Hawaii,-10.5,51,110,85,2014,5
89,90,Toledo,-10.7,53,95,86,2014,5
90,91,Utah State,-11.1,39,102,90,2014,5
91,92,Old Dominion,-11.5,92,122,100,2014,5
92,93,Fla Atlantic,-11.7,58,123,93,2014,5
93,94,Army,-11.8,61,124,98,2014,5
94,95,LA Monroe,-11.9,52,121,91,2014,5
95,96,Texas Tech,-11.9,70,103,96,2014,5
96,97,San Jose St,-12.5,70,122,87,2014,5
97,98,Bowling Grn,-12.6,70,122,81,2014,5
98,99,Fresno St,-13.1,54,114,113,2014,5
99,100,Ohio,-14.0,75,120,105,2014,5
100,101,Ball State,-14.2,76,118,104,2014,5
101,102,Wake Forest,-14.5,88,124,102,2014,5
102,103,Wyoming,-14.6,82,117,101,2014,5
103,104,Air Force,-15.1,53,113,97,2014,5
104,105,Purdue,-15.7,55,117,107,2014,5
105,106,LA Lafayette,-15.9,33,112,103,2014,5
106,107,Connecticut,-15.9,18,124,106,2014,5
107,108,Miami (OH),-16.0,99,121,114,2014,5
108,109,Buffalo,-16.1,101,124,112,2014,5
109,110,S Alabama,-16.3,27,119,99,2014,5
110,111,S Florida,-18.8,49,116,116,2014,5
111,112,Tulane,-19.0,30,123,110,2014,5
112,113,Vanderbilt,-19.1,84,127,121,2014,5
113,114,Kansas,-19.4,60,123,123,2014,5
114,115,Florida Intl,-20.3,76,128,108,2014,5
115,116,S Mississippi,-20.4,96,127,120,2014,5
116,117,U Mass,-20.4,78,122,109,2014,5
117,118,Central Mich,-20.8,63,126,111,2014,5
118,119,Idaho ,-21.9,62,124,117,2014,5
119,120,New Mexico,-22.2,88,122,122,2014,5
120,121,N Mex State,-22.6,110,126,115,2014,5
121,122,Tulsa,-23.8,67,124,118,2014,5
122,123,UNLV,-25.9,82,127,119,2014,5
123,124,Georgia State,-27.4,102,128,124,2014,5
124,125,S Methodist,-27.8,28,128,125,2014,5
125,126,Kent State,-31.2,66,127,127,2014,5
126,127,Troy,-32.6,81,128,126,2014,5
127,128,E Michigan,-35.3,104,128,128,2014,5
