,Rank,Team,2014,Last 3,Last 1,Home,Away,2013,Season,Week
0,1,TX Christian,3.5,3.5,0.0,7.0,0.0,26.0,2014,6
1,2,Mississippi,8.5,7.0,3.0,9.0,8.0,24.6,2014,6
2,3,Stanford,8.7,8.7,13.0,6.5,13.0,19.0,2014,6
3,4,Notre Dame,11.5,9.7,15.0,8.5,14.5,22.4,2014,6
4,5,Louisville,12.3,12.0,10.0,11.5,13.0,12.6,2014,6
5,6,Duke,13.8,12.7,22.0,8.0,19.5,28.7,2014,6
6,7,Alabama,14.0,11.0,21.0,11.0,23.0,15.1,2014,6
7,8,Penn State,14.6,15.3,29.0,13.0,17.0,26.2,2014,6
8,9,Kentucky,15.3,15.3,7.0,5.0,36.0,32.7,2014,6
9,10,Iowa,15.8,16.7,10.0,16.5,15.0,19.3,2014,6
10,11,Temple,16.0,16.0,10.0,31.0,8.5,29.8,2014,6
11,12,Auburn,16.3,14.7,17.0,17.0,14.0,26.4,2014,6
12,12,LSU,16.3,13.7,7.0,13.7,24.0,22.5,2014,6
13,14,Baylor,16.3,16.3,28.0,0.0,24.5,25.3,2014,6
14,15,Miss State,16.5,22.0,29.0,17.0,16.0,24.3,2014,6
15,15,Oklahoma,16.5,16.7,33.0,13.0,20.0,22.1,2014,6
16,17,Texas,17.0,20.3,0.0,24.0,10.0,25.8,2014,6
17,18,Washington,17.3,17.7,20.0,17.7,16.0,24.8,2014,6
18,19,USC,17.5,19.0,10.0,11.5,23.5,21.2,2014,6
19,20,Nebraska,17.8,21.3,14.0,17.3,19.0,25.3,2014,6
20,21,Texas A&M,18.0,14.7,28.0,10.0,20.7,32.6,2014,6
21,22,Wisconsin,18.3,18.3,10.0,13.5,28.0,17.7,2014,6
22,23,BYU,18.8,21.7,33.0,29.0,8.5,22.8,2014,6
23,23,Minnesota,18.8,17.0,14.0,15.5,22.0,23.1,2014,6
24,25,Marshall,19.3,19.3,17.0,14.0,22.0,24.7,2014,6
