,Rank,Team,Rating,Hi,Low,Last,Season,Week
0,1,W Virginia,11.7,1,50,2,2014,6
1,2,Arkansas,10.7,2,41,13,2014,6
2,3,Clemson,10.4,1,32,1,2014,6
3,4,S Carolina,9.0,3,31,3,2014,6
4,5,Tennessee,8.8,4,79,27,2014,6
5,6,Auburn,7.9,1,45,4,2014,6
6,7,Georgia,7.8,3,35,5,2014,6
7,8,Texas A&M,7.3,3,33,17,2014,6
8,9,Florida,7.2,6,100,8,2014,6
9,10,UCLA,7.1,6,39,20,2014,6
10,11,S Methodist,6.3,8,83,12,2014,6
11,12,USC,6.1,4,59,7,2014,6
12,13,Florida St,6.0,1,38,10,2014,6
13,14,Oklahoma,5.3,3,75,19,2014,6
14,15,Memphis,5.2,15,98,45,2014,6
15,16,Oregon,5.1,2,61,22,2014,6
16,17,Texas,5.0,6,77,11,2014,6
17,18,Alabama,4.8,1,29,18,2014,6
18,19,Michigan St,4.8,5,113,14,2014,6
19,20,TX-San Ant,4.6,6,96,6,2014,6
20,21,LSU,4.5,3,22,9,2014,6
21,22,Wash State,4.1,20,70,37,2014,6
22,23,Stanford,3.5,8,81,32,2014,6
23,24,Miss State,3.1,4,104,26,2014,6
24,25,E Carolina,2.7,19,109,25,2014,6
25,26,BYU,2.5,22,78,30,2014,6
26,27,Kansas St,2.5,9,87,16,2014,6
27,28,Wisconsin,2.3,7,54,15,2014,6
28,29,Navy,2.1,13,76,23,2014,6
29,30,Iowa State,1.7,26,71,46,2014,6
30,31,Miami (FL),1.6,17,56,34,2014,6
31,32,Virginia,1.3,19,82,24,2014,6
32,33,Oklahoma St,1.1,3,63,21,2014,6
33,34,Central FL,0.4,5,77,31,2014,6
34,35,Missouri,0.3,20,96,60,2014,6
35,36,LA Tech,-0.1,7,110,53,2014,6
36,37,VA Tech,-0.1,25,112,28,2014,6
37,38,N Carolina,-0.1,31,105,63,2014,6
38,39,Mississippi,-0.8,2,53,35,2014,6
39,40,Michigan,-0.8,10,84,29,2014,6
40,41,Maryland,-1.0,33,101,51,2014,6
41,42,N Illinois,-1.3,42,119,50,2014,6
42,43,Indiana,-1.5,43,126,43,2014,6
43,44,Vanderbilt,-1.6,24,76,55,2014,6
44,45,California,-1.6,23,72,38,2014,6
45,46,Arizona St,-2.0,15,119,100,2014,6
46,47,Texas Tech,-2.0,38,103,75,2014,6
47,48,Boise State,-2.0,5,69,36,2014,6
48,49,Ohio State,-2.1,6,55,42,2014,6
49,50,Utah,-2.1,16,121,41,2014,6
50,51,Minnesota,-2.2,42,124,86,2014,6
51,52,Oregon St,-2.4,27,105,99,2014,6
52,53,Nevada,-2.5,42,99,47,2014,6
53,54,Northwestern,-2.6,32,82,81,2014,6
54,55,W Kentucky,-2.7,50,104,72,2014,6
55,56,Cincinnati,-3.1,33,115,115,2014,6
