,Rank,Team,Rating,Hi,Low,Last,Season,Week
0,1,Auburn,14.6,1,45,2,2014,13
1,2,Alabama,14.1,1,29,1,2014,13
2,3,LSU,12.1,3,22,3,2014,13
3,4,Mississippi,11.3,2,53,4,2014,13
4,5,Arkansas,11.2,2,41,10,2014,13
5,6,Oklahoma,10.4,3,75,5,2014,13
6,7,Baylor,10.3,4,75,9,2014,13
7,8,Tennessee,10.0,4,79,6,2014,13
8,9,Texas A&M,9.9,3,33,7,2014,13
9,10,Georgia,9.7,3,35,16,2014,13
10,11,Miss State,9.3,4,104,20,2014,13
11,12,UCLA,9.2,6,39,13,2014,13
12,13,Oregon,9.1,2,61,14,2014,13
13,14,W Virginia,9.0,1,50,12,2014,13
14,15,TX Christian,8.9,6,121,8,2014,13
15,16,Utah,8.8,16,121,18,2014,13
16,17,Florida,8.7,6,100,11,2014,13
17,18,Kansas St,7.8,9,87,15,2014,13
18,19,Stanford,7.6,8,81,17,2014,13
19,20,S Carolina,6.8,3,31,25,2014,13
20,21,USC,6.7,4,59,19,2014,13
21,22,Arizona St,6.3,15,119,21,2014,13
22,23,Texas,6.2,6,77,23,2014,13
23,24,Michigan St,6.1,5,113,22,2014,13
24,25,Miami (FL),6.0,17,56,26,2014,13
25,26,Clemson,5.6,1,32,27,2014,13
26,27,California,5.5,23,72,31,2014,13
27,28,Arizona,5.2,16,102,24,2014,13
28,29,Ohio State,5.0,6,55,30,2014,13
29,30,Wash State,4.9,20,70,28,2014,13
30,31,Florida St,4.2,1,38,32,2014,13
31,32,Missouri,4.2,20,96,36,2014,13
32,33,Notre Dame,3.5,29,79,29,2014,13
33,34,Washington,3.3,17,115,39,2014,13
34,35,VA Tech,3.2,25,112,38,2014,13
35,36,Maryland,3.0,33,101,37,2014,13
36,37,Nebraska,2.9,33,116,47,2014,13
37,38,Virginia,2.6,19,82,34,2014,13
38,39,Northwestern,2.6,32,82,45,2014,13
39,40,N Carolina,2.5,31,105,33,2014,13
40,41,Louisville,2.3,29,72,35,2014,13
41,42,Kentucky,2.1,37,114,40,2014,13
42,43,Wisconsin,1.9,7,54,49,2014,13
43,44,Colorado,1.9,37,90,41,2014,13
44,45,GA Tech,1.9,23,99,43,2014,13
45,46,Texas Tech,1.2,38,103,56,2014,13
46,47,Iowa State,1.1,26,71,46,2014,13
47,48,Michigan,1.0,10,84,48,2014,13
48,49,Oregon St,1.0,27,105,57,2014,13
49,50,Memphis,0.7,15,98,42,2014,13
50,51,Oklahoma St,0.3,3,63,51,2014,13
51,52,Rutgers,0.1,32,95,50,2014,13
52,53,Duke,-0.1,53,125,53,2014,13
53,54,Syracuse,-0.3,39,122,52,2014,13
54,55,Boston Col,-0.4,27,91,54,2014,13
55,56,BYU,-0.8,22,78,44,2014,13
56,57,Minnesota,-1.0,42,124,67,2014,13
57,58,Penn State,-1.1,28,68,58,2014,13
58,59,Pittsburgh,-1.5,47,91,64,2014,13
59,60,Purdue,-1.5,60,121,60,2014,13
60,61,Boise State,-1.7,5,69,55,2014,13
61,62,Indiana,-1.8,43,126,62,2014,13
62,63,Nevada,-2.2,42,99,61,2014,13
63,64,Kansas,-2.2,57,125,75,2014,13
64,65,NC State,-2.5,56,98,59,2014,13
65,66,Cincinnati,-2.9,33,115,68,2014,13
66,67,Navy,-3.1,13,76,72,2014,13
67,68,E Carolina,-3.1,19,109,73,2014,13
68,69,Temple,-3.1,46,112,76,2014,13
69,70,LA Tech,-3.2,7,110,66,2014,13
70,71,Illinois,-3.3,60,103,69,2014,13
71,72,Central FL,-3.5,5,77,63,2014,13
72,73,Vanderbilt,-3.6,24,76,70,2014,13
73,74,Iowa,-4.1,26,114,74,2014,13
74,75,Colorado St,-4.9,40,90,77,2014,13
75,76,Utah State,-4.9,13,88,71,2014,13
76,77,Tulane,-5.3,44,110,83,2014,13
77,78,Hawaii,-5.4,36,103,80,2014,13
78,79,Houston,-5.7,30,93,78,2014,13
79,80,S Methodist,-5.8,8,83,65,2014,13
80,81,Wake Forest,-6.0,52,110,79,2014,13
81,82,Fresno St,-6.7,2,86,86,2014,13
82,83,Wyoming,-7.0,83,118,87,2014,13
83,84,Middle Tenn,-7.1,69,121,85,2014,13
84,85,San Jose St,-7.1,67,126,82,2014,13
85,86,Rice,-7.3,1,97,96,2014,13
86,87,TX-San Ant,-7.3,6,96,81,2014,13
87,88,Fla Atlantic,-7.4,3,93,88,2014,13
88,89,San Diego St,-7.8,54,123,101,2014,13
89,90,Arkansas St,-7.9,57,124,84,2014,13
90,91,Toledo,-7.9,42,116,95,2014,13
91,92,S Mississippi,-8.0,27,121,93,2014,13
92,93,UAB,-8.2,51,126,94,2014,13
93,94,Connecticut,-8.4,19,108,91,2014,13
94,95,W Kentucky,-8.4,50,104,90,2014,13
95,96,LA Lafayette,-8.4,63,115,92,2014,13
96,97,New Mexico,-8.4,76,119,100,2014,13
97,98,GA Southern,-8.8,39,101,99,2014,13
98,99,Tulsa,-8.9,50,103,98,2014,13
99,100,S Florida,-9.1,77,103,89,2014,13
100,101,UNLV,-9.1,18,105,105,2014,13
101,102,LA Monroe,-9.5,71,123,97,2014,13
102,103,Air Force,-9.7,94,127,107,2014,13
103,104,TX El Paso,-10.0,77,121,102,2014,13
104,105,Miami (OH),-10.8,50,123,115,2014,13
105,106,Bowling Grn,-11.0,21,111,104,2014,13
106,107,Florida Intl,-11.1,100,128,111,2014,13
107,108,North Texas,-11.1,11,115,110,2014,13
108,109,W Michigan,-11.2,57,123,103,2014,13
109,110,S Alabama,-11.2,64,117,106,2014,13
110,111,U Mass,-11.2,49,125,108,2014,13
111,112,Old Dominion,-11.3,84,120,113,2014,13
112,113,Kent State,-11.6,65,120,119,2014,13
113,114,N Illinois,-11.7,42,119,117,2014,13
114,115,Central Mich,-12.3,98,123,114,2014,13
115,116,Ball State,-12.3,79,122,116,2014,13
116,117,Akron,-12.4,57,128,112,2014,13
