,Rank,Team,2014,Last 3,Last 1,Home,Away,2013,Season,Week
0,1,California,48.8,54.7,60.0,59.0,45.3,21.7,2014,7
1,2,Marshall,47.5,49.3,56.0,44.0,48.7,41.2,2014,7
2,3,Baylor,46.3,46.7,28.0,45.0,46.7,51.0,2014,7
3,4,Michigan St,45.8,52.0,27.0,52.0,27.0,27.4,2014,7
4,5,Georgia,45.0,48.3,44.0,47.5,35.0,36.0,2014,7
5,6,Ohio State,44.6,56.0,52.0,45.7,43.0,43.2,2014,7
6,7,Nebraska,43.6,36.0,22.0,47.0,38.5,29.7,2014,7
7,8,W Kentucky,43.0,40.7,39.0,49.0,39.0,28.4,2014,7
8,9,Texas A&M,42.8,41.3,31.0,38.0,44.0,42.5,2014,7
9,10,Miss State,42.6,39.0,48.0,48.0,34.5,25.8,2014,7
10,11,Oklahoma,42.4,37.3,33.0,41.0,43.3,32.8,2014,7
11,12,Auburn,42.0,35.3,41.0,47.5,20.0,37.8,2014,7
12,13,E Carolina,41.5,47.7,45.0,57.5,25.5,39.2,2014,7
13,14,TX Christian,41.0,41.0,37.0,33.5,56.0,23.9,2014,7
14,15,Arizona St,40.3,34.3,38.0,27.0,44.7,38.5,2014,7
15,16,Arizona,39.8,38.3,31.0,47.3,28.5,33.3,2014,7
16,17,Florida St,39.8,40.7,43.0,33.0,46.5,51.5,2014,7
17,18,Oregon,39.0,36.7,24.0,39.3,38.0,43.8,2014,7
18,18,Oklahoma St,39.0,41.7,37.0,41.7,31.0,37.4,2014,7
19,20,Arkansas,37.5,43.0,28.0,52.0,32.7,19.7,2014,7
20,21,Kansas St,37.3,39.0,45.0,39.0,32.0,34.3,2014,7
21,22,Alabama,37.0,37.0,17.0,45.0,25.0,37.3,2014,7
22,23,UCLA,36.0,36.7,28.0,35.0,36.7,36.9,2014,7
23,23,UAB,36.0,32.0,42.0,34.0,38.0,23.9,2014,7
24,25,Mississippi,35.8,34.3,23.0,34.3,38.0,29.9,2014,7
25,26,LA Tech,35.6,38.0,55.0,55.0,30.8,18.5,2014,7
26,27,Utah,35.5,27.7,30.0,43.0,28.0,25.5,2014,7
27,28,Bowling Grn,35.2,33.3,36.0,40.5,31.7,33.8,2014,7
28,29,Indiana,34.3,31.7,49.0,32.0,36.5,35.3,2014,7
29,30,S Carolina,34.2,35.3,38.0,29.8,43.0,31.1,2014,7
30,31,BYU,34.0,31.3,20.0,31.3,38.0,27.8,2014,7
31,32,Middle Tenn,33.8,31.7,37.0,43.5,27.3,27.7,2014,7
32,32,Wash State,33.8,39.3,59.0,42.7,20.5,29.6,2014,7
33,34,Missouri,33.8,28.7,21.0,32.5,35.0,37.7,2014,7
34,34,GA Tech,33.8,32.3,28.0,35.0,32.5,29.1,2014,7
35,36,Wisconsin,33.3,36.3,14.0,47.5,19.0,33.8,2014,7
36,37,Florida,33.0,22.3,10.0,50.5,15.5,18.7,2014,7
37,37,Duke,33.0,32.7,10.0,44.0,22.0,31.8,2014,7
38,37,USC,33.0,33.3,34.0,40.3,22.0,29.7,2014,7
39,40,Cincinnati,32.8,24.3,14.0,34.3,28.0,29.3,2014,7
40,41,Buffalo,32.5,30.3,35.0,28.0,37.0,30.7,2014,7
41,42,Temple,32.3,32.3,36.0,24.0,36.5,24.5,2014,7
42,43,W Virginia,32.3,35.3,33.0,33.0,31.5,26.5,2014,7
43,43,Clemson,32.3,36.0,41.0,45.5,19.0,38.0,2014,7
44,45,Texas State,32.0,35.7,35.0,28.0,36.0,23.5,2014,7
45,45,NC State,32.0,30.0,0.0,37.0,24.5,22.8,2014,7
46,47,GA Southern,31.8,32.7,36.0,34.0,31.3,26.0,2014,7
47,48,Colorado,31.7,36.0,31.0,25.3,38.0,22.4,2014,7
48,49,LSU,31.6,33.0,7.0,41.0,17.5,34.8,2014,7
49,50,Notre Dame,31.4,26.0,17.0,32.0,30.5,27.2,2014,7
50,51,Maryland,31.2,31.7,24.0,30.5,31.7,24.4,2014,7
51,52,Boise State,31.2,33.0,51.0,35.5,29.0,35.4,2014,7
52,53,N Carolina,31.0,31.0,17.0,24.0,38.0,28.8,2014,7
53,54,Toledo,30.8,32.0,20.0,33.3,27.0,33.0,2014,7
54,55,Colorado St,30.3,30.0,42.0,42.0,26.3,36.4,2014,7
55,56,VA Tech,29.8,31.0,34.0,26.7,34.5,20.7,2014,7
56,57,Air Force,29.8,35.3,30.0,29.0,30.5,23.5,2014,7
57,57,Nevada,29.8,31.7,46.0,35.0,24.5,26.1,2014,7
58,57,Washington,29.8,34.0,13.0,34.0,17.0,36.4,2014,7
59,60,Virginia,29.0,34.0,24.0,28.0,33.0,17.1,2014,7
60,61,Illinois,28.8,27.7,27.0,37.0,16.5,28.5,2014,7
61,62,Memphis,28.8,26.7,41.0,36.0,26.3,19.4,2014,7
62,62,W Michigan,28.8,27.0,19.0,19.0,32.0,16.6,2014,7
63,64,Georgia State,28.5,27.7,31.0,34.5,22.5,18.2,2014,7
64,65,Kentucky,28.0,30.7,45.0,27.3,30.0,18.0,2014,7
65,65,Oregon St,28.0,24.7,36.0,28.0,28.0,33.8,2014,7
66,67,Rutgers,27.8,29.3,26.0,22.3,36.0,25.6,2014,7
67,68,U Mass,27.7,30.0,41.0,29.0,26.3,11.5,2014,7
68,69,Old Dominion,27.6,29.0,14.0,19.7,39.5,30.2,2014,7
69,69,Rice,27.6,37.0,28.0,35.0,22.7,29.6,2014,7
70,71,Boston Col,27.0,26.0,21.0,26.0,30.0,28.0,2014,7
71,72,Louisville,26.8,27.3,28.0,25.5,27.7,34.4,2014,7
72,73,Texas Tech,26.5,25.3,13.0,28.0,26.0,33.7,2014,7
73,74,New Mexico,26.0,27.7,21.0,23.7,29.5,32.8,2014,7
74,74,Miami (OH),26.0,31.0,42.0,34.5,20.3,9.8,2014,7
75,74,TX El Paso,26.0,24.3,3.0,34.0,20.7,21.8,2014,7
76,77,Navy,25.8,24.0,21.0,25.5,26.0,32.1,2014,7
77,78,Idaho,25.6,21.3,30.0,21.5,28.3,16.4,2014,7
78,78,N Mex State,25.6,23.3,28.0,31.5,21.7,19.7,2014,7
79,80,N Illinois,25.5,26.3,17.0,17.0,28.3,39.4,2014,7
80,81,Army,25.3,18.0,33.0,40.0,10.5,24.1,2014,7
81,82,Florida Intl,25.0,25.0,38.0,22.0,34.0,9.5,2014,7
82,83,Miami (FL),24.8,23.3,17.0,31.5,20.3,30.3,2014,7
83,84,Tennessee,24.6,17.0,9.0,27.0,21.0,21.9,2014,7
84,85,Purdue,24.4,20.7,38.0,23.3,26.0,14.5,2014,7
85,86,Pittsburgh,24.2,16.3,19.0,15.0,30.3,25.6,2014,7
86,87,Minnesota,24.0,20.3,30.0,29.5,18.5,25.4,2014,7
87,87,Iowa State,24.0,22.7,20.0,28.0,20.0,25.3,2014,7
88,89,North Texas,23.8,29.3,24.0,32.0,15.5,31.8,2014,7
