,Rank,Team,Rating,v 1-10,v 11-25,v 26-40,Hi,Low,Last,Season,Week
0,1,Mississippi,26.0,0-0,0-0,0-0,1,37,1,2014,6
1,2,Texas A&M,22.1,1-0,0-0,0-0,2,16,15,2014,6
2,3,LSU,20.6,1-0,0-0,0-0,2,27,2,2014,6
3,4,Alabama,19.8,1-0,0-0,0-0,3,16,4,2014,6
4,5,Ohio State,18.5,0-0,0-0,0-0,1,27,3,2014,6
5,6,Arkansas,17.0,0-1,0-0,0-0,6,45,33,2014,6
6,7,Florida St,15.8,0-0,1-0,0-0,1,47,5,2014,6
7,8,Texas,15.7,0-0,0-1,0-0,6,61,9,2014,6
8,9,W Virginia,14.4,0-1,0-0,0-0,5,52,6,2014,6
9,10,Wisconsin,13.2,0-1,0-0,0-0,5,126,8,2014,6
10,11,Oklahoma St,12.7,0-1,0-0,0-0,5,36,7,2014,6
11,12,UCLA,11.4,1-0,0-0,0-0,9,37,10,2014,6
12,13,Notre Dame,8.0,0-0,0-0,0-0,12,48,14,2014,6
13,14,Colorado St,6.4,0-0,0-0,0-0,2,117,11,2014,6
14,15,Penn State,3.6,0-0,1-0,0-0,9,46,13,2014,6
15,16,Central FL,1.1,0-0,0-1,0-0,10,121,12,2014,6
16,17,TX Christian,--,0-0,0-0,0-0,1,63,63,2014,6
17,18,VA Tech,--,0-0,0-0,0-0,10,73,16,2014,6
18,19,Nebraska,--,0-0,0-0,0-0,17,57,18,2014,6
19,20,BYU,--,0-0,0-0,0-0,5,52,19,2014,6
20,21,Northwestern,--,0-0,0-0,0-0,20,78,65,2014,6
21,22,Oklahoma,--,0-0,0-0,0-0,5,111,20,2014,6
22,23,Baylor,--,0-0,0-0,0-0,4,123,17,2014,6
23,24,Miss State,--,0-0,0-0,0-0,22,102,23,2014,6
24,25,NC State,--,0-0,0-0,0-0,23,84,26,2014,6
25,26,Utah,--,0-0,0-0,0-0,3,58,21,2014,6
26,27,Auburn,--,0-0,0-0,0-0,6,54,27,2014,6
27,28,Temple,--,0-0,0-0,0-0,3,77,25,2014,6
28,29,Missouri,--,0-0,0-0,0-0,16,120,24,2014,6
29,30,Oregon,--,0-0,0-0,0-0,2,55,29,2014,6
30,31,Stanford,--,0-0,0-0,0-0,8,62,62,2014,6
31,32,Arizona St,--,0-0,0-0,0-0,7,53,28,2014,6
32,33,Maryland,--,0-0,0-0,0-0,33,116,52,2014,6
33,34,Marshall,--,0-0,0-0,0-0,7,109,34,2014,6
34,35,Tennessee,--,0-0,0-0,0-0,14,60,60,2014,6
35,36,Rutgers,--,0-0,0-0,0-0,4,73,35,2014,6
36,37,Georgia,--,0-0,0-0,0-0,2,45,32,2014,6
37,38,Virginia,--,0-0,0-0,0-0,35,82,36,2014,6
38,39,Houston,--,0-0,0-0,0-0,21,117,37,2014,6
39,40,California,--,0-0,0-0,0-0,17,72,44,2014,6
40,41,Kentucky,--,0-0,0-0,0-0,29,86,39,2014,6
41,42,Louisville,--,0-0,0-0,0-0,30,103,45,2014,6
42,43,E Carolina,--,0-0,0-0,0-0,33,73,38,2014,6
43,44,USC,--,0-0,0-0,0-0,11,48,40,2014,6
44,45,Memphis,--,0-0,0-0,0-0,14,89,41,2014,6
45,46,LA Tech,--,0-0,0-0,0-0,20,114,31,2014,6
46,47,Minnesota,--,0-0,0-0,0-0,42,121,83,2014,6
47,48,Clemson,--,0-0,0-0,0-0,1,74,42,2014,6
48,49,GA Southern,--,0-0,0-0,0-0,39,111,46,2014,6
49,50,GA Tech,--,0-0,0-0,0-0,10,76,43,2014,6
