,Rank,Team,2014,Last 3,Last 1,Home,Away,2013,Season,Week
0,1,Michigan St,47.3,42.7,56.0,52.0,42.7,27.4,2014,9
1,1,Marshall,47.3,50.0,45.0,46.5,47.8,41.2,2014,9
2,3,Ohio State,46.5,52.7,56.0,48.3,43.0,43.2,2014,9
3,4,Baylor,45.5,38.7,27.0,53.0,41.8,51.0,2014,9
4,5,TX Christian,44.6,45.7,42.0,36.3,57.0,23.9,2014,9
5,6,Georgia,43.4,41.0,45.0,47.5,38.0,36.0,2014,9
6,7,Nebraska,42.7,35.0,38.0,47.0,38.3,29.7,2014,9
7,8,W Kentucky,42.2,37.7,38.0,49.0,38.8,28.4,2014,9
8,9,Miss State,41.8,40.0,38.0,45.5,34.5,25.8,2014,9
9,10,Oregon,40.5,37.0,45.0,40.8,40.0,43.8,2014,9
10,11,California,39.3,33.7,34.0,33.3,45.3,21.7,2014,9
11,12,Oklahoma,39.0,31.3,30.0,37.3,40.3,32.8,2014,9
12,13,Auburn,38.8,36.3,23.0,47.5,21.5,37.8,2014,9
13,14,E Carolina,38.8,47.7,28.0,57.5,26.3,39.2,2014,9
14,15,Florida St,38.0,37.3,31.0,32.3,43.7,51.5,2014,9
15,16,Arizona,37.5,35.3,26.0,42.0,28.5,33.3,2014,9
16,17,Arizona St,37.4,30.3,26.0,26.5,44.7,38.5,2014,9
17,18,UAB,37.0,40.0,22.0,41.3,32.7,23.9,2014,9
18,19,Alabama,36.9,30.0,59.0,48.5,21.3,37.3,2014,9
19,20,Kansas St,36.0,44.7,31.0,39.0,31.5,34.3,2014,9
20,21,N Carolina,35.8,36.0,48.0,32.0,39.7,28.8,2014,9
21,22,USC,35.6,39.3,56.0,44.3,24.0,29.7,2014,9
22,23,Mississippi,35.4,30.7,34.0,34.3,37.0,29.9,2014,9
23,24,UCLA,35.1,31.3,36.0,33.3,36.5,36.9,2014,9
24,25,W Virginia,34.5,37.0,41.0,35.7,33.3,26.5,2014,9
25,26,GA Southern,34.3,39.0,47.0,40.5,31.3,26.0,2014,9
26,26,Cincinnati,34.3,29.7,41.0,34.3,34.3,29.3,2014,9
27,28,Wisconsin,34.2,26.3,38.0,44.3,19.0,33.8,2014,9
28,28,Utah,34.2,28.7,29.0,43.0,28.3,25.5,2014,9
29,30,S Carolina,34.2,35.3,38.0,29.8,43.0,31.1,2014,9
30,30,LA Tech,34.2,33.0,27.0,41.0,30.8,18.5,2014,9
31,32,GA Tech,33.8,32.0,43.0,31.7,36.0,29.1,2014,9
32,33,Texas A&M,33.4,17.0,0.0,29.0,35.2,42.5,2014,9
33,33,Notre Dame,33.4,31.3,27.0,36.5,29.3,27.2,2014,9
34,35,BYU,32.7,26.3,35.0,32.3,33.3,27.8,2014,9
35,35,LSU,32.7,26.0,41.0,41.0,21.7,34.8,2014,9
36,37,Arkansas,32.5,24.3,32.0,32.5,32.5,19.7,2014,9
37,38,Middle Tenn,32.4,31.7,34.0,40.3,26.5,27.7,2014,9
38,39,Maryland,32.3,33.0,38.0,33.0,31.7,24.4,2014,9
39,40,Boise State,32.0,34.0,37.0,36.0,29.0,35.4,2014,9
40,40,Oklahoma St,32.0,24.3,9.0,41.7,22.3,37.4,2014,9
41,42,Bowling Grn,31.6,27.0,14.0,31.7,31.5,33.8,2014,9
42,43,Buffalo,31.4,32.3,27.0,28.0,33.7,30.7,2014,9
43,44,Colorado,31.1,38.3,28.0,25.3,35.5,22.4,2014,9
44,45,Wash State,31.0,34.7,17.0,42.7,19.3,29.6,2014,9
45,46,Nevada,30.8,37.3,42.0,31.3,30.3,26.1,2014,9
46,47,Toledo,30.7,30.7,30.0,33.3,28.0,33.0,2014,9
47,48,Duke,30.5,20.3,20.0,36.0,25.0,31.8,2014,9
48,48,W Michigan,30.5,29.0,26.0,19.0,32.8,16.6,2014,9
49,48,Indiana,30.5,31.7,17.0,27.0,34.0,35.3,2014,9
50,51,U Mass,30.3,39.0,36.0,30.8,29.8,11.5,2014,9
51,52,Miami (FL),29.8,31.3,55.0,39.3,20.3,30.3,2014,9
52,52,Rice,29.8,36.7,41.0,35.0,27.3,29.6,2014,9
53,54,Iowa State,29.7,34.0,45.0,31.0,28.3,25.3,2014,9
54,55,Missouri,29.5,21.0,42.0,21.7,37.3,37.7,2014,9
55,56,Texas Tech,29.0,27.0,34.0,32.0,26.0,33.7,2014,9
56,57,Old Dominion,28.8,25.7,35.0,19.7,38.0,30.2,2014,9
57,58,Florida,28.7,16.7,13.0,35.3,15.5,18.7,2014,9
58,58,Illinois,28.7,23.0,28.0,37.0,20.3,28.5,2014,9
59,58,TX El Paso,28.7,24.3,42.0,36.7,20.7,21.8,2014,9
60,61,Temple,28.4,27.0,10.0,29.5,27.7,24.5,2014,9
61,62,Air Force,28.3,27.0,35.0,31.0,25.7,23.5,2014,9
62,62,Washington,28.3,21.3,20.0,34.0,22.7,36.4,2014,9
63,62,N Illinois,28.3,28.3,51.0,28.3,28.3,39.4,2014,9
64,65,Clemson,28.2,27.0,17.0,38.0,18.3,38.0,2014,9
65,66,Arkansas St,28.0,33.7,52.0,24.5,30.3,26.4,2014,9
66,66,Colorado St,28.0,29.7,16.0,29.0,27.5,36.4,2014,9
67,68,Memphis,27.8,22.7,24.0,30.0,26.3,19.4,2014,9
68,69,Texas State,27.6,27.3,10.0,22.0,36.0,23.5,2014,9
69,70,VA Tech,27.5,28.3,16.0,26.7,28.3,20.7,2014,9
70,71,NC State,27.4,10.7,18.0,31.3,22.3,22.8,2014,9
71,72,Purdue,27.3,35.7,38.0,25.3,30.0,14.5,2014,9
72,73,Kentucky,27.2,32.0,3.0,32.5,16.5,18.0,2014,9
73,74,Miami (OH),27.1,34.0,41.0,34.5,24.2,9.8,2014,9
74,75,Oregon St,27.0,23.0,23.0,25.5,28.0,33.8,2014,9
