,Rank_Scoring_Offense,Team,Current_Season_Scoring_Offense,Last 3_Scoring_Offense,Last 1_Scoring_Offense,At_Home_Scoring_Offense,Away_Scoring_Offense,Previous_Season_Scoring_Offense,Season,Week,Rank_Total_Offense,Current_Season_Total_Offense,Last 3_Total_Offense,Last 1_Total_Offense,At_Home_Total_Offense,Away_Total_Offense,Previous_Season_Total_Offense,Rank_Scoring_Defense,Current_Season_Scoring_Defense,Last 3_Scoring_Defense,Last 1_Scoring_Defense,At_Home_Scoring_Defense,Away_Scoring_Defense,Previous_Season_Scoring_Defense,Rank_Total_Defense,Current_Season_Total_Defense,Last 3_Total_Defense,Last 1_Total_Defense,At_Home_Total_Defense,Away_Total_Defense,Previous_Season_Total_Defense,Rank_Turnovers_Given,Current_Season_Turnovers_Given,Last 3_Turnovers_Given,Last 1_Turnovers_Given,At_Home_Turnovers_Given,Away_Turnovers_Given,Previous_Season_Turnovers_Given,Rank_Turnovers_Taken,Current_Season_Turnovers_Taken,Last 3_Turnovers_Taken,Last 1_Turnovers_Taken,At_Home_Turnovers_Taken,Away_Turnovers_Taken,Previous_Season_Turnovers_Taken,Rank_Last_5,Rating_Last_5,Hi_Last_5,Low_Last_5,Last_Last_5,Rank_Neutral_Site,Rating_Neutral_Site,Hi_Neutral_Site,Low_Neutral_Site,Last_Neutral_Site,Rank_SoS,Rating_SoS,Hi_SoS,Low_SoS,Last_SoS
0,1,Central FL,56.0,56.0,56.0,56.0,56.0,46.2,2018,5,3,598.5,598.5,545.0,545.0,652.0,534.4,61,26.5,26.5,36.0,36.0,17.0,24.7,103,466.5,466.5,447.0,447.0,486.0,434.3,1,0.0,0.0,0.0,0.0,0.0,1.3,4,3.0,3.0,3.0,3.0,3.0,2.5,30,12.8,1,45,28,23,--,1,56,22,120,-13.0,23,126,126
1,2,Penn State,55.5,59.0,63.0,54.0,57.0,41.1,2018,5,11,514.5,541.3,591.0,538.5,490.5,460.3,29,19.5,13.3,24.0,24.0,15.0,16.5,36,345.8,310.7,411.0,336.0,355.5,330.8,47,1.3,1.7,2.0,0.5,2.0,1.0,53,1.5,1.7,2.0,0.5,2.5,1.9,2,31.6,2,49,3,12,--,10,53,12,30,2.0,2,40,30
2,3,Ohio State,54.5,47.0,49.0,59.3,40.0,41.1,2018,5,2,599.5,558.3,570.0,624.0,526.0,506.2,17,17.0,12.3,6.0,13.3,28.0,19.0,22,325.0,302.7,263.0,263.0,511.0,300.9,7,0.5,0.0,0.0,0.7,0.0,1.4,39,1.8,1.7,0.0,1.3,3.0,1.7,3,29.0,2,41,2,4,24.8,4,44,4,23,3.4,1,66,15
3,4,Alabama,53.8,54.7,45.0,51.0,56.5,35.6,2018,5,8,539.5,546.3,524.0,561.5,517.5,437.5,3,12.8,12.3,23.0,15.0,10.5,12.8,24,327.8,344.0,393.0,392.0,263.5,269.2,26,1.0,1.0,0.0,0.5,1.5,0.6,23,2.0,2.0,2.0,1.5,2.5,1.6,1,43.6,1,55,1,1,33.4,1,19,1,9,7.4,1,37,17
4,5,Houston,46.3,46.3,49.0,45.0,47.0,28.3,2018,5,4,585.7,585.7,635.0,551.0,603.0,428.2,99,36.0,36.0,63.0,18.0,45.0,23.8,126,558.0,558.0,704.0,531.0,571.5,422.2,14,0.7,0.7,0.0,0.0,1.0,1.9,41,1.7,1.7,1.0,2.0,1.5,1.8,33,11.4,30,105,46,54,--,42,130,70,44,-0.7,40,88,40
5,5,Boise State,46.3,46.3,21.0,62.0,38.5,32.5,2018,5,5,549.3,549.3,414.0,818.0,415.0,406.4,47,23.7,23.7,44.0,7.0,32.0,22.9,26,331.3,331.3,422.0,193.0,400.5,332.6,14,0.7,0.7,1.0,0.0,1.0,0.9,41,1.7,1.7,0.0,1.0,2.0,1.9,9,20.1,3,68,8,29,--,8,57,23,16,5.6,7,67,7
6,7,North Texas,45.7,45.7,47.0,46.0,45.5,33.7,2018,5,23,478.7,478.7,531.0,529.0,453.5,439.6,11,15.7,15.7,7.0,23.0,12.0,36.6,17,312.0,312.0,344.0,256.0,340.0,444.2,3,0.3,0.3,0.0,0.0,0.5,2.0,6,2.7,2.7,1.0,1.0,3.5,1.1,12,18.6,12,106,26,17,--,17,128,17,99,-9.1,78,122,101
7,8,Syracuse,45.3,45.3,51.0,40.5,55.0,25.4,2018,5,6,545.7,545.7,636.0,538.5,560.0,444.5,43,23.3,23.3,21.0,14.0,42.0,34.5,78,418.7,418.7,395.0,317.5,621.0,469.2,14,0.7,0.7,1.0,0.5,1.0,2.0,23,2.0,2.0,3.0,2.0,2.0,1.0,25,13.3,11,63,21,32,--,5,127,30,82,-6.9,30,96,63
8,9,Utah State,44.3,44.3,42.0,51.0,31.0,28.4,2018,5,45,426.3,426.3,489.0,467.5,344.0,380.8,63,27.7,27.7,32.0,22.5,38.0,28.1,70,401.0,401.0,471.0,375.5,452.0,407.7,97,2.0,2.0,2.0,2.0,2.0,1.8,6,2.7,2.7,1.0,3.0,2.0,2.3,23,13.8,10,107,20,36,--,1,75,36,48,-1.3,11,83,35
9,9,Georgia,44.3,44.3,43.0,49.0,42.0,34.9,2018,5,27,467.3,467.3,445.0,484.0,459.0,433.6,21,17.7,17.7,29.0,7.0,23.0,16.6,30,339.0,339.0,393.0,288.0,364.5,298.2,14,0.7,0.7,1.0,0.0,1.0,1.1,17,2.3,2.3,3.0,2.0,2.5,1.4,4,27.5,4,30,5,13,--,1,41,13,4,8.7,1,72,19
