Team,Season,Week,Rank_Scoring_Offense,Current_Season_Scoring_Offense,Last 3_Scoring_Offense,Last 1_Scoring_Offense,At_Home_Scoring_Offense,Away_Scoring_Offense,Previous_Season_Scoring_Offense,Rank_Total_Offense,Current_Season_Total_Offense,Last 3_Total_Offense,Last 1_Total_Offense,At_Home_Total_Offense,Away_Total_Offense,Previous_Season_Total_Offense,Rank_Scoring_Defense,Current_Season_Scoring_Defense,Last 3_Scoring_Defense,Last 1_Scoring_Defense,At_Home_Scoring_Defense,Away_Scoring_Defense,Previous_Season_Scoring_Defense,Rank_Total_Defense,Current_Season_Total_Defense,Last 3_Total_Defense,Last 1_Total_Defense,At_Home_Total_Defense,Away_Total_Defense,Previous_Season_Total_Defense,Rank_Turnovers_Given,Current_Season_Turnovers_Given,Last 3_Turnovers_Given,Last 1_Turnovers_Given,At_Home_Turnovers_Given,Away_Turnovers_Given,Previous_Season_Turnovers_Given,Rank_Turnovers_Taken,Current_Season_Turnovers_Taken,Last 3_Turnovers_Taken,Last 1_Turnovers_Taken,At_Home_Turnovers_Taken,Away_Turnovers_Taken,Previous_Season_Turnovers_Taken,Rank_Last_5,Rating_Last_5,Hi_Last_5,Low_Last_5,Last_Last_5,Rank_Neutral_Site,Rating_Neutral_Site,Hi_Neutral_Site,Low_Neutral_Site,Last_Neutral_Site,Rank_SoS,Rating_SoS,Hi_SoS,Low_SoS,Last_SoS
Louisville,2016,5,1,63.5,61.3,59.0,66.5,60.5,27.3,1,682.0,688.3,690.0,596.5,767.5,404.2,41,22.5,25.3,28.0,17.0,28.0,25.8,9,278.3,301.7,207.0,246.0,310.5,344.1,114,2.5,2.3,3.0,2.0,3.0,2.1,44,1.8,2.0,2.0,1.5,2.0,1.8,2,37.2,1,38,2,20,--,5,99,17,16,4.9,2,106,19
Memphis,2016,5,2,60.0,60.0,77.0,60.0,--,38.3,13,514.5,514.5,635.0,514.5,--,484.4,1,5.0,5.0,3.0,5.0,--,29.0,17,304.0,304.0,294.0,304.0,--,430.9,1,0.0,0.0,0.0,0.0,--,1.2,1,5.0,5.0,4.0,5.0,--,1.6,10,18.8,10,93,54,60,--,39,116,63,128,-19.8,52,128,128
Texas Tech,2016,5,3,57.0,57.0,59.0,59.0,55.0,43.9,2,639.0,639.0,666.0,666.0,612.0,576.8,126,56.5,56.5,45.0,45.0,68.0,43.5,127,612.0,612.0,572.0,572.0,652.0,540.3,22,1.0,1.0,0.0,0.0,2.0,1.8,126,0.0,0.0,0.0,0.0,0.0,1.8,37,5.2,17,78,43,83,--,6,90,86,57,-3.8,32,88,55
Ohio State,2016,5,4,56.7,56.7,45.0,62.5,45.0,35.7,7,545.3,545.3,443.0,596.5,443.0,434.6,6,12.3,12.3,24.0,6.5,24.0,15.1,10,278.7,278.7,404.0,216.0,404.0,311.3,12,0.7,0.7,0.0,1.0,0.0,1.4,2,3.7,3.7,2.0,4.5,2.0,1.6,1,40.8,1,24,1,18,--,6,107,15,4,11.1,1,56,3
Michigan,2016,5,5,52.0,48.3,49.0,52.0,--,31.4,36,467.8,453.0,515.0,467.8,--,395.8,9,13.8,17.3,10.0,13.8,--,16.4,7,269.8,282.3,191.0,269.8,--,280.5,9,0.5,0.3,0.0,0.5,--,1.2,58,1.5,1.3,2.0,1.5,--,0.9,4,31.6,1,56,4,59,--,10,61,55,39,-0.8,2,75,45
Arizona St,2016,5,6,50.3,50.3,51.0,59.5,32.0,34.6,10,525.0,525.0,454.0,553.0,469.0,472.9,113,41.3,41.3,41.0,48.0,28.0,34.5,117,523.7,523.7,637.0,624.5,322.0,474.9,41,1.3,1.3,1.0,0.5,3.0,1.4,48,1.7,1.7,3.0,2.5,0.0,1.8,50,3.2,38,90,63,93,--,48,93,88,72,-6.3,33,103,85
Washington,2016,5,7,47.3,47.3,35.0,53.5,35.0,29.1,39,458.0,458.0,512.0,431.0,512.0,391.3,22,18.3,18.3,28.0,13.5,28.0,20.3,38,367.0,367.0,475.0,313.0,475.0,363.5,22,1.0,1.0,1.0,1.0,1.0,1.8,5,3.0,3.0,3.0,3.0,3.0,2.2,15,15.1,1,48,11,35,--,2,58,57,65,-5.1,8,103,103
Alabama,2016,5,8,46.5,44.7,48.0,43.0,50.0,33.6,28,483.5,489.7,502.0,488.5,478.5,428.8,12,14.8,17.7,0.0,5.0,24.5,15.8,13,281.5,310.7,166.0,202.5,360.5,286.5,22,1.0,0.7,0.0,0.5,1.5,1.2,58,1.5,1.7,1.0,1.5,1.5,1.8,3,33.0,1,29,3,1,53.7,1,20,1,7,9.3,1,40,6
Houston,2016,5,9,45.7,45.7,64.0,--,45.7,39.5,23,493.0,493.0,563.0,--,493.0,474.8,10,14.0,14.0,3.0,--,14.0,20.5,12,280.7,280.7,142.0,--,280.7,386.8,41,1.3,1.3,0.0,--,1.3,1.0,28,2.0,2.0,1.0,--,2.0,2.6,5,25.9,5,74,9,4,26.2,2,45,3,17,4.4,8,66,13
California,2016,5,10,45.5,43.7,41.0,50.0,44.0,35.0,3,594.5,582.7,637.0,507.0,623.7,518.2,114,42.5,46.3,51.0,43.0,42.3,32.1,106,491.8,495.0,454.0,568.0,466.3,466.8,80,1.8,2.3,3.0,0.0,2.3,1.7,28,2.0,1.7,1.0,2.0,2.0,1.8,54,2.2,1,87,46,16,0.7,1,125,14,30,0.9,23,113,35
Texas,2016,5,11,44.7,44.7,43.0,45.5,43.0,26.4,19,500.3,500.3,568.0,466.5,568.0,370.8,93,34.7,34.7,50.0,27.0,50.0,30.3,47,386.3,386.3,507.0,326.0,507.0,452.6,41,1.3,1.3,2.0,1.0,2.0,1.2,122,0.3,0.3,0.0,0.5,0.0,2.1,46,3.5,18,77,39,72,--,10,72,54,37,-0.5,20,40,25
San Diego St,2016,5,12,43.5,43.5,42.0,45.0,42.0,31.8,51,433.5,433.5,404.0,463.0,404.0,381.1,85,34.0,34.0,28.0,40.0,28.0,17.5,103,490.0,490.0,376.0,604.0,376.0,295.0,56,1.5,1.5,1.0,2.0,1.0,0.8,5,3.0,3.0,2.0,4.0,2.0,2.2,49,3.3,14,84,41,42,--,4,85,33,83,-7.8,47,106,63
S Florida,2016,5,13,42.7,42.7,35.0,41.5,45.0,32.2,11,520.7,520.7,450.0,554.0,454.0,433.2,70,30.7,30.7,55.0,36.0,20.0,24.6,108,504.7,504.7,647.0,482.5,549.0,397.0,22,1.0,1.0,2.0,1.5,0.0,1.2,67,1.3,1.3,1.0,0.5,3.0,1.9,30,9.4,10,61,10,21,--,20,65,20,46,-1.6,45,100,75
VA Tech,2016,5,14,42.3,42.3,54.0,51.5,24.0,30.1,45,446.0,446.0,462.0,469.0,400.0,368.7,28,20.7,20.7,17.0,8.5,45.0,28.3,15,299.0,299.0,443.0,283.5,330.0,379.6,87,2.0,2.0,0.0,0.5,5.0,1.8,67,1.3,1.3,1.0,1.5,1.0,1.8,13,15.8,7,84,25,125,-6.9,24,125,125,32,0.4,19,97,34
Wash State,2016,5,15,42.0,42.0,56.0,56.0,28.0,32.7,13,514.5,514.5,509.0,509.0,520.0,474.5,23,18.5,18.5,6.0,6.0,31.0,28.0,25,338.5,338.5,257.0,257.0,420.0,427.3,22,1.0,1.0,1.0,1.0,1.0,1.9,12,2.5,2.5,2.0,2.0,3.0,2.0,51,3.1,8,119,60,36,--,26,103,37,55,-3.6,21,91,57
Toledo,2016,5,16,41.5,41.5,52.0,52.0,31.0,35.0,4,587.5,587.5,619.0,619.0,556.0,463.1,8,13.5,13.5,17.0,17.0,10.0,20.8,5,260.0,260.0,254.0,254.0,266.0,375.3,22,1.0,1.0,0.0,0.0,2.0,1.2,126,0.0,0.0,0.0,0.0,0.0,1.8,22,13.3,3,96,17,39,--,3,67,28,125,-16.3,57,125,109
Miami (FL),2016,5,16,41.5,41.5,45.0,38.0,45.0,26.3,15,509.5,509.5,549.0,470.0,549.0,398.5,2,10.0,10.0,10.0,10.0,10.0,30.5,2,227.5,227.5,241.0,214.0,241.0,432.0,56,1.5,1.5,1.0,2.0,1.0,1.0,86,1.0,1.0,1.0,1.0,1.0,1.9,6,24.8,4,37,5,19,--,7,51,16,52,-3.4,15,118,52
Mississippi,2016,5,18,40.7,40.7,45.0,44.0,34.0,37.9,33,472.3,472.3,510.0,518.5,380.0,506.5,98,35.7,35.7,14.0,31.0,45.0,24.3,101,489.3,489.3,396.0,444.0,580.0,393.8,107,2.3,2.3,1.0,1.5,4.0,1.8,86,1.0,1.0,2.0,1.5,0.0,1.8,19,13.9,9,84,37,12,5.4,7,65,13,5,10.5,2,15,5
Florida St,2016,5,19,40.0,40.0,55.0,--,40.0,30.0,17,503.7,503.7,647.0,--,503.7,423.7,117,44.0,44.0,35.0,--,44.0,17.8,88,453.3,453.3,450.0,--,453.3,342.6,22,1.0,1.0,1.0,--,1.0,1.2,18,2.3,2.3,2.0,--,2.3,1.1,17,14.0,5,64,34,6,25.6,3,64,5,2,13.5,1,22,4
NC State,2016,5,20,39.5,39.5,49.0,49.0,30.0,33.1,28,483.5,483.5,470.0,470.0,497.0,410.3,59,27.5,27.5,22.0,22.0,33.0,28.0,44,383.0,383.0,321.0,321.0,445.0,370.6,22,1.0,1.0,1.0,1.0,1.0,1.0,86,1.0,1.0,0.0,0.0,2.0,1.8,52,3.0,11,69,48,74,--,7,74,48,93,-9.5,30,122,73
Pittsburgh,2016,5,21,38.7,38.7,36.0,42.0,37.0,26.8,38,460.0,460.0,421.0,432.0,474.0,370.8,107,40.3,40.3,37.0,39.0,41.0,25.2,110,505.7,505.7,471.0,406.0,555.5,359.5,41,1.3,1.3,1.0,2.0,1.0,1.1,18,2.3,2.3,1.0,4.0,1.5,1.3,56,1.8,18,85,64,41,--,36,100,42,23,1.9,15,102,36
Nebraska,2016,5,22,38.5,37.0,24.0,43.3,24.0,32.8,26,485.0,511.3,556.0,461.3,556.0,446.9,20,18.0,20.7,13.0,19.7,13.0,27.8,35,366.0,396.7,388.0,358.7,388.0,400.4,22,1.0,1.3,2.0,0.7,2.0,2.1,12,2.5,2.7,2.0,2.7,2.0,1.2,20,13.8,9,78,16,29,--,25,105,58,50,-2.6,22,106,56
Oregon,2016,5,23,38.0,38.0,38.0,41.0,32.0,41.5,8,540.7,540.7,508.0,570.0,482.0,522.2,85,34.0,34.0,41.0,33.5,35.0,37.2,97,469.7,469.7,593.0,490.5,428.0,480.0,6,0.3,0.3,1.0,0.5,0.0,1.3,48,1.7,1.7,2.0,2.0,1.0,1.7,40,4.5,23,85,47,31,--,15,72,27,27,1.2,14,111,37
Boise State,2016,5,23,38.0,38.0,38.0,31.0,41.5,38.0,16,505.3,505.3,512.0,420.0,548.0,493.9,28,20.7,20.7,24.0,28.0,17.0,21.9,32,358.0,358.0,287.0,520.0,277.0,320.0,68,1.7,1.7,2.0,3.0,1.0,1.8,108,0.7,0.7,1.0,1.0,0.5,2.5,21,13.4,8,81,18,26,--,13,121,22,51,-2.7,35,74,58
Kansas St,2016,5,23,38.0,38.0,63.0,63.0,13.0,29.6,65,415.0,415.0,495.0,495.0,335.0,333.6,17,16.5,16.5,7.0,7.0,26.0,34.1,3,241.5,241.5,211.0,211.0,272.0,467.8,56,1.5,1.5,1.0,1.0,2.0,1.5,12,2.5,2.5,4.0,4.0,1.0,1.2,14,15.8,8,56,8,38,--,8,56,39,20,2.8,1,47,8
Baylor,2016,5,26,37.7,37.7,35.0,37.5,38.0,46.6,5,565.7,565.7,523.0,529.5,638.0,602.7,14,15.7,15.7,24.0,18.5,10.0,28.1,48,387.3,387.3,492.0,448.5,265.0,401.3,87,2.0,2.0,2.0,2.5,1.0,1.8,5,3.0,3.0,4.0,4.0,1.0,2.0,16,14.1,6,116,14,30,--,11,126,25,66,-5.3,13,111,104
Troy,2016,5,26,37.7,37.7,52.0,52.0,30.5,26.5,75,395.7,395.7,492.0,492.0,347.5,358.6,39,22.3,22.3,6.0,6.0,30.5,29.4,91,458.0,458.0,539.0,539.0,417.5,392.8,41,1.3,1.3,0.0,0.0,2.0,1.7,2,3.7,3.7,5.0,5.0,3.0,1.6,25,12.3,14,90,27,27,--,20,110,29,34,0.0,23,124,23
Akron,2016,5,26,37.7,37.7,38.0,38.0,37.5,21.6,69,411.3,411.3,486.0,486.0,374.0,336.3,119,45.7,45.7,45.0,45.0,46.0,22.5,125,577.7,577.7,587.0,587.0,573.0,342.3,68,1.7,1.7,2.0,2.0,1.5,1.3,48,1.7,1.7,1.0,1.0,2.0,2.2,81,-5.0,71,127,80,68,--,65,116,76,63,-5.0,62,123,65
Colorado,2016,5,26,37.7,37.7,41.0,--,37.7,22.7,20,498.7,498.7,593.0,--,498.7,377.6,68,30.0,30.0,38.0,--,30.0,29.8,41,376.7,376.7,508.0,--,376.7,437.8,41,1.3,1.3,2.0,--,1.3,1.7,28,2.0,2.0,1.0,--,2.0,1.6,11,16.4,2,60,12,5,26.0,1,84,4,14,5.1,9,115,28
Air Force,2016,5,30,37.5,37.5,27.0,48.0,27.0,31.5,54,428.5,428.5,326.0,531.0,326.0,446.3,18,17.0,17.0,20.0,14.0,20.0,26.9,14,291.5,291.5,414.0,169.0,414.0,367.2,1,0.0,0.0,0.0,0.0,0.0,1.8,86,1.0,1.0,2.0,0.0,2.0,1.2,48,3.3,39,109,58,50,--,40,126,64,103,-11.2,69,127,127
TX Christian,2016,5,31,37.3,37.3,33.0,39.5,33.0,39.8,6,547.3,547.3,589.0,526.5,589.0,557.5,33,21.3,21.3,3.0,30.5,3.0,28.9,34,359.3,359.3,320.0,379.0,320.0,417.7,22,1.0,1.0,1.0,1.0,1.0,1.5,108,0.7,0.7,2.0,0.0,2.0,1.3,33,5.9,33,89,71,23,--,19,107,67,76,-6.5,17,93,72
