,Rank,Team,2021,Last 3,Last 1,Home,Away,2020
99,91,Nebraska,1.0,1.3,2.0,1.0,1.0,0.9
100,91,Oklahoma St,1.0,0.7,0.0,0.7,1.3,1.5
101,91,S Mississippi,1.0,0.7,1.0,1.3,0.7,1.2
102,91,LA Lafayette,1.0,1.3,0.0,2.5,0.3,2.1
103,91,UNLV,1.0,1.0,2.0,1.3,0.7,0.8
104,91,TX Christian,1.0,0.7,0.0,1.0,1.0,1.2
105,91,Clemson,1.0,1.3,1.0,1.0,1.0,2.0
106,107,Arkansas,0.9,0.3,1.0,1.3,0.3,1.8
107,107,N Illinois,0.9,0.7,1.0,1.3,0.5,1.2
108,107,Army,0.9,0.3,0.0,0.8,1.0,1.7
109,107,Ohio,0.9,1.0,0.0,0.7,1.0,2.0
110,107,Florida,0.9,1.0,0.0,1.0,0.7,1.3
111,112,GA Southern,0.8,1.7,0.0,2.0,0.3,2.2
112,112,Tulane,0.8,0.0,0.0,1.0,0.8,1.6
113,112,Kansas St,0.8,0.7,1.0,0.7,1.0,1.2
114,112,W Virginia,0.8,1.3,3.0,0.5,1.0,1.3
115,112,Iowa State,0.8,1.0,0.0,0.7,1.0,1.4
116,112,Old Dominion,0.8,1.0,1.0,0.5,1.0,--
117,118,Connecticut,0.7,0.7,0.0,0.7,0.8,--
118,118,Stanford,0.7,0.7,0.0,0.5,0.8,1.2
119,118,San Jose St,0.7,0.7,1.0,1.0,0.6,1.4
120,118,Central Mich,0.7,0.3,0.0,0.7,0.8,2.5
121,118,Syracuse,0.7,0.3,0.0,0.5,1.0,2.2
122,123,Florida Intl,0.7,0.3,1.0,0.3,1.0,0.8
123,123,Miami (FL),0.7,0.7,0.0,0.5,1.0,1.5
124,123,Auburn,0.7,0.7,1.0,0.3,1.0,1.2
125,123,Colorado,0.7,1.0,0.0,1.0,0.3,1.3
126,123,Coastal Car,0.7,1.3,2.0,0.3,1.0,2.2
127,128,Kentucky,0.5,0.7,0.0,0.8,0.0,2.0
128,129,Memphis,0.4,0.3,1.0,0.7,0.3,1.8
129,130,Arizona,0.3,0.7,0.0,0.7,0.0,0.6
