,Rank,Team,Rating,Hi,Low,Last
0,1,Georgia,36.9,1,20,1
1,2,Michigan,26.4,1,37,2
2,3,Alabama,25.7,1,21,5
3,4,Mississippi,23.5,3,65,3
4,5,Texas,21.0,5,78,13
5,6,Florida,19.3,6,81,12
6,7,Arkansas,18.1,7,49,15
7,8,Oklahoma,16.9,4,41,8
8,9,Cincinnati,16.9,4,30,11
9,10,Iowa,16.2,2,58,4
10,11,Ohio State,15.0,1,20,14
11,12,W Virginia,14.9,12,61,17
12,13,Notre Dame,14.8,4,63,46
13,14,Michigan St,14.7,4,57,16
14,15,NC State,14.2,1,51,31
15,16,Rutgers,14.1,11,109,25
16,17,Maryland,14.0,10,105,18
17,18,Clemson,13.8,3,44,20
18,19,Oregon,13.2,9,57,10
19,20,UCLA,12.9,1,63,21
20,21,Wake Forest,12.6,10,60,41
21,22,Pittsburgh,12.5,4,63,45
22,23,Auburn,12.0,7,39,7
23,24,Penn State,11.9,5,35,6
24,25,Boise State,10.5,10,58,34
25,26,Baylor,10.3,9,102,26
26,27,Nebraska,9.9,6,126,27
27,28,Oregon St,9.5,27,73,61
28,29,Purdue,9.2,14,51,33
29,30,Central FL,8.9,9,76,36
30,31,Texas A&M,8.6,6,53,24
31,32,GA Tech,8.2,32,100,74
32,33,LSU,8.2,24,64,37
33,34,N Carolina,8.1,9,66,9
34,35,TX-San Ant,7.6,30,108,35
35,36,Fresno St,7.3,2,94,19
36,37,Coastal Car,6.9,11,109,55
37,38,S Methodist,6.9,28,114,62
38,39,Marshall,6.4,5,89,47
39,40,UAB,6.3,4,80,58
40,41,Tennessee,6.3,10,116,43
41,42,Boston Col,5.5,23,83,51
42,43,App State,5.5,8,63,39
43,44,Army,5.5,8,75,52
44,45,Liberty,5.3,21,89,32
45,46,Miami (FL),4.8,8,85,84
46,47,Miss State,4.7,10,89,57
47,48,Louisville,4.5,11,84,56
48,49,Iowa State,4.4,7,103,59
49,50,Kansas St,4.4,24,68,38
50,51,VA Tech,4.3,6,80,22
51,52,W Michigan,3.4,47,112,69
52,53,Virginia,3.4,13,77,28
53,54,Wisconsin,3.3,3,66,23
54,55,S Carolina,3.2,33,96,40
55,56,Washington,3.1,34,117,60
56,57,BYU,3.1,32,69,48
57,58,USC,2.4,20,92,30
58,59,Stanford,2.1,23,119,42
59,60,Kentucky,2.0,21,81,79
60,61,W Kentucky,2.0,10,89,65
61,62,Oklahoma St,1.7,3,104,77
62,63,Syracuse,1.7,27,86,67
63,64,Arizona St,1.6,20,117,83
64,65,TX Christian,1.6,30,101,44
65,66,Tulane,1.6,10,115,49
66,67,Missouri,0.1,48,101,70
67,68,Minnesota,-0.2,6,72,29
68,69,Indiana,-0.5,17,109,66
69,70,Houston,-0.6,16,96,53
70,71,Texas Tech,-0.8,22,124,50
71,72,Illinois,-0.8,3,94,76
72,73,Memphis,-1.0,65,91,71
73,74,Nevada,-1.2,37,78,72
74,75,Air Force,-1.2,38,102,95
75,76,San Diego St,-1.4,58,108,68
76,77,Buffalo,-1.5,3,117,64
77,78,Toledo,-1.6,35,104,88
78,79,Utah,-2.7,5,118,81
79,80,California,-3.3,28,87,85
80,81,LA Lafayette,-3.4,30,107,80
81,82,Fla Atlantic,-3.8,49,119,63
82,83,Kent State,-4.5,69,112,75
83,84,E Michigan,-5.5,73,119,96
84,85,Duke,-5.6,85,126,91
85,86,Northwestern,-6.3,67,117,98
86,87,Troy,-6.3,25,112,54
87,88,E Carolina,-6.6,39,120,73
88,89,Utah State,-6.6,39,126,86
89,90,Central Mich,-7.0,40,106,82
90,91,LA Tech,-7.3,55,118,92
91,92,Miami (OH),-7.5,67,100,89
92,93,Tulsa,-7.6,28,125,93
93,94,Florida St,-8.2,27,102,100
94,95,Wyoming,-8.6,70,116,78
95,96,Middle Tenn,-9.3,69,115,94
96,97,Colorado,-9.4,36,110,87
97,98,San Jose St,-9.5,13,125,90
98,99,Colorado St,-9.9,42,129,105
99,100,Charlotte,-10.1,85,123,97
100,101,S Alabama,-10.1,54,117,99
101,102,N Illinois,-11.0,65,113,101
102,103,Old Dominion,-11.1,69,124,102
103,104,Bowling Grn,-11.9,98,129,112
104,105,S Florida,-12.8,20,127,108
105,106,Hawaii,-13.8,93,128,103
106,107,Wash State,-14.9,19,107,106
107,108,Georgia State,-15.0,57,123,114
108,109,LA Monroe,-16.5,102,129,125
109,110,Arkansas St,-17.0,71,125,111
110,111,Arizona,-17.1,69,120,115
111,112,North Texas,-17.3,48,120,113
112,113,Florida Intl,-17.6,15,130,109
113,114,TX El Paso,-18.1,89,130,110
114,115,S Mississippi,-18.3,100,129,107
115,116,Temple,-18.6,96,128,119
116,117,Ball State,-21.2,58,122,117
117,118,GA Southern,-22.4,84,124,121
118,119,UNLV,-22.6,101,128,128
119,120,Texas State,-22.6,86,125,104
120,121,New Mexico,-22.9,109,129,116
121,122,Navy,-24.0,64,129,129
122,123,Vanderbilt,-24.6,98,130,118
123,124,Kansas,-25.6,80,129,122
124,125,Rice,-26.0,82,130,123
125,126,U Mass,-27.5,87,130,120
126,127,Ohio,-29.0,78,127,124
127,128,Akron,-30.3,106,130,126
128,129,N Mex State,-31.1,120,130,127
129,130,Connecticut,-31.8,111,130,130
