,Rank,Team,Rating,Hi,Low,Last
0,1,Ohio State,36.3,1,20,1
1,2,Georgia,30.6,1,20,2
2,3,Wisconsin,29.1,3,66,3
3,4,Oklahoma St,28.1,3,104,5
4,5,Alabama,27.6,1,21,4
5,6,Notre Dame,25.7,4,63,8
6,7,Utah,21.4,5,118,10
7,8,Michigan,20.9,1,37,11
8,9,Texas A&M,19.7,6,53,6
9,10,Miss State,17.2,10,89,23
10,11,NC State,16.4,1,51,7
11,12,Louisville,16.2,11,84,24
12,13,Baylor,15.5,9,102,9
13,14,Penn State,15.1,5,35,22
14,15,App State,14.2,8,63,51
15,16,Clemson,13.6,3,44,35
16,17,Cincinnati,13.5,4,30,18
17,18,UCLA,12.8,1,63,39
18,19,Oklahoma,12.3,4,41,20
19,20,Pittsburgh,11.9,4,63,14
20,21,Iowa State,11.5,7,103,17
21,22,Tennessee,11.3,10,116,29
22,23,Minnesota,11.2,6,72,26
23,24,Wake Forest,11.0,10,60,16
24,25,Nebraska,10.8,6,126,13
25,26,Mississippi,10.4,3,65,12
26,27,Purdue,10.2,14,51,15
27,28,California,9.9,28,87,62
28,29,Arkansas,9.8,7,49,31
29,30,Auburn,9.6,7,39,25
30,31,Kansas St,9.5,24,68,32
31,32,W Kentucky,9.1,10,89,40
32,33,Oregon,8.7,9,57,21
33,34,LA Lafayette,8.6,30,107,36
34,35,Miami (FL),8.4,8,85,38
35,36,BYU,8.0,32,69,42
36,37,TX-San Ant,8.0,30,108,30
37,38,Florida St,8.0,27,102,27
38,39,Houston,7.8,16,96,34
39,40,Boise State,7.8,10,58,37
40,41,S Methodist,7.5,28,114,28
41,42,Oregon St,7.2,27,73,56
42,43,LSU,6.9,24,64,41
43,44,N Carolina,6.6,9,66,44
44,45,Marshall,6.6,5,89,48
45,46,W Virginia,6.5,12,61,58
46,47,Kentucky,6.0,21,81,33
47,48,Wash State,6.0,19,107,43
48,49,Michigan St,5.2,4,57,19
49,50,Illinois,5.2,3,94,55
50,51,Central Mich,4.5,40,106,69
51,52,Virginia,3.9,13,77,45
52,53,E Carolina,3.8,39,120,46
53,54,Air Force,3.4,38,102,53
54,55,Army,2.5,8,75,49
55,56,Central FL,2.3,9,76,70
56,57,Iowa,2.2,2,58,50
57,58,S Carolina,1.7,33,96,85
58,59,Fresno St,1.6,2,94,61
59,60,Toledo,1.5,35,104,75
60,61,Arizona St,1.2,20,117,47
61,62,Texas Tech,1.1,22,124,74
62,63,Boston Col,1.1,23,83,72
63,64,Tulsa,0.9,28,125,71
64,65,UAB,0.8,4,80,59
65,66,VA Tech,0.1,6,80,68
66,67,Syracuse,-0.4,27,86,54
67,68,Nevada,-0.6,37,78,67
68,69,Washington,-1.5,34,117,66
69,70,Memphis,-1.6,65,91,73
70,71,Missouri,-1.6,48,101,86
71,72,Coastal Car,-1.9,11,109,52
72,73,North Texas,-2.0,48,120,102
73,74,Miami (OH),-2.1,67,100,79
74,75,San Diego St,-2.5,58,108,77
75,76,Georgia State,-3.1,57,123,57
76,77,Texas,-3.2,5,78,76
77,78,Tulane,-3.4,10,115,98
78,79,Navy,-3.5,64,129,83
79,80,Rutgers,-3.8,11,109,81
80,81,Florida,-3.9,6,81,65
81,82,Arizona,-4.3,69,120,93
82,83,Utah State,-4.8,39,126,64
83,84,Wyoming,-5.0,70,116,106
84,85,Middle Tenn,-5.7,69,115,87
85,86,E Michigan,-6.3,73,119,88
86,87,Colorado,-6.6,36,110,82
87,88,USC,-6.8,20,92,60
88,89,Liberty,-6.8,21,89,63
89,90,Northwestern,-6.9,67,117,80
90,91,Old Dominion,-7.1,69,124,89
91,92,Kansas,-7.9,80,129,108
92,93,N Illinois,-8.1,65,113,92
93,94,Ohio,-8.6,78,127,96
94,95,Maryland,-8.6,10,105,95
95,96,W Michigan,-8.6,47,112,110
96,97,GA Tech,-9.6,32,100,84
97,98,TX El Paso,-10.5,89,130,97
98,99,TX Christian,-10.6,30,101,94
99,100,Vanderbilt,-10.9,98,130,115
100,101,S Florida,-11.8,20,127,91
101,102,Kent State,-11.8,69,112,111
102,103,Colorado St,-11.9,42,129,90
103,104,San Jose St,-12.3,13,125,104
104,105,Ball State,-12.7,58,122,78
105,106,Troy,-12.9,25,112,99
106,107,UNLV,-13.7,101,128,107
107,108,Fla Atlantic,-13.7,49,119,100
108,109,Indiana,-14.6,17,109,103
109,110,LA Monroe,-15.4,102,129,109
110,111,Rice,-15.4,82,130,118
111,112,Arkansas St,-16.5,71,125,119
112,113,Stanford,-16.8,23,119,105
113,114,Buffalo,-17.3,3,117,112
114,115,Hawaii,-17.7,93,128,117
115,116,S Alabama,-18.2,54,117,101
116,117,GA Southern,-18.9,84,124,113
117,118,LA Tech,-19.7,55,118,114
118,119,Texas State,-20.4,86,125,122
119,120,S Mississippi,-20.8,100,129,126
120,121,Bowling Grn,-22.6,98,129,125
121,122,New Mexico,-23.1,109,129,123
122,123,Charlotte,-24.6,85,123,121
123,124,Akron,-27.7,106,130,116
124,125,N Mex State,-27.8,120,130,124
125,126,Duke,-27.9,85,126,120
126,127,Connecticut,-32.0,111,130,127
127,128,Temple,-33.3,96,128,128
128,129,Florida Intl,-37.8,15,130,129
129,130,U Mass,-39.1,87,130,130
