,Rank,Team,Rating,v 1-10,v 11-25,v 26-40,Hi,Low,Last
0,1,Alabama,39.1,0-0,0-0,0-0,1,20,1
1,2,Notre Dame,36.4,0-0,0-0,0-0,1,62,2
2,3,GA Tech,34.6,0-0,0-0,0-0,3,82,3
3,4,Clemson,26.9,0-1,0-0,0-0,2,21,5
4,5,Georgia,25.4,1-0,0-0,0-0,2,23,4
5,6,Mississippi,23.2,0-0,0-0,0-0,4,64,6
6,7,Texas Tech,22.8,0-0,0-0,0-0,4,78,9
7,8,Kansas St,20.8,0-0,0-0,0-0,5,61,8
8,9,Arkansas,20.7,0-0,0-0,0-0,5,60,7
9,10,App State,11.9,0-0,0-0,0-0,1,108,12
10,11,UAB,7.8,0-0,0-0,0-0,1,71,11
11,12,Colorado,7.7,0-0,0-0,0-0,7,110,10
12,13,Iowa,--,0-0,0-0,0-0,13,127,20
13,14,Ohio State,--,0-0,0-0,0-0,3,32,22
14,15,Michigan,--,0-0,0-0,0-0,1,63,62
15,16,Wake Forest,--,0-0,0-0,0-0,13,124,16
16,17,Pittsburgh,--,0-0,0-0,0-0,5,51,32
17,18,USC,--,0-0,0-0,0-0,14,63,17
18,19,Cincinnati,--,0-0,0-0,0-0,11,51,21
19,20,Michigan St,--,0-0,0-0,0-0,4,65,18
20,21,Minnesota,--,0-0,0-0,0-0,9,65,15
21,22,UCLA,--,0-0,0-0,0-0,1,62,26
22,23,Penn State,--,0-0,0-0,0-0,9,34,23
23,24,Tennessee,--,0-0,0-0,0-0,23,116,71
24,25,Iowa State,--,0-0,0-0,0-0,7,83,25
25,26,Oregon,--,0-0,0-0,0-0,11,128,14
26,27,Colorado St,--,0-0,0-0,0-0,22,120,33
27,28,Rutgers,--,0-0,0-0,0-0,27,92,27
28,29,Oklahoma,--,0-0,0-0,0-0,4,64,63
29,30,Oregon St,--,0-0,0-0,0-0,29,125,29
30,31,Auburn,--,0-0,0-0,0-0,20,48,40
31,32,Arizona St,--,0-0,0-0,0-0,27,117,73
32,33,San Diego St,--,0-0,0-0,0-0,17,89,35
33,34,Purdue,--,0-0,0-0,0-0,12,58,34
34,35,W Virginia,--,0-0,0-0,0-0,23,69,28
35,36,Liberty,--,0-0,0-0,0-0,8,67,58
