,Rank,Team,Rating,v 1-10,v 11-25,v 26-40,Hi,Low,Last
0,1,Notre Dame,39.6,0-0,0-0,0-0,1,62,2
1,2,Alabama,39.5,0-0,0-0,0-0,1,20,1
2,3,GA Tech,32.2,0-0,0-0,0-0,3,82,3
3,4,Clemson,25.4,0-1,0-0,0-0,2,21,4
4,5,Mississippi,24.8,0-0,0-0,0-0,4,64,7
5,6,Arkansas,24.6,0-0,0-0,0-0,5,60,8
6,7,Texas Tech,23.5,0-0,0-0,0-0,4,78,6
7,8,Georgia,22.6,1-0,0-0,0-0,2,23,5
8,9,Oklahoma,21.9,0-0,1-0,0-0,4,64,9
9,10,Kansas St,18.6,0-0,0-0,0-0,5,61,10
10,11,Colorado,11.6,0-0,0-0,0-0,7,110,13
11,12,App State,11.5,0-0,0-0,0-0,1,108,12
12,13,Texas,10.1,0-1,0-0,0-0,11,89,11
13,14,UAB,9.0,0-0,0-0,0-0,1,71,14
14,15,Ohio State,--,0-0,0-0,0-0,3,32,16
15,16,Iowa,--,0-0,0-0,0-0,13,127,15
16,17,Michigan,--,0-0,0-0,0-0,1,63,19
17,18,Pittsburgh,--,0-0,0-0,0-0,5,51,18
18,19,Minnesota,--,0-0,0-0,0-0,9,65,21
19,20,Iowa State,--,0-0,0-0,0-0,7,83,24
20,21,Michigan St,--,0-0,0-0,0-0,4,65,22
21,22,Purdue,--,0-0,0-0,0-0,12,58,23
22,23,Wake Forest,--,0-0,0-0,0-0,13,124,26
23,24,USC,--,0-0,0-0,0-0,14,63,17
24,25,Auburn,--,0-0,0-0,0-0,20,48,25
25,26,Penn State,--,0-0,0-0,0-0,9,34,28
26,27,Oregon,--,0-0,0-0,0-0,11,128,29
27,28,Oklahoma St,--,0-0,0-0,0-0,20,84,27
28,29,Cincinnati,--,0-0,0-0,0-0,11,51,20
29,30,Miss State,--,0-0,0-0,0-0,25,76,39
30,31,Air Force,--,0-0,0-0,0-0,30,125,36
31,32,Tennessee,--,0-0,0-0,0-0,23,116,30
32,33,NC State,--,0-0,0-0,0-0,5,88,33
33,34,Kentucky,--,0-0,0-0,0-0,31,65,32
34,35,UCLA,--,0-0,0-0,0-0,1,62,35
35,36,TX Christian,--,0-0,0-0,0-0,21,84,31
36,37,Boise State,--,0-0,0-0,0-0,4,44,37
37,38,Marshall,--,0-0,0-0,0-0,9,121,38
38,39,TX-San Ant,--,0-0,0-0,0-0,19,125,53
39,40,Wash State,--,0-0,0-0,0-0,27,86,40
40,41,Coastal Car,--,0-0,0-0,0-0,12,115,43
41,42,Florida St,--,0-0,0-0,0-0,41,94,46
42,43,Florida,--,0-0,0-0,0-0,9,46,44
43,44,Arizona St,--,0-0,0-0,0-0,27,117,42
44,45,Colorado St,--,0-0,0-0,0-0,22,120,34
45,46,Oregon St,--,0-0,0-0,0-0,29,125,41
46,47,Syracuse,--,0-0,0-0,0-0,15,106,62
47,48,San Diego St,--,0-0,0-0,0-0,17,89,56
48,49,Army,--,0-0,0-0,0-0,12,115,48
49,50,W Virginia,--,0-0,0-0,0-0,23,69,67
50,51,Toledo,--,0-0,0-0,0-0,26,126,47
51,52,Utah,--,0-0,0-0,0-0,3,118,45
52,53,Rutgers,--,0-0,0-0,0-0,27,92,55
53,54,Nebraska,--,0-0,0-0,0-0,34,127,52
54,55,Virginia,--,0-0,0-0,0-0,45,79,57
55,56,California,--,0-0,0-0,0-0,22,73,50
56,57,Baylor,--,0-0,0-0,0-0,12,103,59
57,58,Fresno St,--,0-0,0-0,0-0,2,116,49
58,59,VA Tech,--,0-0,0-0,0-0,10,65,64
59,60,Tulsa,--,0-0,0-0,0-0,28,121,65
60,61,Nevada,--,0-0,0-0,0-0,16,77,60
61,62,S Methodist,--,0-0,0-0,0-0,40,82,58
62,63,Illinois,--,0-0,0-0,0-0,3,106,75
63,64,LSU,--,0-0,0-0,0-0,10,71,69
64,65,Boston Col,--,0-0,0-0,0-0,37,97,54
65,66,W Kentucky,--,0-0,0-0,0-0,7,107,63
66,67,Liberty,--,0-0,0-0,0-0,8,67,66
67,68,W Michigan,--,0-0,0-0,0-0,48,113,51
68,69,Missouri,--,0-0,0-0,0-0,31,78,68
