,Rank,Team,Rating,Hi,Low,Last
0,1,Alabama,9.5,1,15,1
1,2,Georgia,9.4,1,18,2
2,3,Nebraska,9.2,2,72,11
3,4,Arkansas,8.9,3,77,12
4,5,Wisconsin,8.8,4,21,8
5,6,Penn State,8.6,4,25,6
6,7,Purdue,8.5,5,79,5
7,8,Auburn,8.5,2,101,3
8,9,Ohio State,8.4,1,20,9
9,10,Mississippi,7.8,3,53,4
10,11,Clemson,7.8,1,16,16
11,12,Michigan,7.7,4,67,10
12,13,Notre Dame,6.9,8,46,15
13,14,Iowa State,6.8,7,87,24
14,15,Tennessee,6.8,14,124,14
15,16,LSU,6.5,5,31,7
16,17,Texas,6.5,4,30,19
17,18,Miami (FL),6.1,1,26,18
18,19,Miss State,6.0,13,75,13
19,20,Texas A&M,6.0,6,69,17
20,21,Michigan St,6.0,12,82,31
21,22,Oklahoma St,5.9,14,92,20
22,23,W Virginia,5.4,4,39,23
23,24,Baylor,5.3,24,119,28
24,25,Oklahoma,5.0,4,35,32
25,26,Iowa,4.9,7,29,25
26,27,Florida,4.9,3,61,21
27,28,NC State,4.9,19,114,26
28,29,Indiana,4.8,6,32,27
29,30,Illinois,4.7,3,87,34
30,31,Louisville,4.5,17,51,22
31,32,Florida St,4.4,19,71,33
32,33,Virginia,4.3,24,114,36
33,34,Wake Forest,4.1,29,116,37
34,35,Oregon,4.0,4,44,39
35,36,Minnesota,3.8,1,57,35
36,37,Utah,3.3,19,115,42
37,38,Kansas St,2.9,24,66,43
38,39,N Carolina,2.9,3,56,29
39,40,Maryland,2.8,31,49,46
40,41,Rutgers,2.7,25,94,44
41,42,Navy,2.6,40,95,40
42,43,Stanford,2.5,16,73,38
43,44,TX Christian,2.5,22,93,30
44,45,Pittsburgh,2.5,27,109,41
45,46,UCLA,2.4,23,126,45
46,47,S Carolina,2.1,35,123,57
47,48,Cincinnati,2.0,11,91,58
48,49,Arizona St,1.7,27,128,50
49,50,Syracuse,1.7,50,106,53
50,51,USC,1.7,19,58,48
51,52,Kentucky,1.4,30,101,47
52,53,Oregon St,1.1,27,75,62
53,54,VA Tech,1.0,5,57,56
54,55,Texas Tech,0.9,35,86,61
55,56,Colorado,0.9,38,118,59
56,57,Tulane,0.9,5,66,49
57,58,Washington,0.6,25,88,55
58,59,GA Tech,0.5,29,113,60
59,60,BYU,0.3,46,73,51
60,61,Boise State,0.3,3,62,54
61,62,Wash State,0.1,52,115,52
62,63,Northwestern,0.0,11,94,64
63,64,Missouri,-0.4,26,78,71
64,65,California,-1.0,13,66,66
65,66,Boston Col,-1.0,44,129,65
66,67,Central FL,-1.1,7,74,63
67,68,S Methodist,-1.1,63,119,74
68,69,Arizona,-1.3,42,103,68
69,70,App State,-1.7,17,110,70
70,71,E Carolina,-2.2,6,83,72
71,72,Tulsa,-2.7,37,116,69
72,73,Memphis,-3.1,51,108,76
73,74,S Florida,-3.3,4,100,73
74,75,Army,-3.5,63,103,67
75,76,UAB,-3.7,36,126,80
76,77,Nevada,-3.8,37,79,77
77,78,Fresno St,-4.0,27,129,78
78,79,Liberty,-4.6,39,113,79
79,80,Kansas,-4.6,78,125,83
80,81,LA Lafayette,-4.6,9,92,88
81,82,Houston,-4.7,33,109,81
82,83,Air Force,-4.7,79,121,82
83,84,Georgia State,-5.6,27,94,75
84,85,Marshall,-6.0,63,109,84
85,86,Ball State,-6.5,69,118,87
86,87,W Kentucky,-6.7,67,128,86
87,88,Miami (OH),-6.8,9,101,85
88,89,W Michigan,-6.9,16,93,93
89,90,TX-San Ant,-7.0,53,100,94
90,91,Central Mich,-7.1,26,107,98
91,92,Colorado St,-7.3,88,127,90
92,93,Vanderbilt,-7.4,88,123,102
93,94,San Diego St,-7.5,76,130,89
94,95,N Illinois,-7.5,43,113,97
95,96,Duke,-7.5,82,120,92
96,97,Toledo,-7.6,41,116,95
97,98,Fla Atlantic,-8.4,15,101,99
98,99,Utah State,-8.5,62,121,96
99,100,Wyoming,-8.5,70,125,106
100,101,LA Tech,-8.9,39,111,91
101,102,Troy,-8.9,71,124,107
102,103,Kent State,-9.1,10,109,100
103,104,Arkansas St,-9.2,88,120,109
104,105,UNLV,-9.2,94,127,105
105,106,Ohio,-9.2,67,122,108
106,107,Old Dominion,-9.6,10,122,104
107,108,GA Southern,-9.7,84,112,112
108,109,Middle Tenn,-9.9,74,127,101
109,110,Coastal Car,-10.0,33,124,103
110,111,San Jose St,-10.3,63,128,111
111,112,E Michigan,-10.5,84,122,114
112,113,North Texas,-10.5,97,128,110
113,114,Rice,-10.6,20,118,115
114,115,Buffalo,-10.8,55,125,113
115,116,Hawaii,-10.9,1,116,116
116,117,Temple,-11.4,44,123,117
117,118,LA Monroe,-11.4,29,128,119
118,119,Bowling Grn,-12.0,65,128,118
119,120,S Mississippi,-12.5,77,125,121
120,121,New Mexico,-12.7,114,130,122
121,122,S Alabama,-12.7,89,129,125
122,123,Texas State,-13.1,62,125,124
123,124,Charlotte,-13.2,82,124,120
124,125,TX El Paso,-14.7,99,130,123
125,126,N Mex State,-14.9,94,130,128
126,127,Akron,-16.0,35,130,126
127,128,Florida Intl,-16.3,115,130,127
128,129,Connecticut,-17.7,97,130,129
129,130,U Mass,-17.8,43,130,130
