,Rank,Team,Rating,Hi,Low,Last
0,1,Ohio State,36.1,1,20,2
1,2,Georgia,35.3,1,20,1
2,3,Alabama,29.4,1,21,3
3,4,Wisconsin,28.2,3,66,9
4,5,Oklahoma St,22.2,3,104,6
5,6,Utah,21.8,5,118,17
6,7,Texas A&M,21.2,6,53,14
7,8,Michigan,21.0,1,37,8
8,9,Pittsburgh,19.6,4,63,4
9,10,Iowa State,19.0,7,103,15
10,11,Tennessee,16.3,10,116,26
11,12,Cincinnati,16.0,4,30,5
12,13,Nebraska,15.4,6,126,16
13,14,Auburn,15.2,7,39,18
14,15,Oklahoma,15.0,4,41,12
15,16,Baylor,14.9,9,102,11
16,17,Penn State,14.0,5,35,35
17,18,NC State,13.9,1,51,20
18,19,Mississippi,13.6,3,65,22
19,20,Houston,13.4,16,96,27
20,21,Purdue,13.3,14,51,36
21,22,Minnesota,12.8,6,72,34
22,23,Michigan St,12.7,4,57,13
23,24,Wake Forest,12.7,10,60,10
24,25,Kentucky,12.5,21,81,21
25,26,Notre Dame,12.2,4,63,7
26,27,Miss State,11.4,10,89,29
27,28,Coastal Car,10.9,11,109,23
28,29,Virginia,10.3,13,77,31
29,30,Wash State,9.6,19,107,28
30,31,Florida St,9.5,27,102,32
31,32,Iowa,9.4,2,58,39
32,33,TX-San Ant,9.2,30,108,41
33,34,Arizona St,8.9,20,117,38
34,35,Miami (FL),8.5,8,85,19
35,36,Clemson,8.5,3,44,42
36,37,Oregon,8.3,9,57,44
37,38,Syracuse,8.2,27,86,37
38,39,E Carolina,8.0,39,120,65
39,40,LSU,7.9,24,64,47
40,41,Kansas St,7.1,24,68,46
41,42,N Carolina,7.0,9,66,66
42,43,Louisville,6.7,11,84,40
43,44,S Methodist,6.6,28,114,30
44,45,BYU,6.6,32,69,49
45,46,App State,6.3,8,63,55
46,47,Boise State,6.2,10,58,53
47,48,W Kentucky,6.1,10,89,57
48,49,Arkansas,6.0,7,49,33
49,50,Texas,5.3,5,78,24
50,51,LA Lafayette,4.9,30,107,52
51,52,Marshall,3.6,5,89,60
52,53,Central FL,3.5,9,76,56
53,54,TX Christian,2.5,30,101,59
54,55,Air Force,2.4,38,102,45
55,56,Florida,2.3,6,81,25
56,57,UCLA,2.0,1,63,63
57,58,W Virginia,2.0,12,61,43
58,59,Illinois,1.9,3,94,68
59,60,USC,1.2,20,92,77
60,61,Ball State,1.1,58,122,58
61,62,California,1.0,28,87,54
62,63,Liberty,0.9,21,89,51
63,64,Army,0.7,8,75,74
64,65,Washington,0.4,34,117,61
65,66,Oregon St,0.3,27,73,48
66,67,Nevada,-0.2,37,78,50
67,68,VA Tech,-0.8,6,80,76
68,69,San Diego St,-1.5,58,108,72
69,70,Boston Col,-1.6,23,83,83
70,71,Texas Tech,-1.9,22,124,73
71,72,Fresno St,-2.1,2,94,70
72,73,Toledo,-2.7,35,104,64
73,74,Colorado St,-3.0,42,129,62
74,75,S Carolina,-3.0,33,96,96
75,76,Fla Atlantic,-3.2,49,119,84
76,77,E Michigan,-4.2,73,119,75
77,78,Navy,-4.7,64,129,71
78,79,UAB,-5.0,4,80,79
79,80,Georgia State,-5.1,57,123,80
80,81,Indiana,-5.1,17,109,82
81,82,GA Tech,-5.2,32,100,67
82,83,N Illinois,-5.4,65,113,85
83,84,Memphis,-5.5,65,91,88
84,85,Colorado,-5.5,36,110,93
85,86,Central Mich,-5.8,40,106,98
86,87,Miami (OH),-6.1,67,100,87
87,88,Utah State,-6.1,39,126,95
88,89,Stanford,-6.3,23,119,69
89,90,Middle Tenn,-7.0,69,115,86
90,91,TX El Paso,-7.5,89,130,89
91,92,Tulsa,-7.7,28,125,103
92,93,Troy,-8.1,25,112,105
93,94,Northwestern,-9.2,67,117,90
94,95,San Jose St,-9.2,13,125,109
95,96,S Florida,-9.8,20,127,92
96,97,Arizona,-10.0,69,120,100
97,98,W Michigan,-10.2,47,112,81
98,99,Ohio,-10.4,78,127,112
99,100,North Texas,-10.7,48,120,110
100,101,Missouri,-10.7,48,101,99
101,102,Old Dominion,-10.8,69,124,106
102,103,Tulane,-11.1,10,115,104
103,104,S Alabama,-11.1,54,117,94
104,105,Maryland,-11.3,10,105,91
105,106,Kent State,-12.6,69,112,108
106,107,UNLV,-13.0,101,128,101
107,108,Hawaii,-13.0,93,128,97
108,109,Rutgers,-13.4,11,109,78
109,110,Wyoming,-14.0,70,116,116
110,111,Buffalo,-14.1,3,117,107
111,112,LA Tech,-14.6,55,118,111
112,113,GA Southern,-14.6,84,124,102
113,114,LA Monroe,-18.1,102,129,122
114,115,Rice,-18.6,82,130,114
115,116,Charlotte,-19.5,85,123,113
116,117,Texas State,-19.8,86,125,125
117,118,Duke,-20.3,85,126,115
118,119,Bowling Grn,-21.0,98,129,119
119,120,Vanderbilt,-21.4,98,130,121
120,121,Akron,-22.9,106,130,123
121,122,Kansas,-24.2,80,129,127
122,123,New Mexico,-24.5,109,129,118
123,124,Arkansas St,-24.8,71,125,117
124,125,N Mex State,-25.8,120,130,124
125,126,Temple,-27.4,96,128,120
126,127,Connecticut,-29.8,111,130,129
127,128,Florida Intl,-31.4,15,130,126
128,129,S Mississippi,-32.5,100,129,128
129,130,U Mass,-38.3,87,130,130
