,Rank,Team,Rating,v 1-10,v 11-25,v 26-40,Hi,Low,Last
0,1,Notre Dame,45.0,0-0,0-0,0-0,1,62,1
1,2,Alabama,39.8,0-0,0-0,0-0,1,20,2
2,3,GA Tech,32.0,0-0,0-0,0-0,3,82,4
3,4,Georgia,30.3,1-0,1-0,0-0,2,23,3
4,5,Arkansas,26.0,0-0,0-0,0-0,5,60,6
5,6,Clemson,25.9,0-1,0-0,0-0,2,21,5
6,7,Mississippi,24.2,0-0,0-0,0-0,4,64,7
7,8,Texas Tech,23.8,0-0,0-0,0-0,4,78,8
8,9,Oklahoma,19.4,0-0,1-0,0-0,4,64,9
9,10,Kansas St,14.8,0-0,0-0,0-0,5,61,10
10,11,App State,14.6,0-0,0-0,0-0,1,108,11
11,12,Colorado,13.0,0-0,0-0,0-0,7,110,12
12,13,Texas,10.6,0-1,0-0,0-0,11,89,13
13,14,UAB,8.9,0-0,0-0,0-0,1,71,14
14,15,Army,7.3,0-0,0-0,0-0,12,115,45
15,16,Florida,5.9,0-1,0-0,0-0,9,46,15
16,17,Ohio State,--,0-0,0-0,0-0,3,32,16
17,18,Minnesota,--,0-0,0-0,0-0,9,65,18
18,19,Pittsburgh,--,0-0,0-0,0-0,5,51,17
19,20,Michigan,--,0-0,0-0,0-0,1,63,19
20,21,Oklahoma St,--,0-0,0-0,0-0,20,84,28
21,22,Penn State,--,0-0,0-0,0-0,9,34,23
22,23,Purdue,--,0-0,0-0,0-0,12,58,24
23,24,Iowa,--,0-0,0-0,0-0,13,127,20
24,25,Wake Forest,--,0-0,0-0,0-0,13,124,25
25,26,Cincinnati,--,0-0,0-0,0-0,11,51,29
26,27,Iowa State,--,0-0,0-0,0-0,7,83,27
27,28,Wash State,--,0-0,0-0,0-0,27,86,31
28,29,Michigan St,--,0-0,0-0,0-0,4,65,21
29,30,Oregon,--,0-0,0-0,0-0,11,128,30
30,31,Boise State,--,0-0,0-0,0-0,4,44,37
31,32,Auburn,--,0-0,0-0,0-0,20,48,26
32,33,NC State,--,0-0,0-0,0-0,5,88,34
33,34,USC,--,0-0,0-0,0-0,14,63,22
34,35,Miss State,--,0-0,0-0,0-0,25,76,33
35,36,Utah,--,0-0,0-0,0-0,3,118,54
36,37,Marshall,--,0-0,0-0,0-0,9,121,35
37,38,Tennessee,--,0-0,0-0,0-0,23,116,36
38,39,TX-San Ant,--,0-0,0-0,0-0,19,125,38
39,40,Arizona St,--,0-0,0-0,0-0,27,117,39
40,41,Kentucky,--,0-0,0-0,0-0,31,65,47
41,42,Florida St,--,0-0,0-0,0-0,41,94,41
42,43,UCLA,--,0-0,0-0,0-0,1,62,43
43,44,Illinois,--,0-0,0-0,0-0,3,106,62
44,45,Coastal Car,--,0-0,0-0,0-0,12,115,48
45,46,Syracuse,--,0-0,0-0,0-0,15,106,46
46,47,Tulsa,--,0-0,0-0,0-0,28,121,59
47,48,Fresno St,--,0-0,0-0,0-0,2,116,51
48,49,LSU,--,0-0,0-0,0-0,10,71,67
49,50,W Virginia,--,0-0,0-0,0-0,23,69,49
50,51,Rutgers,--,0-0,0-0,0-0,27,92,53
51,52,Nebraska,--,0-0,0-0,0-0,34,127,50
52,53,Baylor,--,0-0,0-0,0-0,12,103,57
53,54,Toledo,--,0-0,0-0,0-0,26,126,52
54,55,San Diego St,--,0-0,0-0,0-0,17,89,44
55,56,Nevada,--,0-0,0-0,0-0,16,77,55
56,57,TX Christian,--,0-0,0-0,0-0,21,84,58
57,58,S Methodist,--,0-0,0-0,0-0,40,82,61
58,59,Liberty,--,0-0,0-0,0-0,8,67,65
59,60,Washington,--,0-0,0-0,0-0,25,94,63
60,61,Oregon St,--,0-0,0-0,0-0,29,125,60
61,62,Virginia,--,0-0,0-0,0-0,45,79,64
62,63,VA Tech,--,0-0,0-0,0-0,10,65,40
63,64,Colorado St,--,0-0,0-0,0-0,22,120,42
64,65,W Kentucky,--,0-0,0-0,0-0,7,107,66
65,66,Central FL,--,0-0,0-0,0-0,11,84,68
66,67,Utah State,--,0-0,0-0,0-0,17,121,69
67,68,California,--,0-0,0-0,0-0,22,73,56
68,69,W Michigan,--,0-0,0-0,0-0,48,113,70
69,70,S Carolina,--,0-0,0-0,0-0,41,88,73
70,71,Boston Col,--,0-0,0-0,0-0,37,97,71
71,72,Georgia State,--,0-0,0-0,0-0,59,115,74
72,73,Indiana,--,0-0,0-0,0-0,21,107,76
73,74,Missouri,--,0-0,0-0,0-0,31,78,75
74,75,E Michigan,--,0-0,0-0,0-0,75,130,81
75,76,Miami (OH),--,0-0,0-0,0-0,71,112,72
76,77,Bowling Grn,--,0-0,0-0,0-0,76,128,77
77,78,Navy,--,0-0,0-0,0-0,22,97,78
78,79,Fla Atlantic,--,0-0,0-0,0-0,72,105,79
79,80,Buffalo,--,0-0,0-0,0-0,6,103,85
80,81,Maryland,--,0-0,0-0,0-0,37,87,82
81,82,LA Tech,--,0-0,0-0,0-0,22,111,84
82,83,N Illinois,--,0-0,0-0,0-0,21,113,83
83,84,Central Mich,--,0-0,0-0,0-0,68,104,95
84,85,LA Lafayette,--,0-0,0-0,0-0,16,101,86
85,86,Ball State,--,0-0,0-0,0-0,69,119,80
86,87,Tulane,--,0-0,0-0,0-0,13,95,93
87,88,Vanderbilt,--,0-0,0-0,0-0,74,109,87
