,Rank,Team,Rating,Hi,Low,Last
0,1,Alabama,12.3,1,15,2
1,2,Georgia,11.7,1,18,1
2,3,Arkansas,9.9,3,77,3
3,4,Auburn,9.5,2,101,10
4,5,Mississippi,9.2,3,53,6
5,6,Clemson,9.0,1,16,4
6,7,Florida,8.1,3,61,13
7,8,Notre Dame,8.0,8,46,11
8,9,Penn State,8.0,4,25,7
9,10,Texas,7.8,4,30,5
10,11,Indiana,7.3,6,32,15
11,12,Miami (FL),7.1,1,26,17
12,13,Wisconsin,7.0,4,21,8
13,14,Nebraska,7.0,2,72,16
14,15,Oklahoma,7.0,4,35,9
15,16,Michigan,6.7,4,67,14
16,17,Iowa,6.5,7,29,12
17,18,Miss State,6.4,13,75,24
18,19,LSU,5.9,5,31,25
19,20,Ohio State,5.6,1,20,18
20,21,Purdue,5.1,5,79,48
21,22,Cincinnati,5.1,11,91,20
22,23,Texas A&M,4.6,6,69,19
23,24,Kansas St,4.6,24,66,26
24,25,TX Christian,4.5,22,93,33
25,26,Minnesota,4.5,1,57,36
26,27,Tennessee,4.1,14,124,30
27,28,Oklahoma St,4.1,14,92,39
28,29,W Virginia,3.8,4,39,23
29,30,Iowa State,3.7,7,87,28
30,31,Kentucky,3.7,30,101,53
31,32,Louisville,3.6,17,51,27
32,33,Stanford,3.6,16,73,22
33,34,Michigan St,3.5,12,82,32
34,35,Oregon,2.8,4,44,21
35,36,Pittsburgh,2.6,27,109,38
36,37,Virginia,2.4,24,114,31
37,38,VA Tech,2.3,5,57,40
38,39,Florida St,2.2,19,71,34
39,40,Utah,2.1,19,115,45
40,41,Illinois,1.9,3,87,41
41,42,UCLA,1.8,23,126,46
42,43,Rutgers,1.6,25,94,29
43,44,NC State,1.5,19,114,42
44,45,Arizona St,1.3,27,128,55
45,46,Washington,1.1,25,88,50
46,47,Baylor,0.9,24,119,52
47,48,Maryland,0.8,31,49,35
48,49,Tulane,0.7,5,66,44
49,50,N Carolina,0.6,3,56,54
50,51,USC,0.4,19,58,56
51,52,Central FL,0.3,7,74,64
52,53,California,0.3,13,66,65
53,54,Oregon St,0.2,27,75,59
54,55,Boise State,0.1,3,62,43
55,56,Wake Forest,-0.1,29,116,60
56,57,GA Tech,-0.1,29,113,47
57,58,BYU,-0.1,46,73,62
58,59,Navy,-0.3,40,95,51
59,60,App State,-0.6,17,110,61
60,61,Syracuse,-0.7,50,106,66
61,62,Colorado,-1.8,38,118,58
62,63,Texas Tech,-2.0,35,86,49
63,64,Wash State,-2.3,52,115,72
64,65,S Carolina,-2.4,35,123,37
65,66,UAB,-2.6,36,126,57
66,67,W Michigan,-2.8,16,93,70
67,68,E Carolina,-2.8,6,83,63
68,69,W Kentucky,-2.8,67,128,67
69,70,Missouri,-2.9,26,78,75
70,71,Ball State,-3.0,69,118,71
71,72,Boston Col,-3.2,44,129,73
72,73,LA Lafayette,-3.4,9,92,92
73,74,S Florida,-3.8,4,100,69
74,75,Army,-4.1,63,103,98
75,76,Georgia State,-4.1,27,94,78
76,77,Nevada,-4.3,37,79,68
77,78,Fresno St,-4.5,27,129,86
78,79,Tulsa,-4.5,37,116,76
79,80,Northwestern,-4.9,11,94,90
80,81,Middle Tenn,-5.4,74,127,82
81,82,Fla Atlantic,-5.4,15,101,84
82,83,Liberty,-6.0,39,113,74
83,84,Kent State,-6.1,10,109,80
84,85,Miami (OH),-6.2,9,101,77
85,86,Arizona,-6.2,42,103,83
86,87,Houston,-6.4,33,109,89
87,88,Toledo,-6.6,41,116,93
88,89,S Methodist,-6.8,63,119,87
89,90,Buffalo,-7.1,55,125,79
90,91,Utah State,-7.5,62,121,85
91,92,Air Force,-7.8,79,121,107
92,93,Marshall,-8.0,63,109,91
93,94,Hawaii,-8.1,1,116,102
94,95,TX-San Ant,-8.2,53,100,97
95,96,LA Tech,-8.2,39,111,81
96,97,Memphis,-8.4,51,108,94
97,98,N Illinois,-8.4,43,113,88
98,99,Central Mich,-8.7,26,107,106
99,100,UNLV,-8.7,94,127,95
100,101,Wyoming,-8.9,70,125,104
101,102,Colorado St,-8.9,88,127,96
102,103,Old Dominion,-9.1,10,122,99
103,104,San Jose St,-9.2,63,128,108
104,105,Duke,-9.2,82,120,103
105,106,North Texas,-9.6,97,128,100
106,107,GA Southern,-9.9,84,112,101
107,108,Vanderbilt,-10.1,88,123,115
108,109,Ohio,-10.5,67,122,118
109,110,Arkansas St,-10.7,88,120,105
110,111,Temple,-11.4,44,123,110
111,112,Kansas,-11.5,78,125,111
112,113,E Michigan,-11.6,84,122,113
113,114,San Diego St,-11.6,76,130,114
114,115,LA Monroe,-12.0,29,128,123
115,116,Troy,-12.7,71,124,109
116,117,Rice,-12.7,20,118,112
117,118,Texas State,-13.0,62,125,120
118,119,Bowling Grn,-13.2,65,128,121
119,120,Coastal Car,-13.5,33,124,116
120,121,Charlotte,-13.6,82,124,117
121,122,U Mass,-14.0,43,130,119
122,123,S Mississippi,-14.5,77,125,122
123,124,S Alabama,-15.2,89,129,126
124,125,New Mexico,-15.5,114,130,124
125,126,Florida Intl,-15.7,115,130,125
126,127,Akron,-16.3,35,130,129
127,128,N Mex State,-17.6,94,130,128
128,129,TX El Paso,-18.2,99,130,130
129,130,Connecticut,-19.5,97,130,127
