,Rank,Team,Rating,v 1-10,v 11-25,v 26-40,Hi,Low,Last
0,1,Notre Dame,44.6,0-0,0-0,0-0,1,62,1
1,2,Alabama,39.9,0-0,0-0,0-0,1,20,2
2,3,GA Tech,30.9,0-0,0-0,0-0,3,82,3
3,4,Georgia,29.5,1-0,1-0,0-0,2,23,4
4,5,Clemson,26.7,0-1,0-0,0-0,2,21,6
5,6,Mississippi,25.2,0-0,0-0,0-0,4,64,5
6,7,Arkansas,24.8,0-0,1-0,0-0,5,60,7
7,8,Texas Tech,24.2,0-0,0-0,0-0,4,78,8
8,9,Oklahoma,15.9,0-0,1-0,0-0,4,64,9
9,10,App State,13.7,0-0,0-0,0-0,1,108,10
10,11,Colorado,11.8,0-0,0-1,0-0,7,110,11
11,12,Kansas St,11.5,0-0,0-0,0-0,5,61,13
12,13,Purdue,10.5,0-0,0-0,0-0,12,58,12
13,14,UAB,9.4,0-0,0-0,0-0,1,71,14
14,15,Texas,9.1,0-1,0-0,0-0,11,89,15
15,16,Army,9.1,0-0,0-0,0-0,12,115,16
16,17,Florida,6.7,0-1,0-0,0-0,9,46,17
17,18,Texas A&M,0.0,0-1,1-0,0-0,6,121,119
18,19,Ohio State,--,0-0,0-0,0-0,3,32,18
19,20,Michigan,--,0-0,0-0,0-0,1,63,19
20,21,Pittsburgh,--,0-0,0-0,0-0,5,51,20
21,22,Minnesota,--,0-0,0-0,0-0,9,65,21
22,23,Oklahoma St,--,0-0,0-0,0-0,20,84,22
23,24,Penn State,--,0-0,0-0,0-0,9,34,23
24,25,Iowa,--,0-0,0-0,0-0,13,127,24
25,26,Cincinnati,--,0-0,0-0,0-0,11,51,26
26,27,Miss State,--,0-0,0-0,0-0,25,76,25
27,28,Wash State,--,0-0,0-0,0-0,27,86,33
28,29,USC,--,0-0,0-0,0-0,14,63,27
29,30,Wake Forest,--,0-0,0-0,0-0,13,124,34
30,31,NC State,--,0-0,0-0,0-0,5,88,29
31,32,Kentucky,--,0-0,0-0,0-0,31,65,48
32,33,Iowa State,--,0-0,0-0,0-0,7,83,30
