,Rank,Team,Rating,Hi,Low,Last
0,1,Ohio State,34.2,1,20,1
1,2,Georgia,32.6,1,20,2
2,3,Wisconsin,27.7,3,66,4
3,4,Alabama,27.5,1,21,3
4,5,Oklahoma St,27.3,3,104,5
5,6,Texas A&M,22.2,6,53,7
6,7,NC State,18.3,1,51,18
7,8,Notre Dame,18.3,4,63,26
8,9,Baylor,17.7,9,102,16
9,10,Utah,17.5,5,118,6
10,11,Michigan,16.5,1,37,8
11,12,Mississippi,16.0,3,65,19
12,13,Nebraska,15.5,6,126,13
13,14,Pittsburgh,15.3,4,63,9
14,15,Purdue,14.0,14,51,21
15,16,Wake Forest,13.8,10,60,24
16,17,Iowa State,13.6,7,103,10
17,18,Cincinnati,13.0,4,30,12
18,19,Michigan St,12.8,4,57,23
19,20,Oklahoma,12.1,4,41,15
20,21,Oregon,12.0,9,57,37
21,22,Penn State,12.0,5,35,17
22,23,Miss State,11.7,10,89,27
23,24,Louisville,11.3,11,84,43
24,25,Auburn,11.3,7,39,14
25,26,Minnesota,10.5,6,72,22
26,27,Florida St,10.3,27,102,31
27,28,S Methodist,10.1,28,114,44
28,29,Tennessee,9.9,10,116,11
29,30,TX-San Ant,9.4,30,108,33
30,31,Arkansas,9.3,7,49,49
31,32,Kansas St,9.3,24,68,41
32,33,Kentucky,9.2,21,81,25
33,34,Houston,9.0,16,96,20
34,35,Clemson,8.5,3,44,36
35,36,LA Lafayette,8.4,30,107,51
36,37,Boise State,8.4,10,58,47
37,38,Miami (FL),8.2,8,85,35
38,39,UCLA,7.9,1,63,57
39,40,W Kentucky,7.7,10,89,48
40,41,LSU,7.0,24,64,40
41,42,BYU,6.4,32,69,45
42,43,Wash State,6.3,19,107,30
43,44,N Carolina,6.0,9,66,42
44,45,Virginia,5.5,13,77,29
45,46,E Carolina,5.2,39,120,39
46,47,Arizona St,5.0,20,117,34
47,48,Marshall,4.1,5,89,52
48,49,Army,3.5,8,75,64
49,50,Iowa,3.5,2,58,32
50,51,App State,3.4,8,63,46
51,52,Coastal Car,2.7,11,109,28
52,53,Air Force,2.7,38,102,55
53,54,Syracuse,2.4,27,86,38
54,55,Illinois,2.4,3,94,59
55,56,Oregon St,2.3,27,73,66
56,57,Georgia State,1.9,57,123,80
57,58,W Virginia,1.8,12,61,58
58,59,UAB,1.8,4,80,79
59,60,USC,1.4,20,92,60
60,61,Fresno St,1.3,2,94,72
61,62,California,1.2,28,87,62
62,63,Liberty,1.0,21,89,63
63,64,Utah State,0.2,39,126,88
64,65,Florida,0.2,6,81,56
65,66,Washington,0.1,34,117,65
66,67,Nevada,0.1,37,78,67
67,68,VA Tech,-0.5,6,80,68
68,69,Central Mich,-0.6,40,106,86
69,70,Central FL,-0.6,9,76,53
70,71,Tulsa,-0.8,28,125,92
71,72,Boston Col,-1.1,23,83,70
72,73,Memphis,-1.2,65,91,84
73,74,Texas Tech,-1.5,22,124,71
74,75,Toledo,-1.8,35,104,73
75,76,Texas,-1.9,5,78,50
76,77,San Diego St,-1.9,58,108,69
77,78,Ball State,-3.0,58,122,61
78,79,Miami (OH),-3.0,67,100,87
79,80,Northwestern,-3.3,67,117,94
80,81,Rutgers,-3.4,11,109,109
81,82,Colorado,-3.8,36,110,85
82,83,Navy,-3.9,64,129,78
83,84,GA Tech,-4.1,32,100,82
84,85,S Carolina,-4.2,33,96,75
85,86,Missouri,-4.6,48,101,101
86,87,Middle Tenn,-5.6,69,115,90
87,88,E Michigan,-5.8,73,119,77
88,89,Old Dominion,-6.3,69,124,102
89,90,Colorado St,-6.7,42,129,74
90,91,S Florida,-6.9,20,127,96
91,92,N Illinois,-7.1,65,113,83
92,93,Arizona,-7.4,69,120,97
93,94,TX Christian,-7.5,30,101,54
94,95,Maryland,-7.6,10,105,105
95,96,Ohio,-8.4,78,127,99
96,97,TX El Paso,-8.8,89,130,91
97,98,Tulane,-9.7,10,115,103
98,99,Troy,-9.9,25,112,93
99,100,Fla Atlantic,-10.2,49,119,76
100,101,S Alabama,-10.2,54,117,104
101,102,North Texas,-10.7,48,120,100
102,103,Indiana,-11.2,17,109,81
103,104,San Jose St,-12.2,13,125,95
104,105,Stanford,-12.8,23,119,89
105,106,Wyoming,-12.9,70,116,110
106,107,UNLV,-13.7,101,128,107
107,108,Kansas,-14.0,80,129,122
108,109,LA Monroe,-14.1,102,129,114
109,110,W Michigan,-14.9,47,112,98
110,111,Kent State,-15.5,69,112,106
111,112,Buffalo,-17.3,3,117,111
112,113,GA Southern,-17.6,84,124,113
113,114,LA Tech,-17.7,55,118,112
114,115,Vanderbilt,-17.9,98,130,120
115,116,Akron,-18.0,106,130,121
116,117,Hawaii,-18.6,93,128,108
117,118,Rice,-19.2,82,130,115
118,119,Arkansas St,-20.5,71,125,124
119,120,Duke,-22.1,85,126,118
120,121,Charlotte,-22.4,85,123,116
121,122,Texas State,-22.4,86,125,117
122,123,New Mexico,-22.9,109,129,123
123,124,N Mex State,-24.1,120,130,125
124,125,Bowling Grn,-25.4,98,129,119
125,126,S Mississippi,-28.2,100,129,129
126,127,Connecticut,-31.0,111,130,127
127,128,Temple,-32.3,96,128,126
128,129,Florida Intl,-32.7,15,130,128
129,130,U Mass,-40.5,87,130,130
