,Rank,Team,Rating,v 1-10,v 11-25,v 26-40,Hi,Low,Last
0,1,Alabama,39.0,0-0,0-0,0-0,1,20,1
1,2,Notre Dame,38.3,0-0,0-0,0-0,1,62,2
2,3,GA Tech,31.9,0-0,0-0,0-0,3,82,3
3,4,Clemson,27.7,0-1,0-0,0-0,2,21,4
4,5,Georgia,25.4,1-0,0-0,0-0,2,23,5
5,6,Oklahoma,24.4,0-0,1-0,0-0,4,64,29
6,7,Texas Tech,24.0,0-0,0-0,0-0,4,78,7
7,8,Mississippi,23.0,0-0,0-0,0-0,4,64,6
8,9,Arkansas,22.9,0-0,0-0,0-0,5,60,9
9,10,Kansas St,19.3,0-0,0-0,0-0,5,61,8
10,11,Texas,12.7,0-1,0-0,0-0,11,89,53
11,12,App State,12.1,0-0,0-0,0-0,1,108,10
12,13,Colorado,9.9,0-0,0-0,0-0,7,110,12
13,14,UAB,8.8,0-0,0-0,0-0,1,71,11
14,15,Iowa,--,0-0,0-0,0-0,13,127,13
15,16,Ohio State,--,0-0,0-0,0-0,3,32,14
16,17,Pittsburgh,--,0-0,0-0,0-0,5,51,17
17,18,Michigan,--,0-0,0-0,0-0,1,63,15
18,19,USC,--,0-0,0-0,0-0,14,63,18
19,20,Cincinnati,--,0-0,0-0,0-0,11,51,19
20,21,TX Christian,--,0-0,0-0,0-0,21,84,69
21,22,Michigan St,--,0-0,0-0,0-0,4,65,20
22,23,Minnesota,--,0-0,0-0,0-0,9,65,21
23,24,Penn State,--,0-0,0-0,0-0,9,34,23
24,25,Iowa State,--,0-0,0-0,0-0,7,83,25
25,26,Tennessee,--,0-0,0-0,0-0,23,116,24
26,27,Oregon,--,0-0,0-0,0-0,11,128,26
27,28,Wake Forest,--,0-0,0-0,0-0,13,124,16
28,29,Colorado St,--,0-0,0-0,0-0,22,120,27
29,30,Rutgers,--,0-0,0-0,0-0,27,92,28
30,31,Auburn,--,0-0,0-0,0-0,20,48,31
31,32,Arizona St,--,0-0,0-0,0-0,27,117,32
32,33,San Diego St,--,0-0,0-0,0-0,17,89,33
33,34,Purdue,--,0-0,0-0,0-0,12,58,34
34,35,UCLA,--,0-0,0-0,0-0,1,62,22
35,36,Boise State,--,0-0,0-0,0-0,4,44,41
36,37,Oklahoma St,--,0-0,0-0,0-0,20,84,40
37,38,Toledo,--,0-0,0-0,0-0,26,126,42
38,39,Liberty,--,0-0,0-0,0-0,8,67,36
39,40,Air Force,--,0-0,0-0,0-0,30,125,39
40,41,Marshall,--,0-0,0-0,0-0,9,121,38
41,42,Kentucky,--,0-0,0-0,0-0,31,65,37
42,43,Miss State,--,0-0,0-0,0-0,25,76,43
43,44,Coastal Car,--,0-0,0-0,0-0,12,115,64
44,45,Florida,--,0-0,0-0,0-0,9,46,46
45,46,Utah,--,0-0,0-0,0-0,3,118,71
46,47,Wash State,--,0-0,0-0,0-0,27,86,54
47,48,Florida St,--,0-0,0-0,0-0,41,94,83
48,49,Tulsa,--,0-0,0-0,0-0,28,121,58
49,50,LA Tech,--,0-0,0-0,0-0,22,111,47
50,51,Oregon St,--,0-0,0-0,0-0,29,125,30
51,52,Boston Col,--,0-0,0-0,0-0,37,97,51
52,53,California,--,0-0,0-0,0-0,22,73,56
53,54,Nebraska,--,0-0,0-0,0-0,34,127,52
54,55,W Michigan,--,0-0,0-0,0-0,48,113,48
55,56,S Methodist,--,0-0,0-0,0-0,40,82,44
56,57,Army,--,0-0,0-0,0-0,12,115,65
57,58,Utah State,--,0-0,0-0,0-0,17,121,59
58,59,Virginia,--,0-0,0-0,0-0,45,79,60
59,60,Nevada,--,0-0,0-0,0-0,16,77,62
60,61,TX-San Ant,--,0-0,0-0,0-0,19,125,55
61,62,Washington,--,0-0,0-0,0-0,25,94,57
62,63,Fresno St,--,0-0,0-0,0-0,2,116,61
63,64,Baylor,--,0-0,0-0,0-0,12,103,66
64,65,VA Tech,--,0-0,0-0,0-0,10,65,50
65,66,Syracuse,--,0-0,0-0,0-0,15,106,70
66,67,Missouri,--,0-0,0-0,0-0,31,78,67
67,68,Navy,--,0-0,0-0,0-0,22,97,68
68,69,W Virginia,--,0-0,0-0,0-0,23,69,35
69,70,S Carolina,--,0-0,0-0,0-0,41,88,45
70,71,LSU,--,0-0,0-0,0-0,10,71,49
71,72,W Kentucky,--,0-0,0-0,0-0,7,107,72
72,73,LA Lafayette,--,0-0,0-0,0-0,16,101,73
