,Rank,Team,Rating,Hi,Low,Last
0,1,Georgia,38.9,1,20,2
1,2,Ohio State,36.9,1,20,1
2,3,Alabama,31.5,1,21,3
3,4,Pittsburgh,23.3,4,63,6
4,5,Cincinnati,21.9,4,30,5
5,6,Oklahoma St,19.1,3,104,15
6,7,Notre Dame,17.8,4,63,9
7,8,Michigan,17.4,1,37,4
8,9,Wisconsin,16.9,3,66,35
9,10,Wake Forest,16.6,10,60,13
10,11,Baylor,16.3,9,102,16
11,12,Oklahoma,15.4,4,41,20
12,13,Michigan St,15.2,4,57,11
13,14,Texas A&M,15.0,6,53,17
14,15,Iowa State,14.7,7,103,7
15,16,Nebraska,14.6,6,126,12
16,17,Utah,14.5,5,118,27
17,18,Auburn,14.4,7,39,22
18,19,Miami (FL),14.0,8,85,36
19,20,NC State,13.6,1,51,21
20,21,Kentucky,13.2,21,81,25
21,22,Mississippi,12.7,3,65,10
22,23,Coastal Car,12.6,11,109,18
23,24,Texas,12.5,5,78,8
24,25,Florida,12.4,6,81,14
25,26,Tennessee,12.2,10,116,19
26,27,Houston,11.3,16,96,28
27,28,Wash State,10.3,19,107,51
28,29,Miss State,10.2,10,89,45
29,30,S Methodist,10.1,28,114,34
30,31,Virginia,10.1,13,77,26
31,32,Florida St,9.6,27,102,39
32,33,Arkansas,9.5,7,49,31
33,34,Minnesota,9.5,6,72,30
34,35,Penn State,9.2,5,35,32
35,36,Purdue,9.0,14,51,48
36,37,Syracuse,8.5,27,86,41
37,38,Arizona St,8.4,20,117,24
38,39,Iowa,8.3,2,58,23
39,40,Louisville,7.7,11,84,29
40,41,TX-San Ant,7.4,30,108,37
41,42,Clemson,7.4,3,44,44
42,43,W Virginia,7.3,12,61,52
43,44,Oregon,7.1,9,57,46
44,45,Air Force,6.8,38,102,38
45,46,Kansas St,6.7,24,68,43
46,47,LSU,6.4,24,64,40
47,48,Oregon St,6.2,27,73,33
48,49,BYU,5.8,32,69,69
49,50,Nevada,5.7,37,78,63
50,51,Liberty,5.4,21,89,58
51,52,LA Lafayette,5.3,30,107,54
52,53,Boise State,4.2,10,58,57
53,54,California,4.2,28,87,76
54,55,App State,3.3,8,63,61
55,56,Central FL,2.5,9,76,75
56,57,W Kentucky,2.4,10,89,70
57,58,Ball State,2.3,58,122,60
58,59,TX Christian,2.3,30,101,56
59,60,Marshall,2.3,5,89,77
60,61,Washington,2.1,34,117,47
61,62,Colorado St,1.9,42,129,42
62,63,UCLA,0.9,1,63,50
63,64,Toledo,0.9,35,104,62
64,65,E Carolina,0.3,39,120,64
65,66,N Carolina,0.0,9,66,55
66,67,GA Tech,-0.3,32,100,53
67,68,Illinois,-0.6,3,94,68
68,69,Stanford,-0.9,23,119,65
69,70,Fresno St,-1.0,2,94,67
70,71,Navy,-1.1,64,129,71
71,72,San Diego St,-1.1,58,108,59
72,73,Texas Tech,-1.5,22,124,78
73,74,Army,-1.6,8,75,74
74,75,E Michigan,-1.6,73,119,73
75,76,VA Tech,-1.6,6,80,80
76,77,USC,-2.4,20,92,49
77,78,Rutgers,-3.5,11,109,84
78,79,UAB,-3.6,4,80,79
79,80,Georgia State,-3.9,57,123,82
80,81,W Michigan,-4.0,47,112,81
81,82,Indiana,-4.1,17,109,83
82,83,Boston Col,-4.4,23,83,66
83,84,Fla Atlantic,-4.4,49,119,72
84,85,N Illinois,-4.5,65,113,85
85,86,Middle Tenn,-5.2,69,115,89
86,87,Miami (OH),-5.3,67,100,86
87,88,Memphis,-6.6,65,91,88
88,89,TX El Paso,-6.7,89,130,103
89,90,Northwestern,-7.2,67,117,87
90,91,Maryland,-8.0,10,105,90
91,92,S Florida,-8.6,20,127,91
92,93,Colorado,-8.7,36,110,99
93,94,S Alabama,-8.7,54,117,102
94,95,Utah State,-9.4,39,126,93
95,96,S Carolina,-10.1,33,96,96
96,97,Hawaii,-11.4,93,128,95
97,98,Central Mich,-11.9,40,106,98
98,99,Missouri,-12.0,48,101,97
99,100,Arizona,-12.2,69,120,115
100,101,UNLV,-12.8,101,128,108
101,102,GA Southern,-12.9,84,124,105
102,103,Tulsa,-13.0,28,125,92
103,104,Tulane,-13.7,10,115,114
104,105,Troy,-13.8,25,112,109
105,106,Old Dominion,-13.9,69,124,111
106,107,Buffalo,-14.1,3,117,94
107,108,Kent State,-14.5,69,112,106
108,109,San Jose St,-14.5,13,125,112
109,110,North Texas,-15.0,48,120,118
110,111,LA Tech,-15.2,55,118,101
111,112,Ohio,-15.9,78,127,107
112,113,Charlotte,-18.2,85,123,110
113,114,Rice,-19.0,82,130,120
114,115,Duke,-19.3,85,126,104
115,116,Wyoming,-19.6,70,116,100
116,117,Arkansas St,-20.7,71,125,121
117,118,New Mexico,-21.0,109,129,119
118,119,Bowling Grn,-21.4,98,129,117
119,120,Temple,-21.5,96,128,116
120,121,Vanderbilt,-21.7,98,130,126
121,122,LA Monroe,-22.0,102,129,113
122,123,Akron,-24.1,106,130,123
123,124,N Mex State,-24.2,120,130,122
124,125,Texas State,-24.9,86,125,125
125,126,Florida Intl,-25.9,15,130,127
126,127,Kansas,-26.4,80,129,124
127,128,S Mississippi,-27.0,100,129,128
128,129,Connecticut,-29.4,111,130,129
129,130,U Mass,-37.4,87,130,130
