,Rank,Team,Rating,Hi,Low,Last
0,1,Georgia,35.4,1,20,1
1,2,Alabama,28.2,1,21,5
2,3,Ohio State,25.8,1,20,2
3,4,Michigan,23.9,1,37,3
4,5,Cincinnati,23.8,4,30,4
5,6,Pittsburgh,21.1,4,63,11
6,7,Texas,18.7,5,78,9
7,8,Michigan St,17.8,4,57,17
8,9,Nebraska,17.5,6,126,6
9,10,Iowa State,17.1,7,103,26
10,11,Florida,17.0,6,81,12
11,12,Oklahoma,17.0,4,41,7
12,13,Penn State,16.4,5,35,14
13,14,Tennessee,15.9,10,116,15
14,15,Mississippi,15.6,3,65,13
15,16,Notre Dame,15.0,4,63,18
16,17,Baylor,14.5,9,102,16
17,18,Houston,13.0,16,96,19
18,19,Oklahoma St,12.4,3,104,49
19,20,Coastal Car,11.9,11,109,22
20,21,Auburn,11.9,7,39,24
21,22,Iowa,11.8,2,58,8
22,23,Texas A&M,11.3,6,53,32
23,24,Arizona St,11.2,20,117,21
24,25,Purdue,11.1,14,51,45
25,26,Kentucky,11.1,21,81,31
26,27,Wake Forest,10.8,10,60,28
27,28,Arkansas,10.7,7,49,10
28,29,Oregon,9.5,9,57,25
29,30,Utah,9.4,5,118,50
30,31,NC State,9.0,1,51,27
31,32,LSU,9.0,24,64,52
32,33,Oregon St,7.4,27,73,35
33,34,Clemson,7.3,3,44,20
34,35,Washington,7.0,34,117,59
35,36,Minnesota,6.7,6,72,54
36,37,Virginia,6.6,13,77,53
37,38,Miami (FL),6.5,8,85,51
38,39,UAB,6.1,4,80,60
39,40,Miss State,6.0,10,89,40
40,41,W Virginia,6.0,12,61,39
41,42,Liberty,5.9,21,89,23
42,43,Louisville,5.7,11,84,43
43,44,Wisconsin,5.6,3,66,38
44,45,Syracuse,5.0,27,86,63
45,46,Air Force,4.9,38,102,46
46,47,TX Christian,4.7,30,101,33
47,48,S Methodist,4.4,28,114,41
48,49,W Michigan,4.0,47,112,70
49,50,GA Tech,3.7,32,100,47
50,51,UCLA,3.6,1,63,48
51,52,Fresno St,3.2,2,94,58
52,53,Colorado St,3.2,42,129,84
53,54,N Carolina,3.2,9,66,34
54,55,LA Lafayette,3.2,30,107,76
55,56,Boise State,3.1,10,58,29
56,57,TX-San Ant,2.9,30,108,64
57,58,Kansas St,2.8,24,68,37
58,59,USC,2.7,20,92,61
59,60,Indiana,2.6,17,109,69
60,61,San Diego St,2.2,58,108,66
61,62,App State,2.1,8,63,30
62,63,Nevada,1.7,37,78,56
63,64,BYU,1.6,32,69,44
64,65,Stanford,0.6,23,119,42
65,66,W Kentucky,0.2,10,89,74
66,67,Wash State,0.0,19,107,75
67,68,Boston Col,-0.5,23,83,36
68,69,VA Tech,-0.8,6,80,55
69,70,E Carolina,-0.9,39,120,67
70,71,Fla Atlantic,-1.4,49,119,72
71,72,Army,-1.5,8,75,62
72,73,Texas Tech,-1.6,22,124,83
73,74,Ball State,-2.0,58,122,82
74,75,Central FL,-2.2,9,76,57
75,76,Maryland,-2.4,10,105,71
76,77,Marshall,-3.4,5,89,78
77,78,California,-3.9,28,87,85
78,79,Florida St,-4.1,27,102,79
79,80,Memphis,-4.6,65,91,91
80,81,Rutgers,-4.7,11,109,65
81,82,Wyoming,-4.7,70,116,86
82,83,S Carolina,-5.1,33,96,68
83,84,Toledo,-5.7,35,104,73
84,85,Colorado,-5.9,36,110,101
85,86,E Michigan,-6.5,73,119,87
86,87,Illinois,-7.2,3,94,93
87,88,Miami (OH),-7.6,67,100,81
88,89,Northwestern,-7.8,67,117,104
89,90,Navy,-7.9,64,129,107
90,91,Georgia State,-8.1,57,123,94
91,92,S Alabama,-8.8,54,117,103
92,93,Hawaii,-8.9,93,128,98
93,94,Tulsa,-9.1,28,125,89
94,95,S Florida,-9.9,20,127,110
95,96,Utah State,-10.0,39,126,88
96,97,N Illinois,-10.0,65,113,96
97,98,Charlotte,-10.1,85,123,100
98,99,Missouri,-10.5,48,101,90
99,100,Middle Tenn,-10.6,69,115,99
100,101,Buffalo,-10.8,3,117,95
101,102,Tulane,-11.0,10,115,102
102,103,Central Mich,-12.4,40,106,105
103,104,LA Tech,-12.4,55,118,80
104,105,Temple,-12.5,96,128,108
105,106,TX El Paso,-12.9,89,130,114
106,107,Kent State,-13.4,69,112,77
107,108,GA Southern,-13.4,84,124,109
108,109,Bowling Grn,-14.1,98,129,111
109,110,Duke,-14.4,85,126,92
110,111,UNLV,-14.5,101,128,115
111,112,Troy,-15.1,25,112,106
112,113,San Jose St,-16.0,13,125,116
113,114,Old Dominion,-16.4,69,124,97
114,115,Ohio,-16.5,78,127,122
115,116,Akron,-18.5,106,130,123
116,117,Vanderbilt,-20.8,98,130,118
117,118,LA Monroe,-21.1,102,129,129
118,119,North Texas,-21.7,48,120,113
119,120,Arizona,-22.7,69,120,112
120,121,Texas State,-22.9,86,125,119
121,122,Connecticut,-24.6,111,130,130
122,123,N Mex State,-25.0,120,130,124
123,124,Arkansas St,-25.3,71,125,125
124,125,New Mexico,-25.8,109,129,121
125,126,S Mississippi,-25.9,100,129,117
126,127,Florida Intl,-26.2,15,130,126
127,128,U Mass,-27.7,87,130,127
128,129,Kansas,-27.9,80,129,128
129,130,Rice,-30.8,82,130,120
