,Rank,Team,Rating,Hi,Low,Last
0,1,Clemson,13.9,1,16,2
1,2,Georgia,12.4,1,18,1
2,3,Alabama,12.2,1,15,3
3,4,Florida,8.6,3,61,8
4,5,W Virginia,8.6,4,39,17
5,6,Wisconsin,7.5,4,21,9
6,7,Miami (FL),6.8,1,26,6
7,8,Oklahoma,5.5,4,35,20
8,9,Arkansas,5.5,3,77,45
9,10,Ohio State,5.1,1,20,5
10,11,Texas,5.0,4,30,18
11,12,Nebraska,5.0,2,72,21
12,13,Illinois,4.9,3,87,19
13,14,Notre Dame,4.9,8,46,38
14,15,Oregon,4.4,4,44,7
15,16,Tulane,4.2,5,66,13
16,17,Indiana,4.0,6,32,12
17,18,Penn State,3.9,4,25,4
18,19,NC State,3.8,19,114,63
19,20,LSU,3.4,5,31,29
20,21,Miss State,3.4,13,75,40
21,22,Iowa,3.2,7,29,11
22,23,Michigan St,3.2,12,82,47
23,24,Michigan,2.9,4,67,32
24,25,N Carolina,2.8,3,56,14
25,26,UCLA,2.8,23,126,23
26,27,Louisville,2.5,17,51,24
27,28,Iowa State,2.3,7,87,41
28,29,GA Tech,2.1,29,113,66
29,30,Central FL,2.1,7,74,36
30,31,Stanford,2.0,16,73,26
31,32,Purdue,1.9,5,79,42
32,33,Mississippi,1.2,3,53,31
33,34,Texas A&M,0.9,6,69,65
34,35,Virginia,0.9,24,114,28
35,36,UAB,0.8,36,126,54
36,37,Boise State,0.7,3,62,30
37,38,Rutgers,0.6,25,94,93
38,39,VA Tech,0.6,5,57,10
39,40,Kent State,0.5,10,109,46
40,41,W Michigan,0.4,16,93,43
41,42,Cincinnati,0.2,11,91,34
42,43,Florida St,0.2,19,71,56
43,44,Washington,0.1,25,88,33
44,45,Maryland,-0.1,31,49,39
45,46,S Carolina,-0.2,35,123,35
46,47,Tennessee,-0.2,14,124,88
47,48,Auburn,-0.3,2,101,15
48,49,Oklahoma St,-0.3,14,92,53
49,50,App State,-0.5,17,110,50
50,51,Oregon St,-0.6,27,75,69
51,52,California,-0.9,13,66,61
52,53,Kansas St,-1.0,24,66,59
53,54,Georgia State,-1.4,27,94,67
54,55,USC,-1.6,19,58,49
55,56,Minnesota,-1.7,1,57,16
56,57,Colorado,-1.8,38,118,48
57,58,Missouri,-2.0,26,78,68
58,59,Miami (OH),-2.9,9,101,62
59,60,Fresno St,-2.9,27,129,27
60,61,Tulsa,-3.1,37,116,37
61,62,Navy,-3.2,40,95,87
62,63,Pittsburgh,-3.3,27,109,60
63,64,Nevada,-3.3,37,79,58
64,65,S Florida,-3.4,4,100,82
65,66,BYU,-3.5,46,73,52
66,67,E Carolina,-3.5,6,83,25
67,68,Texas Tech,-3.5,35,86,84
68,69,TX Christian,-3.6,22,93,72
69,70,Utah,-3.6,19,115,51
70,71,Wake Forest,-3.7,29,116,104
71,72,U Mass,-4.4,43,130,85
72,73,W Kentucky,-4.8,67,128,91
73,74,Buffalo,-4.8,55,125,55
74,75,Memphis,-5.2,51,108,78
75,76,TX-San Ant,-5.3,53,100,89
76,77,S Methodist,-5.3,63,119,112
77,78,Marshall,-5.6,63,109,101
78,79,Kentucky,-5.8,30,101,97
79,80,Toledo,-5.9,41,116,80
80,81,LA Lafayette,-6.1,9,92,64
81,82,Liberty,-6.2,39,113,71
82,83,Syracuse,-6.2,50,106,95
83,84,San Jose St,-6.3,63,128,75
84,85,Arizona St,-6.3,27,128,77
85,86,Baylor,-6.3,24,119,117
86,87,Fla Atlantic,-6.9,15,101,73
87,88,Central Mich,-7.1,26,107,57
88,89,Arizona,-7.3,42,103,99
89,90,N Illinois,-7.7,43,113,44
90,91,Wash State,-7.8,52,115,94
91,92,Northwestern,-7.9,11,94,70
92,93,Ball State,-8.2,69,118,81
93,94,Utah State,-8.4,62,121,105
94,95,Colorado St,-8.5,88,127,114
95,96,Arkansas St,-8.5,88,120,96
96,97,Middle Tenn,-8.5,74,127,74
97,98,LA Tech,-9.2,39,111,79
98,99,Old Dominion,-9.3,10,122,102
99,100,Army,-9.5,63,103,100
100,101,GA Southern,-9.7,84,112,103
101,102,Vanderbilt,-9.9,88,123,107
102,103,Boston Col,-10.2,44,129,123
103,104,Rice,-10.9,20,118,22
104,105,Hawaii,-11.2,1,116,86
105,106,North Texas,-11.2,97,128,110
106,107,Ohio,-11.2,67,122,106
107,108,Coastal Car,-11.3,33,124,90
108,109,Houston,-11.5,33,109,83
109,110,UNLV,-11.8,94,127,120
110,111,Troy,-11.9,71,124,76
111,112,San Diego St,-12.2,76,130,92
112,113,S Mississippi,-12.2,77,125,116
113,114,Kansas,-12.6,78,125,115
114,115,Air Force,-13.1,79,121,121
115,116,Bowling Grn,-13.2,65,128,124
116,117,Texas State,-13.3,62,125,111
117,118,E Michigan,-13.4,84,122,108
118,119,Connecticut,-14.3,97,130,119
119,120,Duke,-14.4,82,120,109
120,121,Charlotte,-14.5,82,124,118
121,122,LA Monroe,-15.0,29,128,128
122,123,Temple,-15.7,44,123,98
123,124,Florida Intl,-16.3,115,130,122
124,125,Wyoming,-16.8,70,125,113
125,126,S Alabama,-19.7,89,129,126
126,127,Akron,-19.9,35,130,130
127,128,New Mexico,-21.1,114,130,125
128,129,TX El Paso,-21.7,99,130,127
129,130,N Mex State,-22.1,94,130,129
