,Rank,Team,Rating,v 1-10,v 11-25,v 26-40,Hi,Low,Last
0,1,Notre Dame,41.5,0-0,0-0,0-0,1,62,1
1,2,Alabama,40.7,0-0,0-0,0-0,1,20,2
2,3,Georgia,32.0,1-0,1-0,0-0,2,23,8
3,4,GA Tech,31.8,0-0,0-0,0-0,3,82,3
4,5,Clemson,26.3,0-1,0-0,0-0,2,21,4
5,6,Arkansas,24.6,0-0,0-0,0-0,5,60,6
6,7,Mississippi,24.1,0-0,0-0,0-0,4,64,5
7,8,Texas Tech,23.8,0-0,0-0,0-0,4,78,7
8,9,Oklahoma,21.2,0-0,1-0,0-0,4,64,9
9,10,Kansas St,18.0,0-0,0-0,0-0,5,61,10
10,11,App State,12.4,0-0,0-0,0-0,1,108,12
11,12,Colorado,11.6,0-0,0-0,0-0,7,110,11
12,13,Texas,10.8,0-1,0-0,0-0,11,89,13
13,14,UAB,9.1,0-0,0-0,0-0,1,71,14
14,15,Florida,6.3,0-1,0-0,0-0,9,46,43
15,16,Ohio State,--,0-0,0-0,0-0,3,32,15
16,17,Pittsburgh,--,0-0,0-0,0-0,5,51,18
17,18,Minnesota,--,0-0,0-0,0-0,9,65,19
18,19,Michigan,--,0-0,0-0,0-0,1,63,17
19,20,Iowa,--,0-0,0-0,0-0,13,127,16
20,21,Michigan St,--,0-0,0-0,0-0,4,65,21
21,22,USC,--,0-0,0-0,0-0,14,63,24
22,23,Penn State,--,0-0,0-0,0-0,9,34,26
23,24,Purdue,--,0-0,0-0,0-0,12,58,22
24,25,Wake Forest,--,0-0,0-0,0-0,13,124,23
25,26,Auburn,--,0-0,0-0,0-0,20,48,25
26,27,Iowa State,--,0-0,0-0,0-0,7,83,20
27,28,Oklahoma St,--,0-0,0-0,0-0,20,84,28
28,29,Cincinnati,--,0-0,0-0,0-0,11,51,29
29,30,Oregon,--,0-0,0-0,0-0,11,128,27
30,31,Wash State,--,0-0,0-0,0-0,27,86,40
31,32,Air Force,--,0-0,0-0,0-0,30,125,31
32,33,Miss State,--,0-0,0-0,0-0,25,76,30
33,34,NC State,--,0-0,0-0,0-0,5,88,33
34,35,Marshall,--,0-0,0-0,0-0,9,121,38
35,36,Tennessee,--,0-0,0-0,0-0,23,116,32
36,37,Boise State,--,0-0,0-0,0-0,4,44,37
37,38,TX-San Ant,--,0-0,0-0,0-0,19,125,39
38,39,Arizona St,--,0-0,0-0,0-0,27,117,44
39,40,VA Tech,--,0-0,0-0,0-0,10,65,59
40,41,Florida St,--,0-0,0-0,0-0,41,94,42
41,42,Colorado St,--,0-0,0-0,0-0,22,120,45
42,43,UCLA,--,0-0,0-0,0-0,1,62,35
43,44,San Diego St,--,0-0,0-0,0-0,17,89,48
44,45,Army,--,0-0,0-0,0-0,12,115,49
45,46,Syracuse,--,0-0,0-0,0-0,15,106,47
46,47,Kentucky,--,0-0,0-0,0-0,31,65,34
47,48,Coastal Car,--,0-0,0-0,0-0,12,115,41
48,49,W Virginia,--,0-0,0-0,0-0,23,69,50
49,50,Nebraska,--,0-0,0-0,0-0,34,127,54
50,51,Fresno St,--,0-0,0-0,0-0,2,116,58
51,52,Toledo,--,0-0,0-0,0-0,26,126,51
52,53,Rutgers,--,0-0,0-0,0-0,27,92,53
53,54,Utah,--,0-0,0-0,0-0,3,118,52
54,55,Nevada,--,0-0,0-0,0-0,16,77,61
55,56,California,--,0-0,0-0,0-0,22,73,56
56,57,Baylor,--,0-0,0-0,0-0,12,103,57
57,58,TX Christian,--,0-0,0-0,0-0,21,84,36
58,59,Tulsa,--,0-0,0-0,0-0,28,121,60
59,60,Oregon St,--,0-0,0-0,0-0,29,125,46
60,61,S Methodist,--,0-0,0-0,0-0,40,82,62
61,62,Illinois,--,0-0,0-0,0-0,3,106,63
62,63,Washington,--,0-0,0-0,0-0,25,94,70
63,64,Virginia,--,0-0,0-0,0-0,45,79,55
64,65,Liberty,--,0-0,0-0,0-0,8,67,67
65,66,W Kentucky,--,0-0,0-0,0-0,7,107,66
66,67,LSU,--,0-0,0-0,0-0,10,71,64
67,68,Central FL,--,0-0,0-0,0-0,11,84,84
68,69,Utah State,--,0-0,0-0,0-0,17,121,71
69,70,W Michigan,--,0-0,0-0,0-0,48,113,68
70,71,Boston Col,--,0-0,0-0,0-0,37,97,65
71,72,Miami (OH),--,0-0,0-0,0-0,71,112,73
72,73,S Carolina,--,0-0,0-0,0-0,41,88,74
73,74,Georgia State,--,0-0,0-0,0-0,59,115,72
74,75,Missouri,--,0-0,0-0,0-0,31,78,69
75,76,Indiana,--,0-0,0-0,0-0,21,107,77
76,77,Bowling Grn,--,0-0,0-0,0-0,76,128,88
77,78,Navy,--,0-0,0-0,0-0,22,97,86
78,79,Fla Atlantic,--,0-0,0-0,0-0,72,105,75
79,80,Ball State,--,0-0,0-0,0-0,69,119,80
80,81,E Michigan,--,0-0,0-0,0-0,75,130,85
81,82,Maryland,--,0-0,0-0,0-0,37,87,81
82,83,N Illinois,--,0-0,0-0,0-0,21,113,78
83,84,LA Tech,--,0-0,0-0,0-0,22,111,76
84,85,Buffalo,--,0-0,0-0,0-0,6,103,82
85,86,LA Lafayette,--,0-0,0-0,0-0,16,101,83
86,87,Vanderbilt,--,0-0,0-0,0-0,74,109,87
87,88,TX El Paso,--,0-0,0-0,0-0,86,128,92
88,89,Middle Tenn,--,0-0,0-0,0-0,21,113,89
89,90,UNLV,--,0-0,0-0,0-0,79,127,79
90,91,Troy,--,0-0,0-0,0-0,38,102,100
91,92,Wyoming,--,0-0,0-0,0-0,28,98,91
92,93,Tulane,--,0-0,0-0,0-0,13,95,94
93,94,Memphis,--,0-0,0-0,0-0,51,99,93
94,95,Central Mich,--,0-0,0-0,0-0,68,104,96
95,96,New Mexico,--,0-0,0-0,0-0,75,120,97
96,97,North Texas,--,0-0,0-0,0-0,69,116,99
97,98,Old Dominion,--,0-0,0-0,0-0,79,126,102
98,99,San Jose St,--,0-0,0-0,0-0,14,125,98
99,100,S Florida,--,0-0,0-0,0-0,85,128,103
100,101,Kent State,--,0-0,0-0,0-0,84,129,101
101,102,Hawaii,--,0-0,0-0,0-0,78,129,95
102,103,Charlotte,--,0-0,0-0,0-0,67,117,90
103,104,Akron,--,0-0,0-0,0-0,91,126,106
104,105,Ohio,--,0-0,0-0,0-0,77,118,105
105,106,Northwestern,--,0-0,0-0,0-0,52,126,104
106,107,Rice,--,0-0,0-0,0-0,92,117,107
107,108,N Mex State,--,0-0,0-0,0-0,96,130,108
108,109,S Alabama,--,0-0,0-0,0-0,58,115,109
109,110,GA Southern,--,0-0,0-0,0-0,88,119,112
110,111,Duke,--,0-0,0-0,0-0,91,124,110
111,112,S Mississippi,--,0-0,0-0,0-0,87,121,111
112,113,Temple,--,0-0,0-0,0-0,101,124,115
113,114,Florida Intl,--,0-0,0-0,0-0,15,119,114
114,115,Texas State,--,0-0,0-0,0-0,76,116,113
115,116,Arkansas St,--,0-0,0-0,0-0,68,123,117
116,117,Kansas,--,0-0,0-0,0-0,89,122,116
117,118,LA Monroe,--,0-0,0-0,0-0,92,127,118
118,119,Connecticut,--,0-0,0-0,0-0,100,130,119
119,120,U Mass,--,0-0,0-0,0-0,103,129,120
120,121,Texas A&M,-0.8,0-1,1-0,0-0,6,121,121
121,122,Miami (FL),-1.0,0-1,0-0,0-0,7,125,122
122,123,Arizona,-3.0,0-0,0-0,0-0,92,127,124
