,Rank,Team,Rating,Hi,Low,Last
0,1,Alabama,11.2,1,15,1
1,2,Auburn,10.5,2,101,4
2,3,Georgia,10.3,1,18,2
3,4,Mississippi,9.1,3,53,5
4,5,Wisconsin,9.0,4,21,9
5,6,Penn State,8.8,4,25,6
6,7,LSU,8.8,5,31,15
7,8,Clemson,8.7,1,16,8
8,9,Texas,8.5,4,30,11
9,10,Ohio State,8.2,1,20,13
10,11,Nebraska,8.2,2,72,18
11,12,Florida,8.1,3,61,3
12,13,Miami (FL),7.6,1,26,7
13,14,Purdue,7.5,5,79,16
14,15,Arkansas,7.5,3,77,10
15,16,Indiana,7.5,6,32,17
16,17,Notre Dame,6.8,8,46,12
17,18,Michigan,6.7,4,67,14
18,19,Miss State,6.4,13,75,22
19,20,Oklahoma St,6.3,14,92,26
20,21,Tennessee,6.2,14,124,20
21,22,Iowa,6.2,7,29,19
22,23,Texas A&M,6.1,6,69,27
23,24,Iowa State,6.0,7,87,25
24,25,Louisville,5.9,17,51,24
25,26,W Virginia,5.5,4,39,21
26,27,Michigan St,5.4,12,82,23
27,28,TX Christian,4.2,22,93,28
28,29,Illinois,4.2,3,87,41
29,30,Baylor,4.0,24,119,34
30,31,Kentucky,4.0,30,101,35
31,32,Oklahoma,3.7,4,35,30
32,33,NC State,3.7,19,114,37
33,34,Florida St,3.7,19,71,36
34,35,N Carolina,3.6,3,56,42
35,36,Utah,3.5,19,115,38
36,37,Oregon,3.4,4,44,32
37,38,UCLA,3.2,23,126,39
38,39,Virginia,3.1,24,114,44
39,40,Stanford,3.1,16,73,40
40,41,Pittsburgh,2.8,27,109,31
41,42,Navy,2.8,40,95,49
42,43,Minnesota,2.7,1,57,33
43,44,Tulane,2.6,5,66,47
44,45,Kansas St,2.5,24,66,29
45,46,Maryland,2.4,31,49,46
46,47,Wake Forest,2.2,29,116,54
47,48,VA Tech,2.0,5,57,45
48,49,Boise State,1.9,3,62,52
49,50,USC,1.7,19,58,55
50,51,Cincinnati,1.6,11,91,43
51,52,S Carolina,1.6,35,123,65
52,53,GA Tech,1.4,29,113,57
53,54,Rutgers,1.3,25,94,48
54,55,BYU,1.3,46,73,50
55,56,Arizona St,1.0,27,128,60
56,57,Oregon St,0.9,27,75,51
57,58,Washington,0.4,25,88,59
58,59,Syracuse,0.4,50,106,53
59,60,Wash State,0.0,52,115,58
60,61,Colorado,0.0,38,118,63
61,62,Central FL,-0.6,7,74,61
62,63,Texas Tech,-0.7,35,86,62
63,64,App State,-1.0,17,110,64
64,65,Army,-1.0,63,103,66
65,66,California,-1.0,13,66,56
66,67,Northwestern,-1.7,11,94,69
67,68,Boston Col,-1.8,44,129,68
68,69,E Carolina,-2.3,6,83,67
69,70,Missouri,-2.3,26,78,78
70,71,Tulsa,-2.5,37,116,77
71,72,Arizona,-2.6,42,103,71
72,73,Fresno St,-3.4,27,129,73
73,74,S Methodist,-3.5,63,119,74
74,75,S Florida,-4.1,4,100,79
75,76,Liberty,-4.3,39,113,92
76,77,Houston,-4.4,33,109,76
77,78,Memphis,-4.6,51,108,83
78,79,Nevada,-4.7,37,79,70
79,80,W Michigan,-4.9,16,93,72
80,81,W Kentucky,-5.3,67,128,81
81,82,Air Force,-5.7,79,121,86
82,83,Marshall,-5.8,63,109,89
83,84,Georgia State,-5.9,27,94,94
84,85,UAB,-6.2,36,126,82
85,86,LA Tech,-6.2,39,111,95
86,87,Miami (OH),-6.3,9,101,80
87,88,Ball State,-6.4,69,118,75
88,89,TX-San Ant,-6.5,53,100,87
89,90,LA Lafayette,-7.0,9,92,84
90,91,Toledo,-7.0,41,116,85
91,92,San Diego St,-7.3,76,130,90
92,93,Colorado St,-7.4,88,127,88
93,94,Fla Atlantic,-7.5,15,101,96
94,95,Duke,-7.5,82,120,104
95,96,N Illinois,-7.9,43,113,99
96,97,Kansas,-7.9,78,125,101
97,98,Kent State,-8.0,10,109,93
98,99,Central Mich,-8.2,26,107,106
99,100,Middle Tenn,-8.3,74,127,100
100,101,Coastal Car,-8.4,33,124,98
101,102,Utah State,-8.5,62,121,91
102,103,Arkansas St,-8.8,88,120,105
103,104,UNLV,-8.9,94,127,97
104,105,San Jose St,-9.4,63,128,113
105,106,Old Dominion,-9.6,10,122,102
106,107,North Texas,-9.6,97,128,103
107,108,GA Southern,-9.6,84,112,110
108,109,E Michigan,-9.9,84,122,117
109,110,Hawaii,-10.0,1,116,111
110,111,Vanderbilt,-10.2,88,123,107
111,112,Buffalo,-10.4,55,125,112
112,113,Troy,-10.6,71,124,109
113,114,Ohio,-10.8,67,122,116
114,115,Wyoming,-11.3,70,125,115
115,116,LA Monroe,-11.3,29,128,108
116,117,Rice,-11.6,20,118,114
117,118,Temple,-12.3,44,123,120
118,119,Bowling Grn,-12.3,65,128,121
119,120,Texas State,-13.2,62,125,118
120,121,Charlotte,-13.3,82,124,119
121,122,TX El Paso,-14.5,99,130,126
122,123,New Mexico,-14.8,114,130,122
123,124,S Mississippi,-15.0,77,125,123
124,125,Florida Intl,-15.3,115,130,125
125,126,S Alabama,-16.0,89,129,128
126,127,N Mex State,-16.3,94,130,127
127,128,Akron,-16.4,35,130,129
128,129,U Mass,-17.2,43,130,124
129,130,Connecticut,-20.7,97,130,130
