,Rank,Team,2021,Last 3,Last 1,Home,Away,2020
0,1,Ohio State,49.3,57.3,54.0,48.5,50.3,41.0
1,2,Alabama,45.6,46.3,52.0,52.3,40.5,48.5
2,3,Coastal Car,44.7,46.0,27.0,53.7,35.7,36.6
3,4,Wake Forest,43.5,49.0,70.0,38.0,49.0,32.3
4,5,Texas,41.6,34.7,24.0,47.5,33.7,42.7
5,6,Cincinnati,41.0,45.0,27.0,52.3,29.7,35.6
6,7,S Methodist,40.5,42.3,55.0,43.7,37.3,37.3
7,8,Pittsburgh,40.0,35.7,27.0,39.7,40.3,26.4
8,9,Mississippi,39.8,38.0,31.0,48.0,31.7,39.2
9,10,Georgia,38.4,33.7,30.0,40.8,35.3,32.3
10,11,Michigan,37.7,34.3,33.0,38.8,35.0,28.3
11,12,TX-San Ant,37.3,47.3,45.0,32.0,41.3,28.6
12,13,Virginia,36.9,43.3,48.0,38.8,34.3,28.0
13,13,N Carolina,36.9,36.0,45.0,45.2,16.0,41.0
14,13,Oklahoma,36.9,47.3,35.0,32.8,42.3,42.5
15,16,W Kentucky,36.7,41.0,34.0,38.5,35.8,19.5
16,17,Marshall,35.7,32.3,49.0,29.0,39.0,25.1
17,18,Texas Tech,35.1,32.0,24.0,36.3,34.3,28.4
18,19,Iowa State,35.0,38.7,24.0,33.3,36.7,32.9
19,20,Houston,34.8,38.7,31.0,29.5,37.5,30.0
20,21,Tennessee,34.7,31.7,24.0,35.8,33.3,21.5
21,22,Army,34.6,28.7,56.0,42.3,24.3,22.6
22,23,Florida,34.4,32.3,42.0,36.0,32.3,39.8
23,24,Oregon St,34.0,31.0,42.0,38.0,30.0,28.9
24,25,Florida St,33.7,42.3,59.0,38.3,24.5,23.9
25,25,Baylor,33.7,32.3,38.0,38.0,29.3,23.3
26,27,Nevada,33.5,40.3,32.0,44.5,28.0,30.8
27,28,UCLA,33.3,29.7,31.0,34.6,31.0,35.4
28,29,Michigan St,33.0,33.0,20.0,35.5,31.8,18.0
29,30,TX Christian,32.5,33.3,17.0,28.0,41.5,30.8
