,Rank,Team,Rating,Hi,Low,Last
0,1,Georgia,40.8,1,20,1
1,2,Ohio State,26.3,1,20,5
2,3,Michigan,24.8,1,37,3
3,4,Cincinnati,21.7,4,30,7
4,5,Alabama,20.9,1,21,2
5,6,Nebraska,20.0,6,126,9
6,7,Oklahoma,19.7,4,41,12
7,8,Iowa,19.5,2,58,4
8,9,Texas,19.1,5,78,6
9,10,Arkansas,18.7,7,49,14
10,11,Pittsburgh,17.9,4,63,10
11,12,Florida,17.6,6,81,11
12,13,Mississippi,16.8,3,65,8
13,14,Penn State,16.5,5,35,13
14,15,Tennessee,16.1,10,116,15
15,16,Baylor,15.9,9,102,31
16,17,Michigan St,15.4,4,57,16
17,18,Notre Dame,14.4,4,63,18
18,19,Houston,14.0,16,96,35
19,20,Clemson,12.2,3,44,19
20,21,Arizona St,12.0,20,117,34
21,22,Coastal Car,11.7,11,109,22
22,23,Liberty,11.4,21,89,27
23,24,Auburn,11.2,7,39,17
24,25,Oregon,10.8,9,57,21
25,26,Iowa State,10.4,7,103,25
26,27,NC State,10.1,1,51,23
27,28,Wake Forest,9.9,10,60,20
28,29,Boise State,8.9,10,58,43
29,30,App State,8.8,8,63,29
30,31,Kentucky,8.0,21,81,48
31,32,Texas A&M,7.5,6,53,44
32,33,TX Christian,7.4,30,101,57
33,34,N Carolina,7.3,9,66,26
34,35,Oregon St,7.1,27,73,28
35,36,Boston Col,6.7,23,83,37
36,37,Kansas St,6.6,24,68,36
37,38,Wisconsin,6.1,3,66,66
38,39,W Virginia,6.0,12,61,24
39,40,Miss State,5.9,10,89,40
40,41,S Methodist,5.8,28,114,30
41,42,Stanford,5.5,23,119,46
42,43,Louisville,5.4,11,84,52
43,44,BYU,5.3,32,69,54
44,45,Purdue,5.2,14,51,41
45,46,Air Force,4.8,38,102,61
46,47,GA Tech,4.5,32,100,60
47,48,UCLA,4.4,1,63,32
48,49,Oklahoma St,4.3,3,104,58
49,50,Utah,4.2,5,118,76
50,51,Miami (FL),4.1,8,85,50
51,52,LSU,4.0,24,64,38
52,53,Virginia,3.9,13,77,45
53,54,Minnesota,3.8,6,72,55
54,55,VA Tech,3.5,6,80,51
55,56,Nevada,2.4,37,78,56
56,57,Central FL,2.3,9,76,62
57,58,Fresno St,1.7,2,94,65
58,59,Washington,1.7,34,117,63
59,60,UAB,1.6,4,80,69
60,61,USC,1.6,20,92,39
61,62,Army,1.5,8,75,71
62,63,Syracuse,1.3,27,86,70
63,64,TX-San Ant,1.2,30,108,64
64,65,Rutgers,0.9,11,109,33
65,66,San Diego St,0.4,58,108,72
66,67,E Carolina,0.0,39,120,75
67,68,S Carolina,-0.1,33,96,53
68,69,Indiana,-0.3,17,109,73
69,70,W Michigan,-1.2,47,112,47
70,71,Maryland,-1.2,10,105,42
71,72,Fla Atlantic,-1.3,49,119,68
72,73,Toledo,-1.7,35,104,67
73,74,W Kentucky,-2.0,10,89,74
74,75,Wash State,-3.0,19,107,93
75,76,LA Lafayette,-3.7,30,107,78
76,77,Kent State,-4.1,69,112,88
77,78,Marshall,-4.3,5,89,49
78,79,Florida St,-4.4,27,102,91
79,80,LA Tech,-4.5,55,118,79
80,81,Miami (OH),-4.5,67,100,82
81,82,Ball State,-5.0,58,122,107
82,83,Texas Tech,-5.7,22,124,59
83,84,Colorado St,-6.2,42,129,95
84,85,California,-6.3,28,87,87
85,86,Wyoming,-6.3,70,116,90
86,87,E Michigan,-6.5,73,119,94
87,88,Utah State,-6.5,39,126,89
88,89,Tulsa,-6.5,28,125,105
89,90,Missouri,-6.8,48,101,85
90,91,Memphis,-7.7,65,91,81
91,92,Duke,-8.1,85,126,97
92,93,Illinois,-8.4,3,94,84
93,94,Georgia State,-8.5,57,123,112
94,95,Buffalo,-8.9,3,117,77
95,96,N Illinois,-9.7,65,113,98
96,97,Old Dominion,-9.7,69,124,106
97,98,Hawaii,-9.9,93,128,96
98,99,Middle Tenn,-10.1,69,115,86
99,100,Charlotte,-10.2,85,123,101
100,101,Colorado,-10.3,36,110,100
101,102,Tulane,-10.9,10,115,80
102,103,S Alabama,-11.3,54,117,92
103,104,Northwestern,-11.8,67,117,104
104,105,Central Mich,-11.9,40,106,102
105,106,Troy,-12.4,25,112,83
106,107,Navy,-12.6,64,129,109
107,108,Temple,-12.6,96,128,110
108,109,GA Southern,-13.0,84,124,111
109,110,S Florida,-14.2,20,127,108
110,111,Bowling Grn,-14.8,98,129,99
111,112,Arizona,-16.2,69,120,113
112,113,North Texas,-16.2,48,120,115
113,114,TX El Paso,-17.0,89,130,114
114,115,UNLV,-17.8,101,128,116
115,116,San Jose St,-17.9,13,125,103
116,117,S Mississippi,-19.2,100,129,117
117,118,Vanderbilt,-20.7,98,130,125
118,119,Texas State,-21.3,86,125,123
119,120,Rice,-22.9,82,130,120
120,121,New Mexico,-23.3,109,129,124
121,122,Ohio,-23.4,78,127,126
122,123,Akron,-23.8,106,130,130
123,124,N Mex State,-24.8,120,130,122
124,125,Arkansas St,-24.9,71,125,121
125,126,Florida Intl,-26.6,15,130,118
126,127,U Mass,-27.0,87,130,129
127,128,Kansas,-27.2,80,129,127
128,129,LA Monroe,-27.5,102,129,119
129,130,Connecticut,-28.9,111,130,128
