,Rank,Team,Rating,v 1-10,v 11-25,v 26-40,Hi,Low,Last
0,1,Alabama,40.0,0-0,0-0,0-0,1,20,1
1,2,Notre Dame,38.4,0-0,0-0,0-0,1,62,54
2,3,GA Tech,34.0,0-0,0-0,0-0,3,82,22
3,4,Georgia,27.3,1-0,0-0,0-0,2,23,2
4,5,Clemson,25.8,0-1,0-0,0-0,2,21,3
5,6,Mississippi,23.4,0-0,0-0,0-0,4,64,4
6,7,Arkansas,23.1,0-0,1-0,0-0,5,60,59
7,8,Kansas St,18.9,0-0,0-0,0-0,5,61,5
8,9,Texas Tech,17.8,0-0,0-0,0-0,4,78,6
9,10,Colorado,10.1,0-0,0-1,0-0,7,110,7
10,11,UAB,8.5,0-0,0-0,0-0,1,71,9
11,12,App State,8.5,0-0,0-0,0-0,1,108,8
12,13,Texas A&M,0.7,1-1,0-0,0-0,6,121,10
13,14,Oregon,--,0-0,0-0,0-0,11,128,11
14,15,Minnesota,--,0-0,0-0,0-0,9,65,12
15,16,Wake Forest,--,0-0,0-0,0-0,13,124,62
16,17,USC,--,0-0,0-0,0-0,14,63,14
17,18,Michigan St,--,0-0,0-0,0-0,4,65,20
18,19,Army,--,0-0,0-0,0-0,12,115,19
19,20,Iowa,--,0-0,0-0,0-0,13,127,17
20,21,Cincinnati,--,0-0,0-0,0-0,11,51,18
21,22,Ohio State,--,0-0,0-0,0-0,3,32,13
22,23,Penn State,--,0-0,0-0,0-0,9,34,16
23,24,Marshall,--,0-0,0-0,0-0,9,121,15
24,25,Iowa State,--,0-0,0-0,0-0,7,83,21
25,26,UCLA,--,0-0,0-0,0-0,1,62,60
26,27,Rutgers,--,0-0,0-0,0-0,27,92,33
27,28,W Virginia,--,0-0,0-0,0-0,23,69,40
28,29,Oregon St,--,0-0,0-0,0-0,29,125,68
29,30,Florida,--,0-0,0-0,0-0,9,46,29
30,31,Fresno St,--,0-0,0-0,0-0,2,116,24
31,32,Pittsburgh,--,0-0,0-0,0-0,5,51,26
32,33,Colorado St,--,0-0,0-0,0-0,22,120,23
33,34,Purdue,--,0-0,0-0,0-0,12,58,34
34,35,San Diego St,--,0-0,0-0,0-0,17,89,28
35,36,Oklahoma St,--,0-0,0-0,0-0,20,84,30
36,37,Boise State,--,0-0,0-0,0-0,4,44,38
37,38,Kentucky,--,0-0,0-0,0-0,31,65,65
38,39,VA Tech,--,0-0,0-0,0-0,10,65,35
39,40,Auburn,--,0-0,0-0,0-0,20,48,25
40,41,LA Tech,--,0-0,0-0,0-0,22,111,37
41,42,LSU,--,0-0,0-0,0-0,10,71,49
42,43,TX-San Ant,--,0-0,0-0,0-0,19,125,36
43,44,Toledo,--,0-0,0-0,0-0,26,126,32
44,45,S Methodist,--,0-0,0-0,0-0,40,82,82
45,46,Nebraska,--,0-0,0-0,0-0,34,127,41
46,47,Air Force,--,0-0,0-0,0-0,30,125,50
47,48,California,--,0-0,0-0,0-0,22,73,31
48,49,Baylor,--,0-0,0-0,0-0,12,103,39
49,50,S Carolina,--,0-0,0-0,0-0,41,88,44
50,51,Maryland,--,0-0,0-0,0-0,37,87,47
51,52,W Michigan,--,0-0,0-0,0-0,48,113,52
52,53,Syracuse,--,0-0,0-0,0-0,15,106,43
53,54,Coastal Car,--,0-0,0-0,0-0,12,115,45
54,55,Tulsa,--,0-0,0-0,0-0,28,121,48
55,56,W Kentucky,--,0-0,0-0,0-0,7,107,53
56,57,Washington,--,0-0,0-0,0-0,25,94,46
57,58,Liberty,--,0-0,0-0,0-0,8,67,27
58,59,Miss State,--,0-0,0-0,0-0,25,76,51
59,60,Utah State,--,0-0,0-0,0-0,17,121,73
60,61,Boston Col,--,0-0,0-0,0-0,37,97,70
61,62,Michigan,--,0-0,0-0,0-0,1,63,57
62,63,Oklahoma,--,0-0,0-0,0-0,4,64,58
