,Rank,Team,Rating,Hi,Low,Last
0,1,Alabama,12.5,1,15,1
1,2,Georgia,11.0,1,18,2
2,3,Clemson,10.0,1,16,6
3,4,Mississippi,9.1,3,53,5
4,5,Auburn,8.7,2,101,4
5,6,Florida,8.2,3,61,7
6,7,Arkansas,8.2,3,77,3
7,8,Wisconsin,7.7,4,21,13
8,9,Notre Dame,7.5,8,46,8
9,10,Miami (FL),7.5,1,26,12
10,11,LSU,7.3,5,31,19
11,12,Texas,7.0,4,30,10
12,13,Nebraska,7.0,2,72,14
13,14,Indiana,6.9,6,32,11
14,15,Tennessee,6.4,14,124,27
15,16,Ohio State,6.3,1,20,20
16,17,Oklahoma St,6.0,14,92,28
17,18,Michigan,5.9,4,67,16
18,19,Penn State,5.6,4,25,9
19,20,Purdue,5.4,5,79,21
20,21,Iowa,5.1,7,29,17
21,22,Oklahoma,4.9,4,35,15
22,23,Miss State,4.8,13,75,18
23,24,W Virginia,4.7,4,39,29
24,25,Oregon,4.6,4,44,35
25,26,Texas A&M,4.5,6,69,23
26,27,Pittsburgh,4.3,27,109,36
27,28,TX Christian,4.3,22,93,25
28,29,Louisville,4.3,17,51,32
29,30,Iowa State,4.1,7,87,30
30,31,Kansas St,4.0,24,66,24
31,32,Minnesota,3.8,1,57,26
32,33,Illinois,3.8,3,87,41
33,34,Kentucky,3.4,30,101,31
34,35,Stanford,3.3,16,73,33
35,36,Cincinnati,3.0,11,91,22
36,37,Michigan St,3.0,12,82,34
37,38,NC State,2.9,19,114,44
38,39,Utah,2.9,19,115,40
39,40,Virginia,2.8,24,114,37
40,41,UCLA,2.4,23,126,42
41,42,Maryland,2.3,31,49,48
42,43,USC,2.2,19,58,51
43,44,VA Tech,2.1,5,57,38
44,45,Rutgers,1.8,25,94,43
45,46,Navy,1.8,40,95,59
46,47,Wake Forest,1.7,29,116,56
47,48,Baylor,1.4,24,119,47
48,49,GA Tech,1.4,29,113,57
49,50,Florida St,1.3,19,71,39
50,51,N Carolina,1.1,3,56,50
51,52,Arizona St,0.9,27,128,45
52,53,Oregon St,0.8,27,75,54
53,54,Syracuse,0.5,50,106,61
54,55,App State,0.5,17,110,60
55,56,Central FL,0.5,7,74,52
56,57,Boise State,0.5,3,62,55
57,58,BYU,0.2,46,73,58
58,59,Tulane,0.1,5,66,49
59,60,California,-0.3,13,66,53
60,61,Washington,-0.4,25,88,46
61,62,Texas Tech,-1.3,35,86,63
62,63,S Carolina,-1.5,35,123,65
63,64,E Carolina,-1.5,6,83,68
64,65,Colorado,-1.8,38,118,62
65,66,Wash State,-1.8,52,115,64
66,67,Boston Col,-2.5,44,129,72
67,68,Northwestern,-2.5,11,94,80
68,69,Army,-2.6,63,103,75
69,70,Nevada,-2.7,37,79,77
70,71,W Michigan,-2.7,16,93,67
71,72,Missouri,-3.0,26,78,70
72,73,Tulsa,-3.8,37,116,79
73,74,Ball State,-4.5,69,118,71
74,75,Fresno St,-4.6,27,129,78
75,76,Arizona,-4.8,42,103,86
76,77,W Kentucky,-4.9,67,128,69
77,78,UAB,-5.4,36,126,66
78,79,S Florida,-5.4,4,100,74
79,80,Miami (OH),-5.6,9,101,85
80,81,Fla Atlantic,-5.7,15,101,82
81,82,LA Lafayette,-5.7,9,92,73
82,83,Memphis,-5.9,51,108,97
83,84,Houston,-5.9,33,109,87
84,85,Toledo,-6.2,41,116,88
85,86,S Methodist,-6.3,63,119,89
86,87,Georgia State,-6.4,27,94,76
87,88,Air Force,-6.8,79,121,92
88,89,Coastal Car,-7.0,33,124,120
89,90,Kent State,-7.1,10,109,84
90,91,Marshall,-7.1,63,109,93
91,92,TX-San Ant,-7.1,53,100,95
92,93,Liberty,-7.1,39,113,83
93,94,LA Tech,-7.1,39,111,96
94,95,Utah State,-7.5,62,121,91
95,96,Middle Tenn,-7.5,74,127,81
96,97,Buffalo,-8.1,55,125,90
97,98,North Texas,-8.3,97,128,106
98,99,N Illinois,-8.3,43,113,98
99,100,Kansas,-8.3,78,125,112
100,101,San Diego St,-8.5,76,130,114
101,102,Colorado St,-8.7,88,127,102
102,103,Old Dominion,-8.7,10,122,103
103,104,Duke,-9.0,82,120,105
104,105,Arkansas St,-9.0,88,120,110
105,106,Central Mich,-9.2,26,107,99
106,107,UNLV,-9.2,94,127,100
107,108,Rice,-9.3,20,118,117
108,109,GA Southern,-10.1,84,112,107
109,110,San Jose St,-10.1,63,128,104
110,111,Hawaii,-10.3,1,116,94
111,112,Vanderbilt,-10.6,88,123,108
112,113,Ohio,-11.1,67,122,109
113,114,LA Monroe,-11.8,29,128,115
114,115,E Michigan,-11.9,84,122,113
115,116,Wyoming,-11.9,70,125,101
116,117,Temple,-12.3,44,123,111
117,118,Charlotte,-12.4,82,124,121
118,119,Texas State,-12.6,62,125,118
119,120,Troy,-12.9,71,124,116
120,121,New Mexico,-13.3,114,130,125
121,122,Bowling Grn,-14.3,65,128,119
122,123,S Mississippi,-14.5,77,125,123
123,124,U Mass,-14.5,43,130,122
124,125,Florida Intl,-14.8,115,130,126
125,126,N Mex State,-16.2,94,130,128
126,127,S Alabama,-16.8,89,129,124
127,128,Akron,-16.9,35,130,127
128,129,TX El Paso,-17.8,99,130,129
129,130,Connecticut,-20.6,97,130,130
