,Rank,Team,Rating,v 1-10,v 11-25,v 26-40,Hi,Low,Last
0,1,Alabama,39.2,0-0,0-0,0-0,1,20,1
1,2,Notre Dame,37.8,0-0,0-0,0-0,1,62,2
2,3,GA Tech,31.8,0-0,0-0,0-0,3,82,3
3,4,Clemson,26.2,0-1,0-0,0-0,2,21,4
4,5,Georgia,23.5,1-0,0-0,0-0,2,23,5
5,6,Texas Tech,23.4,0-0,0-0,0-0,4,78,7
6,7,Mississippi,23.2,0-0,0-0,0-0,4,64,8
7,8,Arkansas,23.2,0-0,0-0,0-0,5,60,9
8,9,Oklahoma,22.1,0-0,1-0,0-0,4,64,6
9,10,Kansas St,18.9,0-0,0-0,0-0,5,61,10
10,11,Texas,13.1,0-1,0-0,0-0,11,89,11
11,12,App State,11.2,0-0,0-0,0-0,1,108,12
12,13,Colorado,10.2,0-0,0-0,0-0,7,110,13
13,14,UAB,9.0,0-0,0-0,0-0,1,71,14
14,15,Iowa,--,0-0,0-0,0-0,13,127,15
15,16,Ohio State,--,0-0,0-0,0-0,3,32,16
16,17,USC,--,0-0,0-0,0-0,14,63,19
17,18,Pittsburgh,--,0-0,0-0,0-0,5,51,17
18,19,Michigan,--,0-0,0-0,0-0,1,63,18
19,20,Cincinnati,--,0-0,0-0,0-0,11,51,20
20,21,Minnesota,--,0-0,0-0,0-0,9,65,23
21,22,Michigan St,--,0-0,0-0,0-0,4,65,22
22,23,Purdue,--,0-0,0-0,0-0,12,58,34
23,24,Iowa State,--,0-0,0-0,0-0,7,83,25
24,25,Auburn,--,0-0,0-0,0-0,20,48,31
25,26,Wake Forest,--,0-0,0-0,0-0,13,124,28
26,27,Oklahoma St,--,0-0,0-0,0-0,20,84,37
27,28,Penn State,--,0-0,0-0,0-0,9,34,24
28,29,Oregon,--,0-0,0-0,0-0,11,128,27
29,30,Tennessee,--,0-0,0-0,0-0,23,116,26
30,31,TX Christian,--,0-0,0-0,0-0,21,84,21
31,32,Kentucky,--,0-0,0-0,0-0,31,65,42
32,33,NC State,--,0-0,0-0,0-0,5,88,75
33,34,Colorado St,--,0-0,0-0,0-0,22,120,29
34,35,UCLA,--,0-0,0-0,0-0,1,62,35
35,36,Air Force,--,0-0,0-0,0-0,30,125,40
36,37,Boise State,--,0-0,0-0,0-0,4,44,36
37,38,Marshall,--,0-0,0-0,0-0,9,121,41
38,39,Miss State,--,0-0,0-0,0-0,25,76,43
39,40,Wash State,--,0-0,0-0,0-0,27,86,47
40,41,Oregon St,--,0-0,0-0,0-0,29,125,51
41,42,Arizona St,--,0-0,0-0,0-0,27,117,32
42,43,Coastal Car,--,0-0,0-0,0-0,12,115,44
43,44,Florida,--,0-0,0-0,0-0,9,46,45
44,45,Utah,--,0-0,0-0,0-0,3,118,46
45,46,Florida St,--,0-0,0-0,0-0,41,94,48
46,47,Toledo,--,0-0,0-0,0-0,26,126,38
47,48,Army,--,0-0,0-0,0-0,12,115,57
48,49,Fresno St,--,0-0,0-0,0-0,2,116,63
49,50,California,--,0-0,0-0,0-0,22,73,53
50,51,W Michigan,--,0-0,0-0,0-0,48,113,55
51,52,Nebraska,--,0-0,0-0,0-0,34,127,54
52,53,TX-San Ant,--,0-0,0-0,0-0,19,125,61
53,54,Boston Col,--,0-0,0-0,0-0,37,97,52
54,55,Rutgers,--,0-0,0-0,0-0,27,92,30
55,56,San Diego St,--,0-0,0-0,0-0,17,89,33
56,57,Virginia,--,0-0,0-0,0-0,45,79,59
57,58,S Methodist,--,0-0,0-0,0-0,40,82,56
58,59,Baylor,--,0-0,0-0,0-0,12,103,64
59,60,Nevada,--,0-0,0-0,0-0,16,77,60
60,61,Washington,--,0-0,0-0,0-0,25,94,62
61,62,Syracuse,--,0-0,0-0,0-0,15,106,66
62,63,W Kentucky,--,0-0,0-0,0-0,7,107,72
63,64,VA Tech,--,0-0,0-0,0-0,10,65,65
64,65,Tulsa,--,0-0,0-0,0-0,28,121,49
65,66,Liberty,--,0-0,0-0,0-0,8,67,39
66,67,W Virginia,--,0-0,0-0,0-0,23,69,69
67,68,Missouri,--,0-0,0-0,0-0,31,78,67
68,69,LSU,--,0-0,0-0,0-0,10,71,71
69,70,S Carolina,--,0-0,0-0,0-0,41,88,70
70,71,Utah State,--,0-0,0-0,0-0,17,121,58
71,72,Georgia State,--,0-0,0-0,0-0,59,115,76
72,73,LA Lafayette,--,0-0,0-0,0-0,16,101,73
73,74,Indiana,--,0-0,0-0,0-0,21,107,74
74,75,Illinois,--,0-0,0-0,0-0,3,106,83
75,76,Ball State,--,0-0,0-0,0-0,69,119,81
76,77,Miami (OH),--,0-0,0-0,0-0,71,112,78
77,78,LA Tech,--,0-0,0-0,0-0,22,111,50
78,79,N Illinois,--,0-0,0-0,0-0,21,113,80
79,80,UNLV,--,0-0,0-0,0-0,79,127,82
80,81,Vanderbilt,--,0-0,0-0,0-0,74,109,91
81,82,Central FL,--,0-0,0-0,0-0,11,84,79
82,83,Navy,--,0-0,0-0,0-0,22,97,68
83,84,Bowling Grn,--,0-0,0-0,0-0,76,128,77
84,85,Maryland,--,0-0,0-0,0-0,37,87,85
85,86,Tulane,--,0-0,0-0,0-0,13,95,84
86,87,Wyoming,--,0-0,0-0,0-0,28,98,87
87,88,Fla Atlantic,--,0-0,0-0,0-0,72,105,90
88,89,TX El Paso,--,0-0,0-0,0-0,86,128,86
89,90,Charlotte,--,0-0,0-0,0-0,67,117,92
90,91,Memphis,--,0-0,0-0,0-0,51,99,93
91,92,Central Mich,--,0-0,0-0,0-0,68,104,97
92,93,Hawaii,--,0-0,0-0,0-0,78,129,98
93,94,Buffalo,--,0-0,0-0,0-0,6,103,89
94,95,E Michigan,--,0-0,0-0,0-0,75,130,95
95,96,Middle Tenn,--,0-0,0-0,0-0,21,113,96
96,97,San Jose St,--,0-0,0-0,0-0,14,125,101
97,98,North Texas,--,0-0,0-0,0-0,69,116,94
98,99,Troy,--,0-0,0-0,0-0,38,102,102
99,100,S Alabama,--,0-0,0-0,0-0,58,115,103
100,101,Old Dominion,--,0-0,0-0,0-0,79,126,99
101,102,Kent State,--,0-0,0-0,0-0,84,129,88
102,103,Ohio,--,0-0,0-0,0-0,77,118,112
103,104,S Florida,--,0-0,0-0,0-0,85,128,104
104,105,Akron,--,0-0,0-0,0-0,91,126,106
105,106,New Mexico,--,0-0,0-0,0-0,75,120,108
106,107,N Mex State,--,0-0,0-0,0-0,96,130,107
107,108,Temple,--,0-0,0-0,0-0,101,124,111
108,109,Duke,--,0-0,0-0,0-0,91,124,100
109,110,GA Southern,--,0-0,0-0,0-0,88,119,105
110,111,S Mississippi,--,0-0,0-0,0-0,87,121,113
111,112,Northwestern,--,0-0,0-0,0-0,52,126,110
112,113,Florida Intl,--,0-0,0-0,0-0,15,119,115
113,114,Kansas,--,0-0,0-0,0-0,89,122,114
114,115,Texas State,--,0-0,0-0,0-0,76,116,116
115,116,Rice,--,0-0,0-0,0-0,92,117,109
116,117,Arkansas St,--,0-0,0-0,0-0,68,123,117
117,118,Connecticut,--,0-0,0-0,0-0,100,130,118
118,119,U Mass,--,0-0,0-0,0-0,103,129,119
119,120,LA Monroe,--,0-0,0-0,0-0,92,127,120
120,121,Texas A&M,-0.1,0-1,1-0,0-0,6,121,121
121,122,Miami (FL),-1.8,0-1,0-0,0-0,7,125,123
122,123,Louisville,-3.4,0-1,0-0,0-0,46,128,122
123,124,Arizona,-5.4,0-0,0-0,0-0,92,127,124
124,125,BYU,-8.6,0-0,0-0,0-0,53,128,126
125,126,E Carolina,-9.2,0-0,0-1,0-0,80,130,125
126,127,Stanford,-12.3,0-1,0-0,0-0,63,129,127
127,128,Wisconsin,-14.1,0-1,0-0,0-0,8,129,128
128,129,Houston,-17.1,0-1,0-0,0-0,55,130,129
129,130,N Carolina,-22.3,0-1,0-0,0-0,6,130,130
