,Rank,Team,Rating,Hi,Low,Last,Season,Week
0,1,Wisconsin,12.6,1,44,6,2016,8
1,2,Stanford,11.1,2,63,4,2016,8
2,3,Ohio State,10.8,1,56,14,2016,8
3,4,Alabama,10.8,1,40,9,2016,8
4,5,Florida St,10.6,1,22,1,2016,8
5,6,Tennessee,9.8,5,64,8,2016,8
6,7,Oklahoma,9.7,1,18,5,2016,8
7,8,Mississippi,9.7,2,15,7,2016,8
8,9,Clemson,9.5,1,17,3,2016,8
9,10,Louisville,9.2,2,106,2,2016,8
10,11,USC,8.4,1,20,11,2016,8
11,12,Auburn,8.2,7,30,10,2016,8
12,13,Texas A&M,7.3,2,30,12,2016,8
13,14,UCLA,7.1,6,27,15,2016,8
14,15,LSU,6.1,4,26,13,2016,8
15,16,Colorado,6.0,9,115,19,2016,8
16,17,Michigan,5.9,2,75,18,2016,8
17,18,N Carolina,5.6,11,50,23,2016,8
18,19,Arkansas,5.3,16,61,27,2016,8
19,20,Oregon,5.2,14,111,20,2016,8
20,21,Kansas St,4.8,1,47,31,2016,8
21,22,Missouri,4.3,14,61,29,2016,8
22,23,Georgia,4.1,11,47,16,2016,8
23,24,BYU,3.9,13,63,17,2016,8
24,25,Wash State,3.6,21,91,26,2016,8
25,26,Miami (FL),3.2,15,118,22,2016,8
26,27,Penn State,2.6,11,70,30,2016,8
27,28,Vanderbilt,2.6,24,65,37,2016,8
28,29,Texas,2.6,20,40,21,2016,8
29,30,W Virginia,2.5,25,63,34,2016,8
30,31,Northwestern,2.5,22,84,40,2016,8
31,32,GA Tech,2.2,23,69,24,2016,8
32,33,Syracuse,2.0,33,123,46,2016,8
33,34,S Carolina,2.0,3,67,33,2016,8
34,35,Michigan St,1.9,20,126,28,2016,8
35,36,Arizona,1.6,25,90,32,2016,8
36,37,VA Tech,1.5,19,97,25,2016,8
37,38,Notre Dame,1.4,9,58,47,2016,8
38,39,Arizona St,1.4,33,103,42,2016,8
39,40,Miss State,1.4,24,73,45,2016,8
40,41,NC State,1.2,30,122,70,2016,8
41,42,Duke,1.2,35,94,62,2016,8
42,43,Washington,0.9,8,103,36,2016,8
43,44,Wake Forest,0.8,40,107,61,2016,8
44,45,Pittsburgh,0.7,15,102,38,2016,8
45,46,Houston,0.5,8,66,35,2016,8
46,47,Florida,0.4,16,122,43,2016,8
47,48,E Carolina,0.2,38,112,39,2016,8
48,49,Oklahoma St,-0.1,16,78,48,2016,8
49,50,California,-0.2,23,113,44,2016,8
50,51,Indiana,-0.6,49,105,55,2016,8
51,52,Oregon St,-0.6,16,81,51,2016,8
52,53,Iowa State,-0.6,41,92,52,2016,8
53,54,Texas Tech,-1.2,32,88,49,2016,8
54,55,Nebraska,-1.5,22,106,72,2016,8
55,56,Utah,-1.6,30,121,50,2016,8
56,57,W Michigan,-2.3,35,87,65,2016,8
57,58,W Kentucky,-2.6,10,116,73,2016,8
58,59,Virginia,-2.6,53,85,67,2016,8
59,60,App State,-2.7,6,86,41,2016,8
60,61,Temple,-2.7,51,96,71,2016,8
61,62,Memphis,-2.7,52,128,53,2016,8
62,63,Navy,-2.9,44,107,56,2016,8
63,64,Minnesota,-3.1,49,122,85,2016,8
64,65,Central FL,-3.1,53,125,54,2016,8
65,66,Kentucky,-3.1,24,90,63,2016,8
66,67,S Florida,-3.1,45,100,57,2016,8
67,68,TX Christian,-3.1,17,93,64,2016,8
68,69,N Illinois,-3.4,29,88,59,2016,8
69,70,Connecticut,-3.5,66,120,84,2016,8
70,71,Georgia State,-4.0,38,120,83,2016,8
71,72,Boise State,-4.2,35,74,60,2016,8
72,73,S Methodist,-4.2,45,96,74,2016,8
73,74,Utah State,-4.4,56,123,76,2016,8
74,75,Central Mich,-4.4,33,126,78,2016,8
75,76,Illinois,-4.5,39,115,81,2016,8
76,77,Tulsa,-4.6,26,101,99,2016,8
77,78,GA Southern,-4.7,43,117,91,2016,8
78,79,LA Tech,-4.9,26,94,66,2016,8
79,80,Maryland,-5.2,53,119,69,2016,8
80,81,Troy,-5.3,23,124,58,2016,8
81,82,Boston Col,-5.5,28,84,75,2016,8
82,83,Colorado St,-6.0,38,114,98,2016,8
83,84,Baylor,-6.0,13,111,80,2016,8
84,85,Rutgers,-6.5,2,85,82,2016,8
85,86,Rice,-6.7,9,125,68,2016,8
86,87,Iowa,-6.7,21,125,90,2016,8
87,88,Cincinnati,-6.8,49,124,86,2016,8
88,89,Wyoming,-7.0,37,106,89,2016,8
89,90,Arkansas St,-7.1,5,114,79,2016,8
90,91,Toledo,-7.4,57,125,77,2016,8
91,92,Middle Tenn,-7.4,54,108,104,2016,8
92,93,Akron,-7.6,62,123,93,2016,8
93,94,Air Force,-7.8,69,127,88,2016,8
94,95,Army,-8.4,47,105,94,2016,8
95,96,Kansas,-8.5,71,127,95,2016,8
96,97,S Alabama,-8.6,11,121,92,2016,8
97,98,S Mississippi,-8.6,51,113,109,2016,8
98,99,Bowling Grn,-8.8,3,116,110,2016,8
99,100,Fresno St,-9.0,13,106,105,2016,8
100,101,Tulane,-9.6,46,115,112,2016,8
101,102,San Diego St,-9.7,47,106,96,2016,8
102,103,U Mass,-9.8,23,126,103,2016,8
103,104,Purdue,-10.0,77,123,111,2016,8
104,105,Marshall,-10.2,42,123,87,2016,8
105,106,UNLV,-10.3,59,128,107,2016,8
106,107,TX-San Ant,-10.4,99,124,100,2016,8
107,108,Hawaii,-10.5,33,112,97,2016,8
108,109,Ball State,-10.8,64,117,102,2016,8
109,110,Miami (OH),-11.2,19,119,101,2016,8
110,111,E Michigan,-11.3,96,128,114,2016,8
111,112,Old Dominion,-12.0,73,125,113,2016,8
112,113,San Jose St,-12.2,32,113,108,2016,8
113,114,North Texas,-12.5,62,125,115,2016,8
114,115,Idaho ,-12.5,97,125,106,2016,8
115,116,New Mexico,-13.5,98,127,125,2016,8
116,117,Kent State,-14.0,22,123,116,2016,8
117,118,Texas State,-14.1,31,128,117,2016,8
118,119,LA Lafayette,-14.2,24,125,120,2016,8
119,120,Buffalo,-14.4,99,127,121,2016,8
120,121,Fla Atlantic,-15.2,94,127,127,2016,8
121,122,Nevada,-15.4,83,126,123,2016,8
122,123,LA Monroe,-15.5,95,128,118,2016,8
123,124,Florida Intl,-15.7,38,124,119,2016,8
124,125,Ohio,-15.8,83,125,122,2016,8
125,126,N Mex State,-15.8,67,127,124,2016,8
126,127,TX El Paso,-16.5,100,128,126,2016,8
127,128,Charlotte,-18.1,37,128,128,2016,8
