,Rank,Team,2016,Last 3,Last 1,Home,Away,2015,Season,Week
82,83,E Carolina,25.1,27.3,41.0,34.3,18.3,27.4,2016,10
83,84,Idaho,24.9,36.0,19.0,34.0,21.2,29.4,2016,10
84,85,Iowa State,24.6,21.0,26.0,37.3,15.0,24.5,2016,10
85,86,Wisconsin,24.1,21.0,23.0,30.8,17.5,26.8,2016,10
86,87,N Mex State,23.9,17.3,10.0,29.3,20.6,28.6,2016,10
87,88,Colorado St,23.9,32.0,42.0,23.7,24.0,26.7,2016,10
88,89,North Texas,23.7,30.0,17.0,24.0,23.5,15.9,2016,10
89,89,NC State,23.7,14.7,14.0,26.5,20.0,33.1,2016,10
90,91,Arkansas St,23.2,31.7,51.0,26.3,17.0,37.5,2016,10
91,92,Oregon St,23.1,20.7,31.0,29.0,15.3,18.4,2016,10
92,92,Arizona,23.1,15.7,10.0,24.8,21.0,34.1,2016,10
93,94,Florida Intl,23.1,28.7,35.0,22.2,25.0,24.3,2016,10
94,95,Tulane,23.0,24.0,31.0,25.0,20.3,18.0,2016,10
95,96,GA Southern,22.9,18.7,10.0,16.5,25.4,35.5,2016,10
96,96,Georgia,22.9,18.0,10.0,23.5,22.6,24.5,2016,10
97,98,Purdue,22.6,24.3,24.0,25.8,18.3,23.9,2016,10
98,99,LA Lafayette,22.5,19.3,27.0,12.7,32.3,24.8,2016,10
99,100,Michigan St,22.4,26.7,23.0,20.8,24.7,29.8,2016,10
100,101,Cincinnati,22.0,17.7,13.0,23.5,20.0,32.3,2016,10
101,102,Charlotte,21.6,27.0,27.0,20.7,22.3,16.0,2016,10
102,103,Nevada,21.4,23.7,34.0,33.0,12.8,25.8,2016,10
103,104,Miami (OH),21.4,28.7,28.0,16.3,24.4,17.2,2016,10
104,105,Duke,21.0,20.7,35.0,15.7,25.0,29.6,2016,10
105,106,TX El Paso,20.9,31.3,21.0,20.2,22.0,20.1,2016,10
106,107,Utah State,20.9,25.0,13.0,26.3,13.7,30.4,2016,10
107,108,U Mass,20.8,24.0,28.0,23.0,17.0,22.2,2016,10
108,109,Bowling Grn,20.6,28.3,26.0,24.0,18.0,42.2,2016,10
109,110,LA Monroe,20.4,22.3,10.0,35.5,14.4,18.8,2016,10
110,111,Texas State,20.0,19.3,3.0,3.0,28.5,23.6,2016,10
111,112,S Alabama,19.4,13.7,13.0,21.3,17.0,24.3,2016,10
112,113,Kent State,19.3,17.0,27.0,18.5,19.6,10.2,2016,10
113,114,Fresno St,19.3,14.7,21.0,21.7,17.8,21.2,2016,10
114,115,Stanford,19.1,18.7,34.0,18.5,19.8,37.8,2016,10
115,116,Vanderbilt,18.7,12.0,17.0,21.0,17.0,12.3,2016,10
116,117,Rice,18.6,19.0,16.0,19.3,18.0,23.4,2016,10
117,118,Illinois,18.4,16.3,17.0,20.3,16.0,20.7,2016,10
118,118,Buffalo,18.4,23.0,41.0,26.3,8.0,24.5,2016,10
119,120,Wake Forest,18.1,15.7,13.0,16.0,19.8,15.3,2016,10
120,120,Georgia State,18.1,24.0,10.0,31.0,13.0,26.4,2016,10
121,122,Boston Col,18.0,17.0,21.0,21.7,15.3,10.6,2016,10
122,123,San Jose St,17.8,15.7,30.0,19.5,16.0,26.7,2016,10
123,123,S Carolina,17.8,24.0,24.0,21.0,12.3,21.9,2016,10
124,125,Connecticut,17.6,15.3,3.0,18.3,17.0,16.9,2016,10
125,126,Fla Atlantic,17.4,15.7,3.0,17.7,17.3,22.5,2016,10
126,127,Kansas,14.3,10.0,3.0,21.3,9.0,13.2,2016,10
127,128,Rutgers,13.7,13.0,32.0,12.8,15.0,23.8,2016,10
