,Rank,Team,Rating,v 1-10,v 11-25,v 26-40,Hi,Low,Last,Season,Week
0,1,Tennessee,35.6,0-0,0-0,0-0,1,38,1,2015,10
1,2,Florida,35.2,0-0,0-0,0-0,2,60,25,2015,10
2,3,Baylor,33.6,0-0,0-0,0-0,1,16,2,2015,10
3,4,Alabama,31.2,1-0,0-0,0-0,1,20,4,2015,10
4,5,Texas,31.2,0-0,0-0,0-0,3,114,3,2015,10
5,6,Texas A&M,21.0,0-0,1-0,0-0,2,34,5,2015,10
6,7,S Carolina,15.3,0-0,0-0,0-0,1,39,6,2015,10
7,8,Toledo,12.9,0-0,1-0,0-0,4,69,7,2015,10
8,9,Auburn,12.7,0-0,0-0,0-0,4,23,8,2015,10
9,10,Wisconsin,5.3,0-1,0-0,0-0,6,32,9,2015,10
10,11,Maryland,4.7,0-0,0-0,0-0,11,107,11,2015,10
11,12,Arkansas,4.1,0-2,0-0,0-0,8,126,10,2015,10
12,13,Clemson,--,0-0,0-0,0-0,6,56,12,2015,10
13,14,Ohio State,--,0-0,0-0,0-0,1,60,14,2015,10
14,15,Iowa,--,0-0,0-0,0-0,13,86,15,2015,10
15,16,USC,--,0-0,0-0,0-0,9,117,13,2015,10
16,17,Utah,--,0-0,0-0,0-0,11,62,17,2015,10
17,18,Houston,--,0-0,0-0,0-0,12,75,18,2015,10
18,19,Duke,--,0-0,0-0,0-0,4,52,20,2015,10
19,20,UCLA,--,0-0,0-0,0-0,10,102,16,2015,10
20,21,LSU,--,0-0,0-0,0-0,4,63,21,2015,10
21,22,App State,--,0-0,0-0,0-0,20,118,22,2015,10
22,23,Oklahoma St,--,0-0,0-0,0-0,6,116,24,2015,10
23,24,Oregon,--,0-0,0-0,0-0,5,79,28,2015,10
24,25,Notre Dame,--,0-0,0-0,0-0,14,55,27,2015,10
25,26,Washington,--,0-0,0-0,0-0,7,54,26,2015,10
26,27,TX Christian,--,0-0,0-0,0-0,3,52,30,2015,10
27,28,Boise State,--,0-0,0-0,0-0,1,57,34,2015,10
28,29,Michigan,--,0-0,0-0,0-0,2,52,19,2015,10
29,30,Michigan St,--,0-0,0-0,0-0,6,93,29,2015,10
30,31,Memphis,--,0-0,0-0,0-0,17,124,32,2015,10
31,32,Stanford,--,0-0,0-0,0-0,2,110,31,2015,10
32,33,NC State,--,0-0,0-0,0-0,16,117,36,2015,10
33,34,Miss State,--,0-0,0-0,0-0,9,47,33,2015,10
34,35,Pittsburgh,--,0-0,0-0,0-0,29,117,35,2015,10
35,36,Florida St,--,0-0,0-0,0-0,13,104,37,2015,10
36,37,Mississippi,--,0-0,0-0,0-0,3,53,43,2015,10
37,38,VA Tech,--,0-0,0-0,0-0,13,111,51,2015,10
38,39,California,--,0-0,0-0,0-0,13,55,39,2015,10
39,40,Miami (FL),--,0-0,0-0,0-0,14,105,52,2015,10
40,41,Boston Col,--,0-0,0-0,0-0,9,81,40,2015,10
41,42,Wash State,--,0-0,0-0,0-0,25,105,41,2015,10
42,43,Kansas St,--,0-0,0-0,0-0,18,115,42,2015,10
43,44,Temple,--,0-0,0-0,0-0,27,120,46,2015,10
44,45,N Illinois,--,0-0,0-0,0-0,20,128,47,2015,10
45,46,BYU,--,0-0,0-0,0-0,12,119,45,2015,10
46,47,W Kentucky,--,0-0,0-0,0-0,7,70,49,2015,10
47,48,Navy,--,0-0,0-0,0-0,23,127,53,2015,10
48,49,Nebraska,--,0-0,0-0,0-0,13,68,38,2015,10
49,50,Northwestern,--,0-0,0-0,0-0,12,111,48,2015,10
50,51,GA Tech,--,0-0,0-0,0-0,10,67,44,2015,10
51,52,W Michigan,--,0-0,0-0,0-0,21,118,59,2015,10
52,53,San Diego St,--,0-0,0-0,0-0,5,101,65,2015,10
53,54,Tulsa,--,0-0,0-0,0-0,21,92,54,2015,10
54,55,W Virginia,--,0-0,0-0,0-0,24,69,50,2015,10
55,56,Air Force,--,0-0,0-0,0-0,35,119,88,2015,10
56,57,Minnesota,--,0-0,0-0,0-0,12,82,60,2015,10
57,58,Purdue,--,0-0,0-0,0-0,56,109,62,2015,10
58,59,Utah State,--,0-0,0-0,0-0,21,123,63,2015,10
59,60,Missouri,--,0-0,0-0,0-0,10,69,57,2015,10
60,61,LA Tech,--,0-0,0-0,0-0,10,71,67,2015,10
61,62,Virginia,--,0-0,0-0,0-0,45,108,61,2015,10
62,63,Kentucky,--,0-0,0-0,0-0,26,75,64,2015,10
63,64,E Carolina,--,0-0,0-0,0-0,35,94,55,2015,10
64,65,Connecticut,--,0-0,0-0,0-0,49,124,66,2015,10
65,66,Troy,--,0-0,0-0,0-0,58,122,72,2015,10
66,67,Central Mich,--,0-0,0-0,0-0,60,115,68,2015,10
67,68,Vanderbilt,--,0-0,0-0,0-0,27,117,56,2015,10
68,69,S Mississippi,--,0-0,0-0,0-0,39,105,69,2015,10
69,70,Cincinnati,--,0-0,0-0,0-0,50,128,71,2015,10
70,71,Iowa State,--,0-0,0-0,0-0,61,89,70,2015,10
71,72,Marshall,--,0-0,0-0,0-0,47,106,78,2015,10
72,73,S Florida,--,0-0,0-0,0-0,48,110,76,2015,10
73,74,Army,--,0-0,0-0,0-0,19,125,75,2015,10
74,75,GA Southern,--,0-0,0-0,0-0,2,122,73,2015,10
75,76,UNLV,--,0-0,0-0,0-0,66,127,74,2015,10
76,77,Indiana,--,0-0,0-0,0-0,38,99,77,2015,10
77,78,Arizona,--,0-0,0-0,0-0,20,118,58,2015,10
78,79,S Methodist,--,0-0,0-0,0-0,54,119,86,2015,10
79,80,Akron,--,0-0,0-0,0-0,28,120,79,2015,10
80,81,Ohio,--,0-0,0-0,0-0,27,127,83,2015,10
81,82,Wake Forest,--,0-0,0-0,0-0,13,92,84,2015,10
82,83,Nevada,--,0-0,0-0,0-0,55,121,81,2015,10
83,84,Ball State,--,0-0,0-0,0-0,75,122,87,2015,10
84,85,San Jose St,--,0-0,0-0,0-0,72,116,90,2015,10
85,86,Middle Tenn,--,0-0,0-0,0-0,37,123,89,2015,10
86,87,Syracuse,--,0-0,0-0,0-0,16,110,98,2015,10
87,88,Wyoming,--,0-0,0-0,0-0,69,117,85,2015,10
88,89,Rutgers,--,0-0,0-0,0-0,42,105,82,2015,10
89,90,Buffalo,--,0-0,0-0,0-0,56,112,94,2015,10
90,91,S Alabama,--,0-0,0-0,0-0,73,118,96,2015,10
91,92,LA Lafayette,--,0-0,0-0,0-0,47,109,93,2015,10
92,93,E Michigan,--,0-0,0-0,0-0,70,128,95,2015,10
93,94,Oregon St,--,0-0,0-0,0-0,65,116,105,2015,10
94,95,Rice,--,0-0,0-0,0-0,52,101,97,2015,10
95,96,Florida Intl,--,0-0,0-0,0-0,8,107,91,2015,10
96,97,Georgia State,--,0-0,0-0,0-0,69,128,100,2015,10
97,98,Arkansas St,--,0-0,0-0,0-0,64,127,99,2015,10
98,99,Illinois,--,0-0,0-0,0-0,26,124,80,2015,10
99,100,New Mexico,--,0-0,0-0,0-0,28,119,101,2015,10
100,101,Fla Atlantic,--,0-0,0-0,0-0,63,113,104,2015,10
101,102,Central FL,--,0-0,0-0,0-0,61,119,92,2015,10
102,103,LA Monroe,--,0-0,0-0,0-0,86,119,106,2015,10
103,104,Hawaii,--,0-0,0-0,0-0,68,114,108,2015,10
104,105,Kent State,--,0-0,0-0,0-0,85,126,107,2015,10
105,106,TX-San Ant,--,0-0,0-0,0-0,9,119,102,2015,10
106,107,Idaho ,--,0-0,0-0,0-0,76,126,103,2015,10
107,108,U Mass,--,0-0,0-0,0-0,64,122,109,2015,10
108,109,Tulane,--,0-0,0-0,0-0,88,125,113,2015,10
109,110,Kansas,--,0-0,0-0,0-0,70,114,111,2015,10
110,111,Old Dominion,--,0-0,0-0,0-0,84,117,110,2015,10
111,112,Fresno St,--,0-0,0-0,0-0,74,120,112,2015,10
112,113,N Mex State,--,0-0,0-0,0-0,82,126,114,2015,10
113,114,Texas State,--,0-0,0-0,0-0,91,124,116,2015,10
114,115,North Texas,--,0-0,0-0,0-0,63,119,115,2015,10
115,116,Miami (OH),--,0-0,0-0,0-0,87,124,117,2015,10
116,117,TX El Paso,--,0-0,0-0,0-0,90,120,118,2015,10
117,118,Charlotte,--,0-0,0-0,0-0,92,128,119,2015,10
118,119,Louisville,-1.9,0-1,0-0,0-0,6,127,120,2015,10
119,120,Texas Tech,-3.4,0-1,0-0,0-0,14,126,123,2015,10
120,121,Penn State,-3.7,0-0,1-0,0-0,42,125,125,2015,10
121,122,N Carolina,-3.8,0-1,0-0,0-0,2,126,124,2015,10
122,123,Colorado,-4.0,0-0,0-0,0-0,8,128,122,2015,10
123,124,Oklahoma,-4.2,0-1,0-0,0-0,12,124,121,2015,10
124,125,Colorado St,-6.5,0-0,0-0,0-0,40,127,126,2015,10
125,126,Georgia,-6.9,0-1,0-0,0-0,6,128,23,2015,10
126,127,Arizona St,-8.7,0-1,0-0,0-0,25,127,127,2015,10
127,128,Bowling Grn,-11.7,0-1,0-0,0-0,20,128,128,2015,10
