,Rank,Team,Rating,v 1-10,v 11-25,v 26-40,Hi,Low,Last,Season,Week
0,1,Tennessee,36.6,0-0,0-0,0-0,1,38,1,2015,11
1,2,Florida,35.5,0-0,0-0,0-0,2,60,2,2015,11
2,3,Baylor,33.8,0-0,0-0,0-0,1,16,3,2015,11
3,4,Texas,31.6,0-0,0-0,0-0,3,114,5,2015,11
4,5,Alabama,30.9,1-0,0-0,0-0,1,20,4,2015,11
5,6,Texas A&M,20.9,0-0,1-0,0-0,2,34,6,2015,11
6,7,S Carolina,18.3,0-0,0-0,0-0,1,39,7,2015,11
7,8,Auburn,14.0,0-0,1-0,0-0,4,23,9,2015,11
8,9,Toledo,13.8,0-0,1-0,0-0,4,69,8,2015,11
9,10,Wisconsin,5.2,0-1,0-0,0-0,6,32,10,2015,11
10,11,Maryland,4.8,0-0,0-0,0-0,11,107,11,2015,11
11,12,Arkansas,2.4,0-2,0-0,0-0,8,126,12,2015,11
12,13,Louisville,0.5,0-1,0-0,0-0,6,127,119,2015,11
13,14,Clemson,--,0-0,0-0,0-0,6,56,13,2015,11
14,15,Ohio State,--,0-0,0-0,0-0,1,60,14,2015,11
15,16,UCLA,--,0-0,0-0,0-0,10,102,20,2015,11
16,17,USC,--,0-0,0-0,0-0,9,117,16,2015,11
17,18,Utah,--,0-0,0-0,0-0,11,62,17,2015,11
18,19,Houston,--,0-0,0-0,0-0,12,75,18,2015,11
19,20,Iowa,--,0-0,0-0,0-0,13,86,15,2015,11
20,21,Oklahoma St,--,0-0,0-0,0-0,6,116,23,2015,11
21,22,App State,--,0-0,0-0,0-0,20,118,22,2015,11
22,23,LSU,--,0-0,0-0,0-0,4,63,21,2015,11
23,24,Notre Dame,--,0-0,0-0,0-0,14,55,25,2015,11
24,25,Stanford,--,0-0,0-0,0-0,2,110,32,2015,11
25,26,Navy,--,0-0,0-0,0-0,23,127,48,2015,11
26,27,Oregon,--,0-0,0-0,0-0,5,79,24,2015,11
27,28,Miss State,--,0-0,0-0,0-0,9,47,34,2015,11
28,29,Washington,--,0-0,0-0,0-0,7,54,26,2015,11
29,30,Michigan,--,0-0,0-0,0-0,2,52,29,2015,11
30,31,Boise State,--,0-0,0-0,0-0,1,57,28,2015,11
31,32,NC State,--,0-0,0-0,0-0,16,117,33,2015,11
32,33,Memphis,--,0-0,0-0,0-0,17,124,31,2015,11
33,34,Michigan St,--,0-0,0-0,0-0,6,93,30,2015,11
34,35,TX Christian,--,0-0,0-0,0-0,3,52,27,2015,11
35,36,Florida St,--,0-0,0-0,0-0,13,104,36,2015,11
36,37,Pittsburgh,--,0-0,0-0,0-0,29,117,35,2015,11
37,38,Mississippi,--,0-0,0-0,0-0,3,53,37,2015,11
38,39,Duke,--,0-0,0-0,0-0,4,52,19,2015,11
39,40,Miami (FL),--,0-0,0-0,0-0,14,105,40,2015,11
40,41,VA Tech,--,0-0,0-0,0-0,13,111,38,2015,11
41,42,Wash State,--,0-0,0-0,0-0,25,105,42,2015,11
42,43,Boston Col,--,0-0,0-0,0-0,9,81,41,2015,11
43,44,Kansas St,--,0-0,0-0,0-0,18,115,43,2015,11
44,45,N Illinois,--,0-0,0-0,0-0,20,128,45,2015,11
45,46,California,--,0-0,0-0,0-0,13,55,39,2015,11
46,47,Temple,--,0-0,0-0,0-0,27,120,44,2015,11
47,48,W Kentucky,--,0-0,0-0,0-0,7,70,47,2015,11
48,49,Nebraska,--,0-0,0-0,0-0,13,68,49,2015,11
49,50,Northwestern,--,0-0,0-0,0-0,12,111,50,2015,11
50,51,BYU,--,0-0,0-0,0-0,12,119,46,2015,11
51,52,San Diego St,--,0-0,0-0,0-0,5,101,53,2015,11
52,53,GA Tech,--,0-0,0-0,0-0,10,67,51,2015,11
53,54,Minnesota,--,0-0,0-0,0-0,12,82,57,2015,11
54,55,W Michigan,--,0-0,0-0,0-0,21,118,52,2015,11
55,56,Air Force,--,0-0,0-0,0-0,35,119,56,2015,11
56,57,Tulsa,--,0-0,0-0,0-0,21,92,54,2015,11
57,58,Missouri,--,0-0,0-0,0-0,10,69,60,2015,11
58,59,Virginia,--,0-0,0-0,0-0,45,108,62,2015,11
59,60,Vanderbilt,--,0-0,0-0,0-0,27,117,68,2015,11
60,61,Purdue,--,0-0,0-0,0-0,56,109,58,2015,11
61,62,W Virginia,--,0-0,0-0,0-0,24,69,55,2015,11
62,63,LA Tech,--,0-0,0-0,0-0,10,71,61,2015,11
63,64,Cincinnati,--,0-0,0-0,0-0,50,128,70,2015,11
64,65,Utah State,--,0-0,0-0,0-0,21,123,59,2015,11
65,66,E Carolina,--,0-0,0-0,0-0,35,94,64,2015,11
66,67,Troy,--,0-0,0-0,0-0,58,122,66,2015,11
67,68,Central Mich,--,0-0,0-0,0-0,60,115,67,2015,11
68,69,Arizona,--,0-0,0-0,0-0,20,118,78,2015,11
69,70,Kentucky,--,0-0,0-0,0-0,26,75,63,2015,11
70,71,S Florida,--,0-0,0-0,0-0,48,110,73,2015,11
71,72,Illinois,--,0-0,0-0,0-0,26,124,99,2015,11
72,73,Connecticut,--,0-0,0-0,0-0,49,124,65,2015,11
73,74,S Mississippi,--,0-0,0-0,0-0,39,105,69,2015,11
74,75,Marshall,--,0-0,0-0,0-0,47,106,72,2015,11
75,76,UNLV,--,0-0,0-0,0-0,66,127,76,2015,11
