,Rank,Team,Rating,Hi,Low,Last,Season,Week
0,1,Alabama,10.0,1,20,1,2015,13
1,2,Oklahoma,9.8,1,73,3,2015,13
2,3,Arkansas,9.6,1,75,2,2015,13
3,4,LSU,9.3,2,30,6,2015,13
4,5,USC,8.5,3,74,8,2015,13
5,6,California,8.4,6,89,14,2015,13
6,7,Tennessee,8.3,1,64,4,2015,13
7,8,W Virginia,8.2,2,102,5,2015,13
8,9,Mississippi,8.0,2,71,7,2015,13
9,10,Baylor,7.8,3,100,26,2015,13
10,11,TX Christian,7.7,3,47,32,2015,13
11,12,Oregon,7.6,3,86,17,2015,13
12,13,Utah,7.3,11,50,12,2015,13
13,14,Notre Dame,7.1,4,45,9,2015,13
14,15,Washington,6.9,5,51,10,2015,13
15,16,GA Tech,6.8,4,104,11,2015,13
16,17,Miss State,6.6,5,58,19,2015,13
17,18,Oklahoma St,6.3,14,100,33,2015,13
18,19,Stanford,6.2,4,33,23,2015,13
19,20,Texas Tech,6.0,11,126,24,2015,13
20,21,Clemson,6.0,4,83,13,2015,13
21,22,Texas,5.8,2,35,22,2015,13
22,23,Pittsburgh,5.5,19,103,20,2015,13
23,24,Michigan St,5.4,7,78,46,2015,13
24,25,VA Tech,5.1,4,44,34,2015,13
25,26,Auburn,5.0,7,55,16,2015,13
26,27,Arizona St,4.9,7,49,31,2015,13
27,28,Texas A&M,4.8,8,59,30,2015,13
28,29,Kansas St,4.8,16,104,18,2015,13
29,30,Florida,4.8,6,96,15,2015,13
30,31,Virginia,4.6,1,67,28,2015,13
31,32,UCLA,4.5,12,66,41,2015,13
32,33,Iowa State,4.4,30,115,36,2015,13
33,34,Miami (FL),4.4,22,95,35,2015,13
34,35,Georgia,4.2,5,71,25,2015,13
35,36,Louisville,4.1,14,42,37,2015,13
36,37,Florida St,3.9,20,93,29,2015,13
37,38,Maryland,3.8,27,122,27,2015,13
38,39,Michigan,3.6,10,45,45,2015,13
39,40,Vanderbilt,3.2,14,78,38,2015,13
40,41,Syracuse,3.2,40,121,48,2015,13
41,42,Northwestern,3.0,16,64,53,2015,13
42,43,Wash State,2.8,39,121,39,2015,13
43,44,Arizona,2.7,27,110,47,2015,13
44,45,Missouri,2.7,22,99,44,2015,13
45,46,Boston Col,2.6,40,126,56,2015,13
46,47,Memphis,2.5,43,114,43,2015,13
47,48,S Carolina,2.5,5,49,21,2015,13
48,49,Minnesota,2.5,4,66,42,2015,13
49,50,Ohio State,2.3,1,57,57,2015,13
50,51,N Carolina,2.3,26,79,54,2015,13
51,52,BYU,2.0,1,55,40,2015,13
52,53,Illinois,1.9,49,120,50,2015,13
53,54,Nebraska,1.8,14,55,55,2015,13
54,55,Purdue,1.6,28,86,58,2015,13
55,56,NC State,1.5,47,124,51,2015,13
56,57,Wake Forest,1.4,56,128,63,2015,13
57,58,Wisconsin,1.1,1,60,52,2015,13
58,59,Penn State,0.8,24,90,67,2015,13
59,60,Indiana,0.7,51,112,61,2015,13
60,61,Duke,0.5,39,115,59,2015,13
61,62,Navy,0.3,46,128,62,2015,13
62,63,S Florida,0.2,61,128,66,2015,13
63,64,Kentucky,-0.3,25,69,49,2015,13
64,65,Iowa,-0.3,44,103,60,2015,13
65,66,Oregon St,-0.9,56,125,65,2015,13
66,67,E Carolina,-1.0,36,101,69,2015,13
67,68,Rutgers,-1.4,64,117,64,2015,13
68,69,Temple,-1.5,35,95,75,2015,13
69,70,Colorado,-1.6,51,108,73,2015,13
70,71,Bowling Grn,-1.6,16,99,71,2015,13
71,72,Boise State,-1.8,13,75,74,2015,13
72,73,Cincinnati,-1.8,50,106,72,2015,13
73,74,Utah State,-1.9,30,122,68,2015,13
74,75,Toledo,-1.9,5,92,81,2015,13
75,76,Central Mich,-1.9,32,98,70,2015,13
76,77,W Michigan,-2.0,20,80,76,2015,13
77,78,N Illinois,-3.1,44,125,77,2015,13
78,79,Air Force,-3.2,54,110,85,2015,13
79,80,Kansas,-3.7,79,120,80,2015,13
80,81,GA Southern,-3.7,5,98,91,2015,13
81,82,W Kentucky,-3.8,29,83,82,2015,13
82,83,Tulsa,-4.6,56,92,84,2015,13
83,84,Connecticut,-4.7,81,127,87,2015,13
84,85,Middle Tenn,-4.7,33,114,78,2015,13
85,86,Houston,-4.8,58,120,79,2015,13
86,87,San Diego St,-5.5,56,117,86,2015,13
87,88,LA Tech,-5.5,31,96,83,2015,13
88,89,Colorado St,-6.5,65,116,90,2015,13
89,90,Arkansas St,-6.6,3,106,88,2015,13
90,91,UNLV,-7.1,9,127,92,2015,13
91,92,App State,-7.2,54,102,94,2015,13
92,93,San Jose St,-7.5,85,127,89,2015,13
93,94,S Methodist,-7.8,6,113,93,2015,13
94,95,Fresno St,-8.2,81,126,100,2015,13
95,96,Buffalo,-8.3,87,127,101,2015,13
96,97,North Texas,-8.6,64,113,105,2015,13
97,98,Akron,-8.7,6,102,98,2015,13
98,99,Ball State,-8.9,73,123,104,2015,13
99,100,Central FL,-9.2,45,115,95,2015,13
100,101,S Mississippi,-9.3,25,108,99,2015,13
101,102,Ohio,-9.4,77,114,103,2015,13
102,103,Hawaii,-9.5,28,112,102,2015,13
103,104,Fla Atlantic,-9.5,27,121,111,2015,13
104,105,Troy,-9.7,35,122,108,2015,13
105,106,Kent State,-9.8,31,118,109,2015,13
106,107,Wyoming,-9.8,97,128,106,2015,13
107,108,Tulane,-9.8,12,115,97,2015,13
108,109,New Mexico,-10.1,82,124,107,2015,13
109,110,U Mass,-10.5,10,113,96,2015,13
110,111,Nevada,-10.7,62,125,114,2015,13
111,112,LA Monroe,-11.3,9,124,110,2015,13
112,113,Marshall,-11.3,40,123,113,2015,13
113,114,Idaho ,-11.6,48,123,120,2015,13
114,115,TX-San Ant,-12.1,6,119,112,2015,13
