,Rank,Team,Rating,v 1-10,v 11-25,v 26-40,Hi,Low,Last,Season,Week
0,1,Maryland,33.9,0-0,0-0,0-0,1,65,1,2013,9
1,2,Alabama,33.6,0-0,1-0,0-0,1,23,2,2013,9
2,3,Texas,27.4,0-0,0-0,0-0,3,88,3,2013,9
3,4,Oklahoma St,23.8,0-0,0-0,0-0,2,21,4,2013,9
4,5,Notre Dame,21.3,0-0,1-0,0-0,4,69,5,2013,9
5,6,LSU,17.7,1-0,0-0,0-0,3,32,6,2013,9
6,7,TX Christian,8.5,0-1,0-0,0-0,5,45,7,2013,9
7,8,Colorado,8.1,0-0,0-0,0-0,7,106,13,2013,9
8,9,Washington,8.0,0-0,1-0,0-0,5,47,8,2013,9
9,10,Houston,6.0,0-0,0-0,0-0,1,99,10,2013,9
10,11,W Kentucky,5.0,0-0,0-0,0-0,6,95,12,2013,9
11,12,Arizona St,3.9,0-1,0-0,0-0,10,102,14,2013,9
12,13,VA Tech,3.1,0-1,0-0,0-0,8,120,16,2013,9
13,14,Illinois,3.0,0-1,0-0,0-0,9,89,11,2013,9
14,15,Army,2.1,0-0,0-0,0-0,12,120,15,2013,9
15,16,Penn State,2.0,0-0,0-0,0-0,6,55,9,2013,9
16,17,Oregon,--,0-0,0-0,0-0,2,39,17,2013,9
17,18,Florida St,--,0-0,0-0,0-0,1,61,21,2013,9
18,19,Missouri,--,0-0,0-0,0-0,17,53,18,2013,9
19,20,Nebraska,--,0-0,0-0,0-0,14,72,23,2013,9
20,21,Clemson,--,0-0,0-0,0-0,10,52,20,2013,9
21,22,UCLA,--,0-0,0-0,0-0,1,45,19,2013,9
22,23,Baylor,--,0-0,0-0,0-0,1,61,26,2013,9
23,24,Wisconsin,--,0-0,0-0,0-0,9,46,31,2013,9
24,25,Oregon St,--,0-0,0-0,0-0,10,92,30,2013,9
25,26,Stanford,--,0-0,0-0,0-0,5,61,27,2013,9
26,27,Texas Tech,--,0-0,0-0,0-0,2,117,25,2013,9
27,28,Utah State,--,0-0,0-0,0-0,3,43,29,2013,9
28,29,S Carolina,--,0-0,0-0,0-0,6,47,24,2013,9
29,30,Louisville,--,0-0,0-0,0-0,4,60,33,2013,9
30,31,Auburn,--,0-0,0-0,0-0,3,70,47,2013,9
31,32,Mississippi,--,0-0,0-0,0-0,2,46,38,2013,9
32,33,Texas A&M,--,0-0,0-0,0-0,3,54,34,2013,9
33,34,Miami (FL),--,0-0,0-0,0-0,11,122,28,2013,9
34,35,Utah,--,0-0,0-0,0-0,10,55,22,2013,9
35,36,Arizona,--,0-0,0-0,0-0,12,59,37,2013,9
36,37,Wash State,--,0-0,0-0,0-0,20,112,39,2013,9
37,38,Michigan St,--,0-0,0-0,0-0,5,60,42,2013,9
38,39,Ohio State,--,0-0,0-0,0-0,8,54,32,2013,9
39,40,Central FL,--,0-0,0-0,0-0,2,54,46,2013,9
40,41,BYU,--,0-0,0-0,0-0,25,101,40,2013,9
41,42,Iowa,--,0-0,0-0,0-0,34,69,41,2013,9
42,43,Fresno St,--,0-0,0-0,0-0,41,119,45,2013,9
43,44,Florida,--,0-0,0-0,0-0,7,46,35,2013,9
44,45,Duke,--,0-0,0-0,0-0,29,116,43,2013,9
45,46,GA Tech,--,0-0,0-0,0-0,17,55,48,2013,9
46,47,Georgia,--,0-0,0-0,0-0,6,48,36,2013,9
47,48,Kansas St,--,0-0,0-0,0-0,10,117,50,2013,9
48,49,E Carolina,--,0-0,0-0,0-0,16,88,51,2013,9
49,50,USC,--,0-0,0-0,0-0,1,56,56,2013,9
50,51,Ball State,--,0-0,0-0,0-0,46,118,49,2013,9
