,Rank,Team,Rating,Hi,Low,Last,Season,Week
0,1,Florida St,43.6,1,61,2,2013,12
1,2,Baylor,35.3,1,124,1,2013,12
2,3,Alabama,32.2,1,52,3,2013,12
3,4,Oregon,29.4,1,44,4,2013,12
4,5,Ohio State,27.0,3,42,6,2013,12
5,6,Auburn,25.0,2,71,11,2013,12
6,7,Arizona St,24.3,4,60,5,2013,12
7,8,Missouri,23.7,5,38,7,2013,12
8,9,Wisconsin,23.0,5,30,9,2013,12
9,10,Kansas St,21.6,10,125,19,2013,12
10,11,Oklahoma St,20.6,2,40,21,2013,12
11,12,BYU,20.6,8,73,8,2013,12
12,13,USC,19.9,3,52,20,2013,12
13,14,Stanford,19.7,3,61,10,2013,12
14,15,Texas A&M,18.8,14,53,14,2013,12
15,16,S Carolina,17.7,2,31,12,2013,12
16,17,Clemson,17.3,7,33,16,2013,12
17,18,Michigan St,17.2,7,71,17,2013,12
18,19,LSU,16.9,4,29,13,2013,12
19,20,Fresno St,13.9,20,113,39,2013,12
20,21,Texas,13.7,7,62,18,2013,12
21,22,Oregon St,13.7,11,113,22,2013,12
22,23,Washington,13.4,2,38,29,2013,12
23,24,Central FL,12.9,6,60,24,2013,12
24,25,GA Tech,12.0,3,44,26,2013,12
25,26,Boise State,11.9,18,96,25,2013,12
26,27,Notre Dame,11.5,5,58,31,2013,12
27,28,Louisville,11.1,4,94,15,2013,12
28,29,UCLA,10.5,4,29,27,2013,12
29,30,Mississippi,10.3,4,55,30,2013,12
30,31,North Texas,9.9,31,97,43,2013,12
31,32,Houston,9.6,4,84,23,2013,12
32,33,Duke,9.4,20,113,41,2013,12
33,34,Arizona,9.1,11,53,36,2013,12
34,35,N Carolina,9.0,12,76,59,2013,12
35,36,Utah,8.8,7,55,33,2013,12
36,37,Nebraska,8.2,27,80,40,2013,12
37,38,VA Tech,7.8,28,58,44,2013,12
38,39,Marshall,7.6,20,111,50,2013,12
39,40,Buffalo,7.1,38,111,45,2013,12
40,41,Georgia,5.8,8,43,38,2013,12
41,42,Utah State,5.7,8,48,28,2013,12
42,43,Michigan,5.6,6,57,49,2013,12
43,44,Vanderbilt,5.4,9,67,64,2013,12
44,45,N Illinois,4.6,21,101,47,2013,12
45,46,Miami (FL),4.4,8,78,32,2013,12
46,47,Minnesota,4.2,5,91,63,2013,12
47,48,Oklahoma,4.1,5,84,35,2013,12
48,49,Iowa,4.1,26,80,42,2013,12
49,50,Florida,3.0,14,77,34,2013,12
50,51,E Carolina,2.8,31,97,46,2013,12
51,52,Indiana,1.9,11,85,60,2013,12
52,53,LA Lafayette,1.7,28,104,54,2013,12
53,54,Bowling Grn,1.3,1,89,62,2013,12
54,55,Toledo,1.0,51,85,56,2013,12
55,56,Pittsburgh,0.9,51,97,70,2013,12
56,57,Colorado St,0.8,26,110,67,2013,12
57,58,Northwestern,0.8,19,82,58,2013,12
58,59,Rice,0.2,48,108,57,2013,12
59,60,Ball State,0.0,38,121,53,2013,12
60,61,W Virginia,-0.2,21,102,48,2013,12
61,62,Boston Col,-0.5,51,101,51,2013,12
62,63,Texas Tech,-1.0,2,80,37,2013,12
63,64,Cincinnati,-1.3,12,103,65,2013,12
64,65,Wake Forest,-1.8,55,117,66,2013,12
65,66,Tennessee,-1.9,17,82,55,2013,12
66,67,San Jose St,-2.9,67,114,73,2013,12
67,68,Arkansas St,-2.9,4,100,95,2013,12
68,69,Miss State,-2.9,14,69,52,2013,12
69,70,Navy,-2.9,27,84,71,2013,12
70,71,Kentucky,-3.6,66,99,69,2013,12
71,72,Fla Atlantic,-4.0,56,117,75,2013,12
72,73,TX Christian,-4.5,3,73,68,2013,12
73,74,San Diego St,-5.4,51,124,86,2013,12
74,75,Middle Tenn,-5.7,61,119,93,2013,12
75,76,Ohio,-6.1,55,123,61,2013,12
76,77,TX-San Ant,-6.6,56,106,88,2013,12
77,78,Syracuse,-6.7,38,89,77,2013,12
78,79,S Alabama,-6.8,68,124,80,2013,12
79,80,Tulane,-7.3,65,122,74,2013,12
80,81,Wash State,-7.4,27,82,81,2013,12
81,82,S Methodist,-7.8,1,115,85,2013,12
82,83,W Kentucky,-8.6,40,90,78,2013,12
83,84,New Mexico,-9.0,83,113,97,2013,12
84,85,Penn State,-9.0,30,85,72,2013,12
85,86,Temple,-9.1,48,109,83,2013,12
86,87,Rutgers,-9.2,10,112,84,2013,12
87,88,UNLV,-9.5,55,123,87,2013,12
88,89,Kansas,-10.4,64,107,101,2013,12
89,90,S Florida,-10.6,56,125,89,2013,12
90,91,Troy,-11.0,48,108,91,2013,12
91,92,NC State,-11.1,23,116,82,2013,12
92,93,Memphis,-11.2,63,105,76,2013,12
93,94,Arkansas,-12.4,28,98,98,2013,12
94,95,California,-13.1,33,106,102,2013,12
95,96,Iowa State,-13.2,24,120,94,2013,12
96,97,LA Monroe,-13.4,75,120,96,2013,12
97,98,Nevada,-13.7,30,106,99,2013,12
98,99,Illinois,-13.8,39,104,90,2013,12
99,100,Virginia,-15.4,44,106,106,2013,12
100,101,Colorado,-15.5,56,101,92,2013,12
101,102,Hawaii,-16.1,58,115,104,2013,12
102,103,Kent State,-17.1,66,121,110,2013,12
103,104,Air Force,-17.1,72,116,105,2013,12
104,105,LA Tech,-17.3,94,114,108,2013,12
105,106,Tulsa,-17.3,55,120,109,2013,12
106,107,Texas State,-17.3,71,118,107,2013,12
107,108,Central Mich,-17.6,90,122,111,2013,12
108,109,Army,-18.4,77,116,103,2013,12
109,110,Maryland,-18.4,18,110,79,2013,12
110,111,Akron,-20.1,92,122,112,2013,12
111,112,Georgia State,-22.2,2,125,114,2013,12
112,113,Connecticut,-22.4,60,125,113,2013,12
113,114,UAB,-24.8,79,120,115,2013,12
114,115,Wyoming,-25.2,35,117,100,2013,12
115,116,Purdue,-25.5,37,116,116,2013,12
116,117,W Michigan,-27.1,73,124,119,2013,12
117,118,U Mass,-28.8,99,123,118,2013,12
118,119,TX El Paso,-29.8,65,119,117,2013,12
119,120,N Mex State,-30.2,89,125,121,2013,12
120,121,Florida Intl,-31.9,79,125,123,2013,12
121,122,Miami (OH),-33.1,80,124,122,2013,12
122,123,E Michigan,-33.2,98,125,124,2013,12
123,124,Idaho ,-35.8,52,124,120,2013,12
124,125,S Mississippi,-38.1,61,125,125,2013,12
