,Rank,Team,Rating,v 1-10,v 11-25,v 26-40,Hi,Low,Last,Season,Week
0,1,Maryland,33.3,0-0,0-0,0-0,1,65,1,2013,10
1,2,Alabama,32.4,0-0,1-0,0-0,1,23,2,2013,10
2,3,Texas,27.9,0-0,0-0,0-0,3,88,3,2013,10
3,4,Oklahoma St,23.2,0-0,0-0,0-0,2,21,4,2013,10
4,5,Notre Dame,21.6,1-0,0-0,0-0,4,69,5,2013,10
5,6,LSU,15.4,1-0,0-0,0-0,3,32,6,2013,10
6,7,Colorado,8.3,0-0,0-0,0-0,7,106,8,2013,10
7,8,Houston,7.4,0-0,1-0,0-0,1,99,10,2013,10
8,9,TX Christian,6.8,0-1,0-0,0-0,5,45,7,2013,10
9,10,Arizona St,5.9,0-1,0-0,0-0,10,102,12,2013,10
10,11,W Kentucky,5.7,0-0,0-0,0-0,6,95,11,2013,10
11,12,Washington,4.0,0-0,1-0,0-0,5,47,9,2013,10
12,13,VA Tech,3.9,0-1,0-0,0-0,8,120,13,2013,10
13,14,Army,3.1,0-0,0-0,0-0,12,120,15,2013,10
14,15,Rice,2.7,0-1,0-0,0-0,15,121,116,2013,10
15,16,Illinois,2.4,0-0,0-1,0-0,9,89,14,2013,10
16,17,Penn State,1.9,0-0,0-0,0-0,6,55,16,2013,10
17,18,Oregon,--,0-0,0-0,0-0,2,39,17,2013,10
18,19,Florida St,--,0-0,0-0,0-0,1,61,18,2013,10
19,20,Baylor,--,0-0,0-0,0-0,1,61,23,2013,10
20,21,Missouri,--,0-0,0-0,0-0,17,53,19,2013,10
21,22,Michigan St,--,0-0,0-0,0-0,5,60,38,2013,10
22,23,Wisconsin,--,0-0,0-0,0-0,9,46,24,2013,10
23,24,Clemson,--,0-0,0-0,0-0,10,52,21,2013,10
24,25,Stanford,--,0-0,0-0,0-0,5,61,26,2013,10
25,26,Oregon St,--,0-0,0-0,0-0,10,92,25,2013,10
26,27,S Carolina,--,0-0,0-0,0-0,6,47,29,2013,10
27,28,Utah State,--,0-0,0-0,0-0,3,43,28,2013,10
28,29,Louisville,--,0-0,0-0,0-0,4,60,30,2013,10
29,30,UCLA,--,0-0,0-0,0-0,1,45,22,2013,10
30,31,Mississippi,--,0-0,0-0,0-0,2,46,32,2013,10
31,32,Auburn,--,0-0,0-0,0-0,3,70,31,2013,10
32,33,Texas Tech,--,0-0,0-0,0-0,2,117,27,2013,10
33,34,Arizona,--,0-0,0-0,0-0,12,59,36,2013,10
34,35,Texas A&M,--,0-0,0-0,0-0,3,54,33,2013,10
35,36,Miami (FL),--,0-0,0-0,0-0,11,122,34,2013,10
36,37,Wash State,--,0-0,0-0,0-0,20,112,37,2013,10
37,38,Ohio State,--,0-0,0-0,0-0,8,54,39,2013,10
38,39,BYU,--,0-0,0-0,0-0,25,101,41,2013,10
39,40,Iowa,--,0-0,0-0,0-0,34,69,42,2013,10
40,41,Duke,--,0-0,0-0,0-0,29,116,45,2013,10
41,42,Central FL,--,0-0,0-0,0-0,2,54,40,2013,10
42,43,Kansas St,--,0-0,0-0,0-0,10,117,48,2013,10
43,44,GA Tech,--,0-0,0-0,0-0,17,55,46,2013,10
