,Rank,Team,2013,Last 3,Last 1,Home,Away,2012,Season,Week
0,1,Michigan St,221.1,235.0,128.0,234.0,204.0,275.3,2013,10
1,2,Louisville,250.4,273.0,133.0,247.3,254.7,347.9,2013,10
2,3,VA Tech,261.1,261.3,198.0,286.3,227.7,342.5,2013,10
3,4,Florida,273.1,367.3,500.0,233.3,303.0,290.4,2013,10
4,5,Alabama,280.9,249.3,322.0,247.4,336.7,256.7,2013,10
5,6,Florida St,297.3,292.0,316.0,254.7,340.0,280.8,2013,10
6,7,Cincinnati,304.8,331.3,377.0,326.3,283.3,407.3,2013,10
7,8,Wisconsin,313.7,340.7,391.0,211.0,416.3,323.9,2013,10
8,9,Oklahoma,314.3,368.7,460.0,308.8,323.3,411.9,2013,10
9,10,USC,317.3,334.7,201.0,280.0,379.3,394.7,2013,10
10,11,E Carolina,322.5,292.3,233.0,275.3,369.7,433.0,2013,10
11,12,Baylor,330.7,309.0,308.0,307.8,376.5,509.8,2013,10
12,13,Memphis,331.7,327.0,460.0,364.8,265.5,381.3,2013,10
13,14,Iowa,338.1,412.0,329.0,347.0,326.3,385.5,2013,10
14,15,Oregon St,346.4,340.7,273.0,270.7,403.3,364.9,2013,10
15,16,Central FL,349.0,358.3,233.0,324.3,367.5,373.7,2013,10
16,17,S Carolina,350.3,325.7,404.0,287.3,388.0,314.3,2013,10
17,18,TX Christian,351.3,342.7,415.0,301.7,388.5,345.1,2013,10
18,19,Stanford,354.1,323.3,288.0,355.8,352.5,335.5,2013,10
19,20,GA Tech,355.0,361.7,444.0,267.7,420.5,384.1,2013,10
20,21,Michigan,355.3,414.3,572.0,378.2,298.0,318.2,2013,10
21,22,Pittsburgh,360.5,276.0,325.0,330.3,390.7,344.5,2013,10
22,23,W Kentucky,361.4,377.3,397.0,308.0,401.5,364.8,2013,10
23,24,Oregon,361.6,406.0,283.0,370.8,349.3,390.6,2013,10
24,25,Bowling Grn,363.7,358.0,372.0,305.3,441.7,307.1,2013,10
25,26,Notre Dame,364.5,365.3,339.0,349.0,380.0,305.5,2013,10
26,27,Marshall,365.0,411.3,585.0,246.5,424.3,468.9,2013,10
27,28,Miami (FL),368.8,420.7,361.0,356.3,394.0,498.5,2013,10
28,29,S Florida,370.7,397.0,485.0,400.8,310.5,424.8,2013,10
29,30,LSU,370.9,411.0,525.0,305.3,436.5,311.6,2013,10
30,31,Buffalo,371.7,270.7,363.0,265.3,451.5,363.5,2013,10
31,32,Oklahoma St,372.0,335.7,346.0,330.5,392.8,445.3,2013,10
32,33,Ohio State,372.7,389.7,357.0,333.8,470.0,361.0,2013,10
33,34,Utah State,374.9,395.0,300.0,442.5,347.8,331.5,2013,10
34,35,LA Lafayette,377.7,278.3,168.0,196.0,414.0,447.6,2013,10
35,36,North Texas,379.1,286.0,249.0,356.7,392.6,436.1,2013,10
36,37,Arizona St,379.8,301.3,212.0,365.8,408.0,360.3,2013,10
37,38,Kansas St,380.7,384.3,367.0,375.5,391.0,372.3,2013,10
38,39,Arizona,382.3,408.0,349.0,354.0,396.5,527.8,2013,10
39,40,Texas Tech,382.6,424.7,526.0,317.3,431.5,390.9,2013,10
40,41,BYU,382.6,460.7,499.0,391.6,367.7,267.1,2013,10
41,42,UCLA,385.4,431.3,555.0,335.3,423.0,416.0,2013,10
42,43,Tulane,385.6,415.7,344.0,428.0,329.0,482.6,2013,10
43,44,Penn State,385.9,520.3,686.0,317.3,477.3,354.3,2013,10
44,45,Ohio,386.0,383.0,240.0,363.3,416.3,402.3,2013,10
45,46,Maryland,386.6,454.3,551.0,409.0,369.8,346.8,2013,10
46,47,Minnesota,389.9,334.7,328.0,424.3,344.0,369.3,2013,10
47,48,Fla Atlantic,390.1,430.0,628.0,400.5,386.7,422.7,2013,10
48,49,Georgia,390.1,372.0,337.0,380.8,402.7,360.8,2013,10
49,50,San Diego St,390.2,417.0,341.0,436.3,344.0,359.3,2013,10
50,51,Miss State,391.5,424.0,325.0,364.5,445.5,398.1,2013,10
51,52,Tulsa,392.1,344.3,301.0,351.0,423.0,346.1,2013,10
52,53,LA Tech,393.6,341.0,197.0,375.0,401.0,526.1,2013,10
53,54,Clemson,393.9,405.0,364.0,404.5,379.7,400.4,2013,10
54,55,Rice,394.6,375.3,364.0,333.3,431.4,426.0,2013,10
55,56,NC State,396.5,461.3,566.0,357.8,474.0,419.6,2013,10
56,57,Mississippi,397.6,409.3,253.0,409.3,388.8,377.4,2013,10
57,58,Connecticut,400.8,426.7,527.0,341.0,460.7,309.6,2013,10
58,59,Nebraska,401.3,339.3,430.0,440.5,323.0,372.6,2013,10
59,60,Navy,401.7,399.7,338.0,325.5,439.8,424.4,2013,10
60,61,Wake Forest,402.0,382.0,391.0,393.0,408.8,439.2,2013,10
61,62,Texas,405.4,324.0,246.0,395.7,412.8,403.4,2013,10
62,63,Akron,406.9,378.7,434.0,418.7,399.8,472.7,2013,10
63,64,Texas State,407.0,323.0,409.0,331.3,508.0,482.9,2013,10
64,65,Missouri,408.3,367.7,498.0,365.3,465.7,405.9,2013,10
65,66,TX-San Ant,408.5,416.7,506.0,486.8,330.3,429.4,2013,10
66,67,Toledo,409.1,410.7,343.0,444.5,395.0,475.8,2013,10
67,68,N Illinois,409.6,351.7,337.0,354.5,431.6,371.3,2013,10
68,69,Arkansas,410.7,474.7,532.0,397.0,429.0,418.7,2013,10
69,70,Duke,412.1,356.3,387.0,474.5,329.0,479.9,2013,10
70,71,Army,413.0,435.3,361.0,395.0,426.5,427.6,2013,10
71,72,Florida Intl,413.7,350.7,333.0,376.0,451.3,402.9,2013,10
72,73,S Mississippi,414.9,448.7,529.0,359.0,456.8,426.5,2013,10
73,74,Northwestern,415.6,377.0,305.0,382.3,460.0,388.7,2013,10
74,75,Purdue,417.0,377.0,294.0,412.3,421.7,435.1,2013,10
75,76,Utah,420.3,372.3,260.0,442.8,390.3,386.1,2013,10
76,77,Boise State,422.3,429.7,568.0,308.7,507.5,315.6,2013,10
77,78,Washington,424.1,566.3,483.0,444.5,397.0,365.6,2013,10
78,79,U Mass,424.7,355.0,393.0,363.0,471.0,460.5,2013,10
79,80,Vanderbilt,425.7,434.0,558.0,398.8,461.7,349.3,2013,10
80,81,LA Monroe,426.4,377.3,244.0,364.0,473.3,418.8,2013,10
81,82,N Carolina,428.0,386.0,261.0,455.3,391.7,409.5,2013,10
82,83,W Michigan,428.9,412.3,332.0,452.3,414.8,400.6,2013,10
83,84,Ball State,430.8,404.0,437.0,420.3,437.0,462.6,2013,10
84,85,S Alabama,432.5,438.0,452.0,427.5,435.0,406.7,2013,10
85,86,Boston Col,433.5,448.3,392.0,397.3,469.7,479.7,2013,10
86,87,Fresno St,434.8,358.0,507.0,466.0,403.7,345.1,2013,10
87,88,Kentucky,438.7,522.7,447.0,421.0,462.3,417.3,2013,10
88,88,Auburn,438.7,437.7,247.0,402.4,529.5,439.8,2013,10
89,88,Virginia,438.7,482.3,507.0,480.8,333.5,361.5,2013,10
90,91,Central Mich,442.9,441.7,592.0,505.0,418.0,444.5,2013,10
91,92,Tennessee,450.1,432.3,479.0,400.8,516.0,490.5,2013,10
92,93,Houston,451.0,483.3,420.0,681.0,405.0,483.2,2013,10
93,94,Syracuse,454.2,487.0,482.0,477.0,442.8,382.9,2013,10
94,95,Colorado St,459.0,480.7,418.0,552.5,421.6,409.2,2013,10
95,96,S Methodist,460.7,462.3,593.0,509.3,412.0,391.4,2013,10
96,97,Middle Tenn,460.7,458.3,448.0,436.3,479.0,440.5,2013,10
