,Rank,Team,Rating,v 1-10,v 11-25,v 26-40,Hi,Low,Last,Season,Week
0,1,Maryland,34.6,0-0,0-0,0-0,1,65,1,2013,11
1,2,Alabama,31.3,0-0,1-0,0-0,1,23,2,2013,11
2,3,Texas,27.6,0-0,0-0,0-0,3,88,3,2013,11
3,4,Notre Dame,23.6,0-0,1-0,0-0,4,69,5,2013,11
4,5,Oklahoma St,22.7,0-0,0-0,0-0,2,21,4,2013,11
5,6,Georgia,14.7,1-0,0-0,0-0,6,48,47,2013,11
6,7,LSU,14.0,0-0,1-0,0-0,3,32,6,2013,11
7,8,Florida,9.8,0-1,0-0,0-0,7,46,45,2013,11
8,9,Colorado,7.8,0-0,0-0,0-0,7,106,7,2013,11
9,10,Houston,6.7,0-0,1-0,0-0,1,99,8,2013,11
10,11,TX Christian,6.6,0-1,0-0,0-0,5,45,9,2013,11
11,12,W Kentucky,5.9,0-0,0-0,0-0,6,95,11,2013,11
12,13,Arizona St,5.3,0-1,0-0,0-0,10,102,10,2013,11
13,14,Washington,4.6,0-0,1-0,0-0,5,47,12,2013,11
14,15,VA Tech,3.7,0-1,0-0,0-0,8,120,13,2013,11
15,16,Army,2.9,0-0,0-0,0-0,12,120,14,2013,11
16,17,Penn State,2.9,0-0,0-0,0-0,6,55,17,2013,11
17,18,Illinois,2.6,0-0,0-1,0-0,9,89,16,2013,11
18,19,Rice,1.5,0-1,0-0,0-0,15,121,15,2013,11
19,20,Oregon,--,0-0,0-0,0-0,2,39,18,2013,11
20,21,Florida St,--,0-0,0-0,0-0,1,61,19,2013,11
21,22,Baylor,--,0-0,0-0,0-0,1,61,20,2013,11
22,23,Missouri,--,0-0,0-0,0-0,17,53,21,2013,11
23,24,Clemson,--,0-0,0-0,0-0,10,52,24,2013,11
24,25,Ohio State,--,0-0,0-0,0-0,8,54,38,2013,11
25,26,Wisconsin,--,0-0,0-0,0-0,9,46,23,2013,11
26,27,Michigan St,--,0-0,0-0,0-0,5,60,22,2013,11
27,28,Utah State,--,0-0,0-0,0-0,3,43,28,2013,11
