,Rank,Team,Rating,v 1-10,v 11-25,v 26-40,Hi,Low,Last,Season,Week
0,1,Baylor,35.6,0-0,1-0,0-0,1,61,22,2013,13
1,2,Maryland,33.6,0-0,0-0,0-0,1,65,1,2013,13
2,3,Alabama,32.6,0-0,1-0,0-0,1,23,2,2013,13
3,4,Texas,27.7,0-0,0-0,0-0,3,88,3,2013,13
4,5,Oklahoma St,24.3,0-0,1-0,0-0,2,21,4,2013,13
5,6,Notre Dame,23.4,0-0,1-0,0-0,4,69,5,2013,13
6,7,LSU,14.2,0-0,1-0,0-0,3,32,6,2013,13
7,8,Georgia,12.1,1-0,0-0,0-0,6,48,7,2013,13
8,9,Colorado,10.0,0-0,0-0,0-0,7,106,9,2013,13
9,10,Florida,9.4,0-1,0-0,0-0,7,46,8,2013,13
10,11,Houston,7.6,0-0,1-0,0-0,1,99,10,2013,13
11,12,TX Christian,6.0,0-1,0-0,0-0,5,45,11,2013,13
12,13,Arizona St,4.7,0-1,0-0,0-0,10,102,15,2013,13
13,14,Washington,4.0,0-0,1-0,0-0,5,47,17,2013,13
14,15,Illinois,3.9,0-0,0-1,0-0,9,89,12,2013,13
15,16,W Kentucky,3.9,0-0,0-0,0-0,6,95,14,2013,13
16,17,VA Tech,3.5,0-1,0-0,0-0,8,120,16,2013,13
17,18,Penn State,2.9,0-0,0-0,0-0,6,55,13,2013,13
18,19,Texas Tech,2.1,0-1,0-0,0-0,2,117,36,2013,13
19,20,Rice,1.6,0-0,0-1,0-0,15,121,19,2013,13
20,21,Army,1.6,0-0,0-0,0-0,12,120,18,2013,13
21,22,Miss State,1.1,0-1,0-0,0-0,9,120,117,2013,13
22,23,Florida St,--,0-0,0-0,0-0,1,61,20,2013,13
23,24,Oregon,--,0-0,0-0,0-0,2,39,21,2013,13
24,25,Missouri,--,0-0,0-0,0-0,17,53,23,2013,13
25,26,Clemson,--,0-0,0-0,0-0,10,52,24,2013,13
26,27,Wisconsin,--,0-0,0-0,0-0,9,46,26,2013,13
27,28,Ohio State,--,0-0,0-0,0-0,8,54,25,2013,13
28,29,Michigan St,--,0-0,0-0,0-0,5,60,27,2013,13
29,30,Auburn,--,0-0,0-0,0-0,3,70,28,2013,13
30,31,Kansas St,--,0-0,0-0,0-0,10,117,31,2013,13
31,32,S Carolina,--,0-0,0-0,0-0,6,47,32,2013,13
32,33,Stanford,--,0-0,0-0,0-0,5,61,30,2013,13
33,34,Oregon St,--,0-0,0-0,0-0,10,92,29,2013,13
34,35,UCLA,--,0-0,0-0,0-0,1,45,33,2013,13
35,36,Mississippi,--,0-0,0-0,0-0,2,46,34,2013,13
36,37,Wash State,--,0-0,0-0,0-0,20,112,39,2013,13
37,38,USC,--,0-0,0-0,0-0,1,56,38,2013,13
38,39,Louisville,--,0-0,0-0,0-0,4,60,37,2013,13
