,Rank,Team,2013,Last 3,Last 1,Home,Away,2012,Season,Week
0,1,Louisville,7.4,5.7,10.0,5.7,10.0,25.2,2013,8
1,2,Alabama,11.3,3.3,7.0,3.0,19.7,11.8,2013,8
2,3,Florida,13.0,11.3,17.0,11.0,15.0,15.7,2013,8
3,4,Florida St,13.5,13.7,0.0,3.5,23.5,16.9,2013,8
4,5,Michigan St,15.6,19.7,28.0,15.7,15.5,16.3,2013,8
5,6,Wisconsin,15.8,15.7,6.0,5.3,31.5,19.0,2013,8
6,7,Oregon,16.0,18.7,24.0,15.0,16.7,22.3,2013,8
7,8,Central FL,16.6,25.3,17.0,17.5,16.0,22.1,2013,8
8,9,Clemson,16.8,11.7,14.0,18.7,14.0,26.3,2013,8
9,10,Oklahoma,16.8,24.7,36.0,11.0,28.5,26.5,2013,8
10,11,VA Tech,17.0,12.0,9.0,15.7,18.3,24.2,2013,8
11,12,BYU,17.3,14.7,20.0,17.8,16.5,14.1,2013,8
12,13,Iowa,17.4,12.0,26.0,19.7,14.0,23.5,2013,8
13,14,Texas Tech,18.2,19.3,35.0,17.3,19.5,33.9,2013,8
14,14,UCLA,18.2,16.7,10.0,14.3,24.0,27.6,2013,8
15,16,Miami (FL),18.3,22.3,30.0,17.3,21.0,32.4,2013,8
16,17,Bowling Grn,18.8,14.0,21.0,9.3,28.3,17.5,2013,8
17,18,Cincinnati,19.6,15.3,20.0,13.5,23.7,19.6,2013,8
18,19,Memphis,20.2,18.7,25.0,19.7,21.0,31.2,2013,8
19,20,Houston,20.5,23.0,15.0,--,20.5,36.0,2013,8
20,21,NC State,21.2,22.0,24.0,19.5,28.0,26.6,2013,8
21,22,Baylor,21.8,24.7,25.0,20.7,25.0,38.4,2013,8
22,23,LSU,22.0,25.3,6.0,14.3,32.3,17.2,2013,8
23,23,Marshall,22.0,20.7,23.0,12.0,28.7,44.8,2013,8
24,23,Auburn,22.0,25.7,22.0,18.8,35.0,30.3,2013,8
25,26,Stanford,22.2,24.0,27.0,23.0,21.3,17.2,2013,8
26,27,TX Christian,22.2,18.0,17.0,17.0,25.7,24.5,2013,8
27,28,E Carolina,22.4,28.0,36.0,14.0,28.0,33.2,2013,8
28,29,S Carolina,22.7,20.0,7.0,21.0,24.3,19.2,2013,8
29,29,North Texas,22.7,25.3,7.0,13.3,32.0,29.7,2013,8
30,31,Nebraska,22.8,22.3,7.0,26.8,7.0,29.2,2013,8
31,32,USC,22.8,35.7,31.0,15.5,37.5,24.3,2013,8
32,33,Ohio State,23.0,29.3,30.0,17.0,32.0,22.8,2013,8
33,34,Michigan,23.3,25.7,43.0,19.0,32.0,19.8,2013,8
34,35,Penn State,23.7,28.0,40.0,20.3,30.5,19.1,2013,8
35,36,Arizona,23.8,27.3,38.0,13.0,27.3,38.3,2013,8
36,37,Washington,23.8,29.7,45.0,21.3,27.5,25.1,2013,8
37,38,Ball State,23.8,25.0,24.0,20.7,27.0,32.0,2013,8
38,39,Maryland,24.0,29.7,26.0,18.0,28.0,29.1,2013,8
39,39,Utah State,24.0,25.7,34.0,32.5,19.8,16.4,2013,8
40,41,Oklahoma St,24.3,31.3,29.0,29.0,22.7,30.6,2013,8
41,42,Navy,24.8,21.3,35.0,10.0,29.7,27.6,2013,8
42,43,Missouri,24.8,24.3,26.0,21.0,27.3,30.1,2013,8
43,44,Wake Forest,25.0,26.7,13.0,17.0,30.3,33.2,2013,8
44,45,W Kentucky,25.2,16.0,10.0,7.0,29.8,26.8,2013,8
45,46,Notre Dame,25.5,27.3,34.0,18.0,33.0,12.8,2013,8
46,47,S Florida,25.6,26.3,10.0,32.3,15.5,28.7,2013,8
47,48,Boise State,25.8,23.7,23.0,13.5,34.0,15.8,2013,8
48,49,Illinois,26.0,29.0,39.0,15.5,36.5,35.0,2013,8
49,49,Ohio,26.0,20.0,26.0,26.0,26.0,26.0,2013,8
50,49,Fla Atlantic,26.0,21.7,24.0,33.0,23.2,33.4,2013,8
51,49,Toledo,26.0,22.7,20.0,20.0,27.5,28.4,2013,8
52,49,N Illinois,26.0,22.7,20.0,20.0,27.5,20.8,2013,8
53,54,Miss State,26.2,28.7,20.0,28.7,22.5,24.5,2013,8
54,55,Rice,26.5,20.7,21.0,14.0,32.8,30.0,2013,8
55,56,Kansas St,26.6,33.0,35.0,23.0,32.0,23.3,2013,8
56,56,Oregon St,26.6,23.7,24.0,15.5,34.0,22.1,2013,8
57,56,Minnesota,26.6,29.7,42.0,23.3,31.5,26.2,2013,8
58,59,GA Tech,26.8,33.3,38.0,18.5,32.3,30.2,2013,8
59,60,Texas,27.0,23.7,20.0,24.0,30.0,29.2,2013,8
60,61,Buffalo,27.2,8.7,0.0,13.0,36.7,28.0,2013,8
61,62,Connecticut,27.5,26.0,13.0,23.0,41.0,19.8,2013,8
62,63,Texas State,27.6,30.0,21.0,21.0,32.0,33.2,2013,8
63,64,Wash State,27.8,43.0,52.0,35.7,20.0,34.9,2013,8
64,65,Kansas,28.5,30.3,27.0,32.0,25.0,37.8,2013,8
65,66,Wyoming,28.6,32.0,31.0,20.5,34.0,34.3,2013,8
66,67,Arkansas,28.7,42.3,52.0,28.5,29.0,31.0,2013,8
67,68,Temple,28.8,31.3,38.0,26.0,30.7,33.3,2013,8
68,68,U Mass,28.8,20.7,10.0,17.0,36.7,40.2,2013,8
69,68,Boston Col,28.8,33.0,24.0,28.3,29.5,32.1,2013,8
70,71,Pittsburgh,29.0,25.7,19.0,23.7,37.0,21.2,2013,8
71,71,Utah,29.0,22.7,21.0,33.0,13.0,27.4,2013,8
72,73,Tulane,29.3,22.7,33.0,31.7,27.0,38.4,2013,8
73,73,Kentucky,29.3,35.7,48.0,26.5,35.0,33.5,2013,8
74,75,Syracuse,29.4,25.3,10.0,33.0,27.0,25.4,2013,8
75,75,LA Tech,29.4,27.7,35.0,24.0,30.8,38.5,2013,8
76,77,Duke,29.6,32.0,7.0,33.5,14.0,37.6,2013,8
77,78,Northwestern,29.8,30.7,35.0,28.0,32.5,23.8,2013,8
78,79,Iowa State,30.3,31.3,42.0,29.0,31.5,25.7,2013,8
79,80,Mississippi,30.8,32.0,41.0,41.0,28.3,27.7,2013,8
80,80,W Virginia,30.8,43.7,73.0,14.0,42.0,40.3,2013,8
81,82,Middle Tenn,30.8,31.7,34.0,19.5,36.5,28.1,2013,8
82,83,Vanderbilt,31.2,27.3,51.0,38.0,21.0,20.3,2013,8
83,83,San Diego St,31.2,26.7,20.0,39.0,26.0,23.0,2013,8
84,85,Army,31.3,29.7,25.0,28.0,34.7,36.5,2013,8
85,86,N Carolina,31.4,36.7,27.0,37.5,27.3,28.0,2013,8
86,87,S Alabama,32.0,29.7,34.0,24.0,34.7,31.7,2013,8
87,88,Rutgers,32.4,33.3,24.0,17.0,42.7,15.3,2013,8
88,88,Indiana,32.4,37.0,42.0,30.0,42.0,36.9,2013,8
89,90,Miami (OH),32.5,29.3,17.0,17.5,40.0,36.8,2013,8
90,91,Arizona St,32.6,30.3,13.0,28.0,39.5,25.8,2013,8
91,92,Virginia,32.8,29.7,27.0,41.0,20.5,29.8,2013,8
92,92,Texas A&M,32.8,28.0,38.0,31.0,35.5,21.9,2013,8
93,94,Kent State,33.2,26.3,27.0,39.5,30.0,24.8,2013,8
94,94,LA Monroe,33.2,25.3,14.0,31.0,34.3,29.2,2013,8
95,96,Tulsa,33.3,29.3,20.0,31.7,35.0,24.2,2013,8
96,97,Arkansas St,33.6,32.0,24.0,29.0,36.7,26.5,2013,8
97,97,Tennessee,33.6,29.7,34.0,26.0,45.0,37.7,2013,8
98,99,Akron,33.7,33.7,27.0,39.0,31.0,38.4,2013,8
99,99,Georgia,33.7,37.7,41.0,33.3,34.5,20.1,2013,8
100,101,LA Lafayette,34.0,34.0,24.0,24.0,37.3,30.4,2013,8
101,102,San Jose St,34.2,31.3,27.0,40.0,32.8,22.0,2013,8
102,103,TX-San Ant,34.3,40.0,27.0,47.3,24.5,36.0,2013,8
103,104,Central Mich,34.7,26.7,23.0,38.0,34.0,32.8,2013,8
104,105,Hawaii,35.3,39.3,39.0,36.3,34.3,38.7,2013,8
105,106,Fresno St,35.5,30.3,14.0,45.5,25.5,25.0,2013,8
106,107,Colorado St,35.6,35.7,34.0,38.0,34.0,31.0,2013,8
107,108,New Mexico,36.0,37.0,38.0,31.3,40.7,31.0,2013,8
108,109,S Mississippi,37.2,36.0,24.0,23.0,46.7,37.8,2013,8
109,110,TX El Paso,37.7,43.7,34.0,36.5,40.0,29.8,2013,8
110,111,Troy,38.8,33.0,28.0,32.0,42.3,30.5,2013,8
111,112,W Michigan,39.2,37.3,33.0,32.5,42.5,30.5,2013,8
112,113,Georgia State,40.3,40.3,35.0,35.0,43.0,44.5,2013,8
113,114,Florida Intl,40.6,40.7,27.0,32.5,46.0,31.7,2013,8
114,114,UAB,40.6,37.7,24.0,37.0,41.5,40.6,2013,8
