,Rank,Team,Rating,Hi,Low,Last,Season,Week
0,1,Stanford,11.3,1,83,6,2013,12
1,2,Utah,10.6,1,54,3,2013,12
2,3,Oregon,10.2,2,63,16,2013,12
3,4,Arizona St,10.1,1,96,4,2013,12
4,5,LSU,8.7,5,45,14,2013,12
5,6,UCLA,8.6,2,71,9,2013,12
6,7,Mississippi,8.6,1,45,2,2013,12
7,8,Washington,8.5,2,56,5,2013,12
8,9,Wisconsin,8.5,6,98,7,2013,12
9,10,Alabama,8.3,1,34,10,2013,12
10,11,Georgia,8.2,1,13,1,2013,12
11,12,BYU,7.9,12,49,17,2013,12
12,13,S Carolina,7.0,4,63,11,2013,12
13,14,Florida St,6.4,13,50,13,2013,12
14,15,Florida,6.0,6,67,8,2013,12
15,16,Kansas St,6.0,16,112,21,2013,12
16,17,USC,5.9,12,74,12,2013,12
17,18,Miss State,5.6,5,44,26,2013,12
18,19,Texas A&M,5.4,3,82,18,2013,12
19,20,Tennessee,5.3,12,112,15,2013,12
20,21,VA Tech,5.1,1,37,32,2013,12
21,22,Auburn,4.9,3,68,22,2013,12
22,23,Baylor,4.8,7,107,31,2013,12
23,24,Missouri,4.3,12,105,19,2013,12
24,25,Vanderbilt,4.3,16,60,35,2013,12
25,26,Texas,4.3,10,87,20,2013,12
26,27,Wash State,3.8,5,90,23,2013,12
27,28,Oklahoma,3.6,8,111,44,2013,12
28,29,GA Tech,3.5,15,107,30,2013,12
29,30,Clemson,3.4,19,40,25,2013,12
30,31,Notre Dame,2.9,10,61,28,2013,12
31,32,Miami (FL),2.9,24,107,24,2013,12
32,33,Arizona,2.9,21,114,38,2013,12
33,34,Boise State,2.6,10,50,37,2013,12
34,35,N Carolina,2.5,3,52,29,2013,12
35,36,W Virginia,2.3,35,110,36,2013,12
36,37,TX Christian,2.1,2,37,27,2013,12
37,38,Pittsburgh,1.9,6,53,47,2013,12
38,39,Ohio State,1.7,8,97,39,2013,12
39,40,Oklahoma St,1.7,4,46,33,2013,12
40,41,California,1.5,31,66,42,2013,12
41,42,Oregon St,1.5,15,101,45,2013,12
42,43,Utah State,1.5,10,55,34,2013,12
43,44,Iowa State,1.3,38,120,40,2013,12
44,45,Central FL,1.1,23,117,41,2013,12
45,46,Arkansas,1.1,37,101,53,2013,12
46,47,Northwestern,0.9,34,87,48,2013,12
47,48,Iowa,0.5,37,98,43,2013,12
48,49,Kentucky,0.3,22,88,49,2013,12
49,50,Virginia,0.2,3,80,50,2013,12
50,51,Texas Tech,0.1,32,77,52,2013,12
51,52,Indiana,-0.6,35,124,51,2013,12
52,53,Penn State,-1.0,41,65,54,2013,12
53,54,Boston Col,-1.2,46,114,46,2013,12
54,55,Illinois,-1.4,38,114,55,2013,12
55,56,Michigan,-1.4,20,94,56,2013,12
56,57,Houston,-1.8,51,122,67,2013,12
57,58,Hawaii,-1.8,4,96,60,2013,12
