,Rank,Team,Rating,Hi,Low,Last,Season,Week
0,1,Alabama,33.6,1,45,3,2011,8
1,2,Wisconsin,31.8,2,30,7,2011,8
2,3,LSU,31.1,1,21,6,2011,8
3,4,Boise State,30.9,3,31,4,2011,8
4,5,Oklahoma,30.8,1,32,1,2011,8
5,6,Oregon,30.0,3,39,5,2011,8
6,7,Stanford,28.9,1,24,2,2011,8
7,8,Oklahoma St,24.8,1,31,8,2011,8
8,9,Notre Dame,19.0,9,56,9,2011,8
9,10,Arizona St,17.4,6,82,11,2011,8
10,11,Clemson,17.3,10,75,21,2011,8
11,12,Missouri,16.5,12,64,22,2011,8
12,13,Michigan,16.3,9,52,10,2011,8
13,14,Michigan St,15.3,8,112,25,2011,8
14,15,Texas A&M,15.1,5,58,12,2011,8
15,16,Georgia,15.0,9,31,13,2011,8
16,17,Houston,13.9,2,98,16,2011,8
17,18,W Virginia,13.2,18,62,18,2011,8
18,19,Arkansas,12.7,5,59,17,2011,8
19,20,S Carolina,12.4,13,34,15,2011,8
20,21,Kansas St,12.4,18,113,39,2011,8
21,22,S Methodist,12.2,22,99,42,2011,8
22,23,Temple,11.6,10,106,19,2011,8
23,24,USC,10.8,3,75,57,2011,8
24,25,Florida St,10.6,9,37,24,2011,8
25,26,Washington,10.1,25,111,49,2011,8
26,27,TX Christian,9.9,7,93,31,2011,8
27,28,Toledo,9.0,9,76,29,2011,8
28,29,Cincinnati,8.7,5,77,14,2011,8
29,30,S Mississippi,8.6,13,90,32,2011,8
30,31,VA Tech,8.4,11,60,48,2011,8
31,32,Texas,8.0,13,37,28,2011,8
32,33,Miami (FL),7.7,23,58,44,2011,8
33,34,Utah,7.6,12,114,55,2011,8
34,35,GA Tech,7.4,4,64,20,2011,8
35,36,Tennessee,7.3,17,82,27,2011,8
36,37,Florida,7.1,9,54,23,2011,8
37,38,Nevada,6.8,4,110,54,2011,8
38,39,Nebraska,6.4,21,58,40,2011,8
39,40,Baylor,6.3,3,102,26,2011,8
40,41,Texas Tech,5.5,12,111,36,2011,8
41,42,Ohio State,5.3,10,60,51,2011,8
42,43,Rutgers,5.1,3,89,30,2011,8
43,44,Penn State,5.0,30,57,37,2011,8
44,45,Auburn,4.1,26,90,47,2011,8
45,46,S Florida,3.7,11,103,33,2011,8
46,47,Miss State,3.7,1,57,50,2011,8
47,48,San Diego St,3.3,44,83,59,2011,8
48,49,Illinois,2.6,17,80,34,2011,8
49,50,Pittsburgh,2.2,29,81,56,2011,8
50,51,Iowa,2.2,37,77,58,2011,8
51,52,W Michigan,1.8,35,96,35,2011,8
52,53,Wake Forest,1.7,43,112,43,2011,8
53,54,Vanderbilt,1.6,16,70,60,2011,8
54,55,Wash State,1.5,14,86,38,2011,8
55,56,N Carolina,1.3,43,67,52,2011,8
56,57,Tulsa,0.5,9,84,53,2011,8
57,58,Purdue,0.4,49,92,68,2011,8
58,59,Utah State,-0.6,30,88,46,2011,8
59,60,Navy,-0.7,41,93,69,2011,8
60,61,California,-0.8,13,62,45,2011,8
61,62,Arkansas St,-1.0,39,83,65,2011,8
62,63,Arizona,-2.0,8,85,62,2011,8
63,64,TX El Paso,-2.3,64,115,91,2011,8
64,65,Central FL,-2.5,8,85,41,2011,8
65,66,UCLA,-3.2,16,86,64,2011,8
66,67,N Illinois,-3.3,24,107,89,2011,8
67,68,Oregon St,-4.7,14,112,80,2011,8
68,69,Hawaii,-4.7,26,105,61,2011,8
69,70,Air Force,-5.0,53,97,70,2011,8
70,71,Duke,-5.5,71,117,77,2011,8
71,72,Ohio,-5.6,37,113,63,2011,8
72,73,LA Monroe,-5.8,5,102,98,2011,8
73,74,BYU,-5.9,20,80,72,2011,8
