,Rank,Team,2011,Last 3,Last 1,Home,Away,2010,Season,Week
0,1,Alabama,7.1,7.3,7.0,6.0,8.8,14.1,2011,13
1,2,LSU,10.7,6.0,3.0,9.3,11.7,18.9,2011,13
2,3,Penn State,13.6,12.7,14.0,13.0,14.5,24.5,2011,13
3,4,Temple,14.3,23.3,14.0,17.0,11.6,18.6,2011,13
4,5,Michigan,15.6,18.3,17.0,11.7,22.5,35.1,2011,13
5,6,Michigan St,16.2,16.0,3.0,13.2,20.8,23.6,2011,13
6,7,Wisconsin,16.5,15.7,17.0,11.6,21.4,22.0,2011,13
7,7,Florida St,16.5,13.3,14.0,12.0,23.3,20.7,2011,13
8,9,VA Tech,17.3,19.0,21.0,20.0,14.6,20.5,2011,13
9,10,Rutgers,18.5,10.7,3.0,19.5,17.0,28.9,2011,13
10,11,Ohio State,19.0,22.0,20.0,16.9,22.8,14.3,2011,13
11,12,S Carolina,19.3,19.7,12.0,11.0,27.6,23.5,2011,13
12,13,Arkansas St,19.4,20.3,19.0,13.5,23.3,30.8,2011,13
13,13,Florida,19.4,20.7,17.0,17.0,21.8,22.3,2011,13
14,15,Florida Intl,19.5,11.3,17.0,20.0,19.0,27.3,2011,13
15,16,Georgia,19.6,11.0,10.0,17.6,21.6,23.3,2011,13
16,17,Louisville,19.7,25.3,20.0,17.2,22.2,19.9,2011,13
17,18,Notre Dame,20.3,17.3,14.0,21.3,18.5,20.2,2011,13
18,19,Miami (FL),20.3,13.3,3.0,16.6,24.0,22.4,2011,13
19,20,Boise State,20.5,30.7,35.0,23.3,18.7,12.8,2011,13
20,21,Texas,20.6,18.0,17.0,16.7,26.5,23.7,2011,13
21,21,Central FL,20.6,30.7,38.0,8.3,28.8,17.9,2011,13
22,23,Utah,20.9,18.0,27.0,20.0,21.5,20.3,2011,13
23,24,Stanford,20.9,31.3,28.0,21.8,19.8,17.4,2011,13
24,25,Illinois,21.1,23.0,28.0,22.9,17.0,25.2,2011,13
25,26,Cincinnati,21.1,22.3,20.0,17.0,24.4,29.9,2011,13
26,27,S Florida,21.2,14.3,6.0,18.5,23.4,20.5,2011,13
27,28,Miss State,21.9,28.0,44.0,19.3,23.7,20.2,2011,13
28,29,BYU,22.1,17.3,7.0,20.8,24.0,21.6,2011,13
29,30,Pittsburgh,22.1,20.0,14.0,20.0,26.3,19.3,2011,13
30,31,Oklahoma,22.3,29.0,45.0,22.8,21.8,21.8,2011,13
31,32,Arkansas,22.5,17.3,17.0,16.0,29.0,25.1,2011,13
32,33,Virginia,22.6,15.7,13.0,24.0,21.2,31.9,2011,13
