,Rank,Team,Rating,Hi,Low,Last,Season,Week
0,1,Stanford,30.7,1,24,1,2011,6
1,2,Oklahoma,29.3,1,32,4,2011,6
2,3,Alabama,28.9,1,45,5,2011,6
3,4,LSU,26.6,1,21,2,2011,6
4,5,Oregon,26.1,3,39,3,2011,6
5,6,Wisconsin,25.9,2,30,6,2011,6
6,7,Boise State,22.6,3,31,7,2011,6
7,8,Oklahoma St,20.8,1,31,8,2011,6
8,9,Michigan,20.1,9,52,13,2011,6
9,10,Notre Dame,15.7,9,56,26,2011,6
10,11,Texas A&M,15.7,5,58,10,2011,6
11,12,Florida,15.4,9,54,9,2011,6
12,13,Texas,14.7,13,37,14,2011,6
13,14,GA Tech,14.3,4,64,11,2011,6
14,15,Cincinnati,13.6,5,77,17,2011,6
15,16,Georgia,12.7,9,31,23,2011,6
16,17,Florida St,12.7,9,37,24,2011,6
17,18,Tennessee,12.2,17,82,18,2011,6
18,19,Missouri,12.1,12,64,19,2011,6
19,20,Clemson,11.7,10,75,38,2011,6
20,21,Arizona St,10.7,6,82,20,2011,6
21,22,Arkansas,10.3,5,59,29,2011,6
22,23,Michigan St,10.2,8,112,32,2011,6
23,24,W Virginia,9.3,18,62,43,2011,6
24,25,S Florida,9.2,11,103,12,2011,6
25,26,S Carolina,8.8,13,34,22,2011,6
26,27,Baylor,8.4,3,102,21,2011,6
27,28,Illinois,6.9,17,80,28,2011,6
28,29,Texas Tech,6.8,12,111,31,2011,6
29,30,Wash State,6.7,14,86,36,2011,6
30,31,Central FL,6.7,8,85,34,2011,6
31,32,TX Christian,6.5,7,93,27,2011,6
32,33,Penn State,6.0,30,57,30,2011,6
33,34,Rutgers,5.7,3,89,35,2011,6
34,35,VA Tech,5.6,11,60,25,2011,6
35,36,Miss State,5.1,1,57,39,2011,6
36,37,Toledo,5.0,9,76,61,2011,6
37,38,Houston,4.9,2,98,37,2011,6
38,39,California,4.8,13,62,40,2011,6
39,40,Temple,4.7,10,106,16,2011,6
40,41,Nebraska,4.6,21,58,33,2011,6
41,42,W Michigan,4.6,35,96,46,2011,6
42,43,Pittsburgh,4.5,29,81,66,2011,6
43,44,Utah,4.4,12,114,15,2011,6
44,45,Ohio State,4.0,10,60,42,2011,6
45,46,S Methodist,3.9,22,99,59,2011,6
46,47,N Carolina,3.7,43,67,45,2011,6
47,48,Washington,3.5,25,111,67,2011,6
48,49,Auburn,3.4,26,90,60,2011,6
