,Rank,Team,Rating,Hi,Low,Last,Season,Week
0,1,LSU,11.5,1,9,1,2011,6
1,2,Oregon,10.3,1,6,2,2011,6
2,3,Arizona,9.4,3,90,5,2011,6
3,4,Nevada,9.0,1,76,12,2011,6
4,5,Alabama,8.7,3,70,18,2011,6
5,6,Notre Dame,7.8,6,36,7,2011,6
6,7,Oklahoma,7.7,3,50,6,2011,6
7,8,Missouri,7.7,2,65,8,2011,6
8,9,Florida St,6.8,9,107,15,2011,6
9,10,Oklahoma St,5.9,3,80,9,2011,6
10,11,Texas A&M,5.5,6,98,19,2011,6
11,12,Georgia,5.4,2,28,11,2011,6
12,13,Miss State,5.0,12,106,22,2011,6
13,14,Boise State,4.7,2,38,14,2011,6
14,15,Arkansas,4.2,8,108,31,2011,6
15,16,Florida,4.0,6,103,48,2011,6
16,17,Tulsa,3.9,1,51,4,2011,6
17,18,UCLA,3.8,12,51,33,2011,6
18,19,Auburn,2.9,7,64,37,2011,6
19,20,Toledo,2.7,19,120,34,2011,6
20,21,Tennessee,2.5,9,106,10,2011,6
21,22,Fla Atlantic,2.3,3,115,3,2011,6
22,23,S Carolina,2.1,9,51,21,2011,6
23,24,Rice,2.1,13,92,17,2011,6
24,25,Clemson,2.0,24,102,41,2011,6
25,26,Arizona St,1.9,3,112,16,2011,6
26,27,BYU,1.6,13,69,13,2011,6
27,28,Washington,0.8,20,97,49,2011,6
28,29,Marshall,0.5,10,98,26,2011,6
29,30,Michigan St,0.4,12,115,66,2011,6
30,31,Stanford,0.2,4,74,29,2011,6
31,32,Oregon St,0.1,19,91,60,2011,6
32,33,S Florida,0.0,22,51,39,2011,6
33,34,W Michigan,-0.1,15,84,40,2011,6
34,35,Utah,-0.1,17,114,20,2011,6
35,36,USC,-0.1,3,55,27,2011,6
36,37,Pittsburgh,-0.3,30,112,53,2011,6
37,38,Penn State,-0.4,21,92,23,2011,6
38,39,W Virginia,-0.6,18,101,35,2011,6
39,40,Michigan,-0.7,29,61,38,2011,6
40,41,Colorado,-0.7,21,71,36,2011,6
41,42,Nebraska,-0.9,16,105,90,2011,6
42,43,TX Christian,-1.0,6,62,32,2011,6
43,44,San Diego St,-1.3,31,104,50,2011,6
44,45,Ohio State,-1.3,15,82,54,2011,6
45,46,S Methodist,-2.7,5,91,88,2011,6
46,47,Texas,-2.9,9,75,45,2011,6
47,48,Baylor,-3.0,8,63,52,2011,6
48,49,North Texas,-3.1,26,114,63,2011,6
49,50,Miami (FL),-3.2,14,51,30,2011,6
50,51,Cincinnati,-3.2,35,85,46,2011,6
51,52,N Carolina,-3.3,46,114,47,2011,6
52,53,E Carolina,-3.4,4,88,43,2011,6
53,54,Mississippi,-3.4,38,78,56,2011,6
54,55,Illinois,-3.6,38,82,44,2011,6
55,56,NC State,-3.7,41,105,72,2011,6
56,57,LA Tech,-3.8,39,90,42,2011,6
57,58,California,-3.8,14,79,68,2011,6
58,59,Maryland,-3.8,13,59,25,2011,6
59,60,Syracuse,-4.0,48,94,70,2011,6
60,61,Rutgers,-4.0,54,118,67,2011,6
61,62,Iowa State,-4.3,23,99,71,2011,6
62,63,LA Monroe,-4.3,5,97,57,2011,6
63,64,Wisconsin,-4.4,12,110,95,2011,6
64,65,Navy,-4.5,54,112,59,2011,6
65,66,Vanderbilt,-4.5,29,118,58,2011,6
66,67,Northwestern,-4.6,35,105,105,2011,6
67,68,VA Tech,-4.6,24,86,78,2011,6
68,69,Air Force,-4.9,33,103,81,2011,6
69,70,Troy,-5.0,2,111,28,2011,6
70,71,Central FL,-5.1,45,91,55,2011,6
71,72,Kansas St,-5.2,11,120,77,2011,6
72,73,Fresno St,-5.2,6,88,51,2011,6
73,74,Miami (OH),-5.3,7,104,64,2011,6
74,75,San Jose St,-5.4,11,108,69,2011,6
75,76,Temple,-5.7,64,119,65,2011,6
76,77,Ball State,-6.1,45,99,93,2011,6
77,78,GA Tech,-6.2,45,115,80,2011,6
78,79,Kentucky,-6.3,57,109,98,2011,6
79,80,Wash State,-6.5,35,120,94,2011,6
80,81,Duke,-6.6,63,94,76,2011,6
81,82,Boston Col,-7.0,26,88,85,2011,6
82,83,Utah State,-7.0,20,103,103,2011,6
83,84,Wake Forest,-7.1,37,94,92,2011,6
84,85,Central Mich,-7.2,82,117,84,2011,6
85,86,Army,-7.3,28,101,61,2011,6
86,87,Kansas,-7.4,53,113,97,2011,6
87,88,Buffalo,-7.5,24,113,91,2011,6
88,89,Connecticut,-7.6,55,109,83,2011,6
89,90,Iowa,-7.6,42,110,86,2011,6
90,91,Middle Tenn,-7.8,15,115,24,2011,6
91,92,TX El Paso,-7.8,85,110,100,2011,6
92,93,Hawaii,-7.9,56,107,106,2011,6
93,94,N Illinois,-7.9,44,104,82,2011,6
94,95,Arkansas St,-8.4,23,102,62,2011,6
95,96,UAB,-8.4,2,105,75,2011,6
96,97,UNLV,-8.5,11,115,96,2011,6
97,98,Houston,-8.8,41,99,79,2011,6
98,99,Florida Intl,-8.8,53,113,73,2011,6
99,100,Purdue,-9.0,53,109,109,2011,6
100,101,Virginia,-9.2,70,117,74,2011,6
101,102,Kent State,-9.3,6,115,108,2011,6
102,103,Texas Tech,-10.3,29,119,107,2011,6
103,104,Idaho ,-10.4,67,109,104,2011,6
104,105,S Mississippi,-10.6,49,106,89,2011,6
105,106,LA Lafayette,-11.1,7,116,87,2011,6
106,107,Bowling Grn,-11.4,68,116,116,2011,6
107,108,Indiana,-11.8,54,117,115,2011,6
108,109,Ohio,-11.9,79,116,99,2011,6
109,110,W Kentucky,-12.0,38,113,111,2011,6
110,111,Louisville,-12.4,57,116,102,2011,6
111,112,Tulane,-12.9,102,119,110,2011,6
112,113,Minnesota,-13.2,17,115,114,2011,6
113,114,N Mex State,-14.0,53,119,101,2011,6
114,115,Akron,-14.5,21,118,113,2011,6
115,116,Colorado St,-15.0,70,118,117,2011,6
116,117,Wyoming,-15.2,92,119,112,2011,6
117,118,Memphis,-16.7,20,120,120,2011,6
118,119,New Mexico,-18.1,71,120,119,2011,6
119,120,E Michigan,-18.2,85,120,118,2011,6
