,Rank,Team,2017,Last 3,Last 1,Home,Away,2016,Season,Week
0,1,Georgia,8.0,7.3,0.0,6.5,9.5,24.0,2017,6
1,2,Alabama,8.6,8.7,3.0,12.0,3.5,13.7,2017,6
2,3,Penn State,9.4,11.0,14.0,7.0,19.0,25.4,2017,6
3,4,Clemson,10.8,15.0,17.0,5.3,19.0,19.3,2017,6
4,5,Auburn,11.3,12.7,10.0,8.5,14.0,18.5,2017,6
5,6,Washington,11.8,11.0,7.0,16.0,10.3,18.8,2017,6
6,7,TX-San Ant,12.0,12.0,14.0,--,12.0,29.2,2017,6
7,8,Central FL,13.3,13.3,13.0,15.0,10.0,26.7,2017,6
8,9,Michigan,13.5,12.3,10.0,13.5,13.5,14.1,2017,6
9,9,Wisconsin,13.5,14.7,24.0,16.0,6.0,15.6,2017,6
10,11,Kansas St,13.7,13.7,20.0,13.5,14.0,24.2,2017,6
11,12,Minnesota,13.8,16.0,31.0,13.7,14.0,21.6,2017,6
12,13,Houston,14.8,14.3,13.0,15.0,14.5,25.4,2017,6
13,14,Ohio State,16.0,9.3,0.0,19.7,10.5,15.5,2017,6
14,15,Wake Forest,16.3,18.3,26.0,18.0,14.5,22.3,2017,6
15,16,Colorado,17.5,22.3,27.0,20.0,15.0,22.8,2017,6
16,17,Utah,17.7,17.7,24.0,16.0,18.5,25.9,2017,6
17,18,E Michigan,17.8,21.3,24.0,17.0,18.5,31.2,2017,6
18,19,Miami (FL),18.0,18.0,6.0,30.0,6.0,19.8,2017,6
19,19,VA Tech,18.0,16.0,31.0,15.5,20.5,23.5,2017,6
20,19,Michigan St,18.0,20.7,10.0,18.0,--,29.1,2017,6
21,22,Notre Dame,18.2,18.3,17.0,17.7,19.0,27.8,2017,6
22,23,Iowa,19.2,17.3,17.0,12.7,29.0,18.5,2017,6
23,24,Kentucky,19.5,20.3,20.0,24.0,15.0,32.8,2017,6
24,24,Oklahoma,19.5,23.7,41.0,10.5,28.5,28.8,2017,6
25,26,Buffalo,20.5,21.7,13.0,31.0,17.0,33.3,2017,6
26,27,S Florida,20.8,20.3,31.0,15.0,26.5,32.6,2017,6
27,28,S Carolina,20.8,21.0,24.0,19.5,21.7,26.1,2017,6
28,29,Marshall,21.0,19.3,21.0,13.0,29.0,38.5,2017,6
29,30,Texas,21.3,11.3,7.0,25.5,17.0,31.5,2017,6
30,30,Duke,21.3,22.7,31.0,22.7,17.0,30.2,2017,6
31,32,App State,21.3,21.3,20.0,20.0,22.0,17.8,2017,6
32,32,W Kentucky,21.3,21.3,21.0,22.0,20.0,26.2,2017,6
33,34,Troy,21.5,20.7,21.0,17.0,23.0,22.5,2017,6
34,35,Arizona,21.7,21.7,30.0,24.5,16.0,39.9,2017,6
35,36,Purdue,21.8,17.3,28.0,24.5,19.0,39.5,2017,6
36,36,LSU,21.8,29.0,24.0,25.0,18.5,16.0,2017,6
37,38,GA Tech,22.0,22.0,7.0,12.0,42.0,25.7,2017,6
38,39,San Diego St,22.3,23.0,28.0,22.5,22.0,21.8,2017,6
39,40,Navy,23.3,24.7,21.0,26.5,20.0,32.2,2017,6
40,41,Florida St,23.3,23.3,19.0,27.0,21.5,26.4,2017,6
41,42,Army,24.3,26.7,21.0,19.0,29.5,22.5,2017,6
42,43,Nebraska,24.4,14.7,6.0,24.7,24.0,23.9,2017,6
43,44,N Illinois,24.7,24.7,34.0,23.0,25.5,30.5,2017,6
44,44,TX Christian,24.7,24.7,31.0,36.0,19.0,26.9,2017,6
45,46,Virginia,25.0,25.0,23.0,26.0,23.0,33.5,2017,6
46,46,Iowa State,25.0,25.0,17.0,30.5,14.0,31.9,2017,6
47,48,Wash State,25.3,19.0,27.0,25.3,--,24.8,2017,6
48,48,Northwestern,25.3,27.0,33.0,13.5,37.0,23.3,2017,6
49,48,NC State,25.3,22.0,25.0,22.5,28.0,23.5,2017,6
50,51,Stanford,25.4,26.0,24.0,29.0,23.0,20.4,2017,6
51,52,Illinois,25.8,27.3,28.0,18.7,47.0,34.5,2017,6
52,53,USC,25.8,24.7,30.0,26.3,25.0,24.2,2017,6
53,54,Oklahoma St,26.0,33.0,34.0,34.0,20.7,28.2,2017,6
54,54,Florida,26.0,23.7,24.0,22.0,30.0,16.8,2017,6
55,54,Wyoming,26.0,26.7,10.0,26.7,24.0,35.0,2017,6
56,57,Colorado St,26.5,26.3,21.0,27.0,26.3,31.2,2017,6
57,58,W Michigan,27.0,19.7,3.0,15.5,38.5,19.7,2017,6
58,58,Miss State,27.0,29.0,49.0,7.0,33.7,31.0,2017,6
59,60,Middle Tenn,27.2,28.3,38.0,20.5,31.7,38.8,2017,6
60,61,Oregon,27.3,24.7,24.0,29.5,25.0,42.6,2017,6
61,61,New Mexico,27.3,26.3,38.0,34.0,20.5,32.3,2017,6
62,63,Vanderbilt,27.5,34.7,38.0,33.0,22.0,24.6,2017,6
63,64,UNLV,27.7,27.7,13.0,13.0,35.0,38.9,2017,6
64,65,S Mississippi,28.0,28.0,43.0,33.5,17.0,32.0,2017,6
65,65,LA Tech,28.0,18.3,16.0,36.5,19.5,34.3,2017,6
66,65,Georgia State,28.0,28.0,0.0,--,28.0,28.5,2017,6
67,68,Louisville,28.3,28.3,3.0,25.0,31.5,23.8,2017,6
68,69,W Virginia,28.3,28.3,34.0,20.0,32.5,24.3,2017,6
69,70,Syracuse,28.8,28.3,33.0,23.5,34.0,41.5,2017,6
70,71,Boise State,29.0,34.3,42.0,23.0,47.0,23.3,2017,6
71,71,Boston Col,29.0,30.3,8.0,30.3,27.0,26.3,2017,6
72,73,Miami (OH),29.5,29.0,52.0,21.0,32.3,24.0,2017,6
73,74,N Mex State,29.6,27.7,42.0,20.5,35.7,38.8,2017,6
74,75,California,30.3,30.3,45.0,23.0,37.5,42.6,2017,6
75,75,Tennessee,30.3,26.7,41.0,27.0,33.5,31.3,2017,6
76,77,BYU,31.5,33.0,40.0,29.5,33.5,20.6,2017,6
77,77,Texas A&M,31.5,27.0,17.0,19.0,44.0,26.6,2017,6
78,79,Central Mich,31.8,33.3,28.0,31.0,32.0,32.6,2017,6
79,79,Fla Atlantic,31.8,28.3,20.0,31.0,32.5,40.6,2017,6
80,81,Indiana,32.0,26.3,45.0,33.0,31.0,27.2,2017,6
81,81,Tulane,32.0,32.0,17.0,17.0,39.5,28.3,2017,6
82,83,Rutgers,32.3,33.0,56.0,34.0,27.0,39.6,2017,6
83,84,Florida Intl,32.3,32.3,29.0,29.0,34.0,34.8,2017,6
84,85,Old Dominion,32.7,32.7,38.0,53.0,22.5,27.8,2017,6
85,86,U Mass,32.8,34.7,58.0,37.7,28.0,37.8,2017,6
86,87,N Carolina,33.0,27.7,33.0,36.3,28.0,26.3,2017,6
87,88,Temple,33.3,28.0,20.0,20.5,46.0,19.8,2017,6
88,88,Baylor,33.3,38.7,33.0,33.0,33.5,30.8,2017,6
89,88,Cincinnati,33.3,32.3,38.0,38.0,31.7,28.7,2017,6
90,91,Rice,33.8,31.0,42.0,13.0,39.0,36.7,2017,6
91,92,Arkansas,34.0,34.0,24.0,26.0,50.0,32.8,2017,6
92,93,Pittsburgh,34.3,34.7,10.0,34.5,34.0,37.6,2017,6
93,93,Charlotte,34.3,37.7,30.0,28.0,36.3,36.5,2017,6
