,Rank,Team,Rating,v 1-10,v 11-25,v 26-40,Hi,Low,Last,Season,Week
0,1,Georgia,35.6,0-0,0-0,0-0,1,41,1,2017,14
1,2,Stanford,31.0,0-0,0-0,0-0,1,19,2,2017,14
2,3,Alabama,28.6,0-0,1-0,0-0,1,16,3,2017,14
3,4,LSU,17.9,0-0,0-0,0-0,3,25,4,2017,14
4,5,Texas,17.6,0-1,0-0,0-0,5,82,8,2017,14
5,6,S Carolina,16.9,0-0,0-0,0-0,4,70,6,2017,14
6,7,Michigan,16.6,0-0,0-0,0-0,3,42,5,2017,14
7,8,Oklahoma,15.9,1-0,0-0,0-0,4,31,7,2017,14
8,9,VA Tech,13.7,0-0,1-0,0-0,6,56,9,2017,14
9,10,Louisville,13.5,0-0,1-0,0-0,8,31,10,2017,14
10,11,Colorado,12.7,0-0,0-0,0-0,2,43,11,2017,14
11,12,Florida St,11.6,0-1,0-0,0-0,3,24,12,2017,14
12,13,Texas Tech,9.3,0-0,0-0,0-0,13,68,14,2017,14
13,14,Tennessee,7.7,0-0,0-0,0-0,10,58,13,2017,14
14,15,Boston Col,7.1,0-0,0-0,0-0,8,72,16,2017,14
15,16,W Virginia,6.8,0-1,0-0,0-0,12,125,15,2017,14
16,17,Purdue,6.3,0-1,0-0,0-0,9,95,18,2017,14
17,18,Texas A&M,4.3,0-0,1-0,0-0,9,55,19,2017,14
18,19,Arkansas,2.7,0-0,0-1,0-0,2,49,20,2017,14
19,20,Rutgers,2.5,0-0,0-0,0-0,15,103,17,2017,14
20,21,Penn State,--,0-0,0-0,0-0,9,64,26,2017,14
21,22,Ohio State,--,0-0,0-0,0-0,2,23,21,2017,14
22,23,Auburn,--,0-0,0-0,0-0,7,48,22,2017,14
23,24,Wisconsin,--,0-0,0-0,0-0,6,58,24,2017,14
24,25,Clemson,--,0-0,0-0,0-0,1,54,23,2017,14
25,26,Oklahoma St,--,0-0,0-0,0-0,5,44,25,2017,14
26,27,TX Christian,--,0-0,0-0,0-0,17,116,27,2017,14
27,28,Central FL,--,0-0,0-0,0-0,7,68,29,2017,14
28,29,Iowa State,--,0-0,0-0,0-0,21,85,31,2017,14
29,30,Notre Dame,--,0-0,0-0,0-0,19,60,28,2017,14
30,31,Washington,--,0-0,0-0,0-0,6,55,33,2017,14
31,32,Iowa,--,0-0,0-0,0-0,22,58,46,2017,14
32,33,San Diego St,--,0-0,0-0,0-0,30,110,35,2017,14
33,34,Miami (FL),--,0-0,0-0,0-0,17,121,30,2017,14
34,35,Wake Forest,--,0-0,0-0,0-0,8,63,34,2017,14
35,36,USC,--,0-0,0-0,0-0,4,66,36,2017,14
36,37,Boise State,--,0-0,0-0,0-0,11,53,32,2017,14
37,38,Memphis,--,0-0,0-0,0-0,35,111,37,2017,14
38,39,Missouri,--,0-0,0-0,0-0,36,106,38,2017,14
39,40,Miss State,--,0-0,0-0,0-0,19,57,39,2017,14
40,41,Northwestern,--,0-0,0-0,0-0,29,103,44,2017,14
41,42,Michigan St,--,0-0,0-0,0-0,5,71,51,2017,14
42,43,Arizona St,--,0-0,0-0,0-0,32,116,41,2017,14
43,44,Utah,--,0-0,0-0,0-0,8,113,43,2017,14
44,45,Navy,--,0-0,0-0,0-0,5,116,40,2017,14
45,46,Kansas St,--,0-0,0-0,0-0,12,78,45,2017,14
46,47,Pittsburgh,--,0-0,0-0,0-0,40,93,47,2017,14
47,48,Fla Atlantic,--,0-0,0-0,0-0,41,116,42,2017,14
48,49,Troy,--,0-0,0-0,0-0,18,105,48,2017,14
49,50,S Florida,--,0-0,0-0,0-0,2,78,53,2017,14
50,51,Virginia,--,0-0,0-0,0-0,25,86,50,2017,14
51,52,Toledo,--,0-0,0-0,0-0,9,116,52,2017,14
52,53,Duke,--,0-0,0-0,0-0,13,69,66,2017,14
53,54,Army,--,0-0,0-0,0-0,12,86,54,2017,14
54,55,Arizona,--,0-0,0-0,0-0,22,69,49,2017,14
55,56,Nebraska,--,0-0,0-0,0-0,40,67,57,2017,14
56,57,Indiana,--,0-0,0-0,0-0,28,110,56,2017,14
57,58,Fresno St,--,0-0,0-0,0-0,25,113,59,2017,14
58,59,Kentucky,--,0-0,0-0,0-0,19,71,60,2017,14
59,60,N Illinois,--,0-0,0-0,0-0,46,117,55,2017,14
60,61,Wash State,--,0-0,0-0,0-0,16,120,62,2017,14
61,62,Central Mich,--,0-0,0-0,0-0,43,126,63,2017,14
62,63,Marshall,--,0-0,0-0,0-0,31,101,64,2017,14
63,64,Syracuse,--,0-0,0-0,0-0,14,74,65,2017,14
64,65,Vanderbilt,--,0-0,0-0,0-0,14,81,77,2017,14
65,66,Minnesota,--,0-0,0-0,0-0,22,112,68,2017,14
66,67,UNLV,--,0-0,0-0,0-0,30,108,61,2017,14
67,68,California,--,0-0,0-0,0-0,18,88,74,2017,14
68,69,Oregon,--,0-0,0-0,0-0,22,113,69,2017,14
69,70,Utah State,--,0-0,0-0,0-0,64,127,67,2017,14
70,71,UCLA,--,0-0,0-0,0-0,31,112,75,2017,14
71,72,Houston,--,0-0,0-0,0-0,29,109,71,2017,14
72,73,Mississippi,--,0-0,0-0,0-0,45,108,84,2017,14
73,74,E Michigan,--,0-0,0-0,0-0,57,110,72,2017,14
74,75,Temple,--,0-0,0-0,0-0,18,117,82,2017,14
75,76,Wyoming,--,0-0,0-0,0-0,16,113,58,2017,14
76,77,S Methodist,--,0-0,0-0,0-0,45,130,76,2017,14
77,78,Ohio,--,0-0,0-0,0-0,7,119,73,2017,14
78,79,W Michigan,--,0-0,0-0,0-0,20,82,70,2017,14
79,80,Air Force,--,0-0,0-0,0-0,31,95,78,2017,14
80,81,Arkansas St,--,0-0,0-0,0-0,78,121,83,2017,14
81,82,LA Tech,--,0-0,0-0,0-0,1,85,79,2017,14
82,83,S Mississippi,--,0-0,0-0,0-0,56,122,81,2017,14
83,84,N Carolina,--,0-0,0-0,0-0,31,99,85,2017,14
84,85,TX-San Ant,--,0-0,0-0,0-0,44,100,80,2017,14
85,86,Buffalo,--,0-0,0-0,0-0,48,126,86,2017,14
86,87,App State,--,0-0,0-0,0-0,2,108,92,2017,14
87,88,Miami (OH),--,0-0,0-0,0-0,70,111,87,2017,14
88,89,North Texas,--,0-0,0-0,0-0,46,126,89,2017,14
89,90,Illinois,--,0-0,0-0,0-0,70,107,90,2017,14
90,91,Bowling Grn,--,0-0,0-0,0-0,77,120,97,2017,14
91,92,LA Monroe,--,0-0,0-0,0-0,78,123,91,2017,14
92,93,Akron,--,0-0,0-0,0-0,88,124,95,2017,14
93,94,Middle Tenn,--,0-0,0-0,0-0,30,99,88,2017,14
94,95,Georgia State,--,0-0,0-0,0-0,88,123,93,2017,14
95,96,Tulsa,--,0-0,0-0,0-0,69,127,94,2017,14
96,97,Tulane,--,0-0,0-0,0-0,37,106,100,2017,14
97,98,Nevada,--,0-0,0-0,0-0,79,108,96,2017,14
98,99,N Mex State,--,0-0,0-0,0-0,46,129,98,2017,14
